品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,布林带计算回望窗口,布林带标准倍数,持有天数,use_vix,use_vc_vp,use_vix_call_and_vix_put,use_rsj
A,虚值一档,2.3723358082660555,0.0511709023580798,0.0215698393877386,0.003366705459238,15.199102795782292,20,1,inf,True,False,False,True
A,平值期权,3.4268169005492344,0.086724115134117,0.0253074843655105,0.0037518473715552,23.11504348274392,20,1,inf,True,False,False,True
AG,虚值一档,,0.0,0.0,0.0,,20,1,inf,True,False,False,True
AG,平值期权,,0.0,0.0,0.0,,20,1,inf,True,False,False,True
AL,虚值一档,0.5779454857896343,0.0283718450054931,0.0490908670507727,0.042845864277439,0.6621839816738783,20,1,inf,True,False,False,True
AL,平值期权,0.5706589378240555,0.0303625259252041,0.0532060814485402,0.0571836582328731,0.5309650844924374,20,1,inf,True,False,False,True
AU,虚值一档,0.2674972025744112,0.0094508674378442,0.0353307150388433,0.0314702839570146,0.3003108408793908,20,1,inf,True,False,False,True
AU,平值期权,0.4066790606074271,0.0131895621206136,0.0324323610389808,0.0334838783561228,0.3939078376863654,20,1,inf,True,False,False,True
B,虚值一档,-1.0469998491859187,-0.04161831929532,0.0397500719104017,0.0184857179455216,-2.251376950463664,20,1,inf,True,False,False,True
B,平值期权,-1.1811076721167375,-0.0523003305909691,0.0442807474929347,0.022110067234896,-2.3654532587048944,20,1,inf,True,False,False,True
C,虚值一档,0.2413771806934105,0.0057610688515192,0.0238674958211429,0.041631458199859,0.1383825861650635,20,1,inf,True,False,False,True
C,平值期权,0.3287172212594212,0.0091669133857554,0.0278869277083629,0.0470437902010567,0.1948591588087967,20,1,inf,True,False,False,True
CU,虚值一档,-0.0369154269745501,-0.001227367484379,0.0332480912444876,0.053456280086456,-0.0229602112678625,20,1,inf,True,False,False,True
CU,平值期权,0.0109732112282419,0.0004737280640791,0.0431713246219054,0.0770012574636958,0.0061522120505956,20,1,inf,True,False,False,True
I,虚值一档,-0.0565868147390732,-0.0049642262192943,0.0877276136178511,0.0803548973264323,-0.0617787637650478,20,1,inf,True,False,False,True
I,平值期权,0.0130430567302076,0.0012072287780877,0.0925571975234798,0.083685512205156,0.0144257798784603,20,1,inf,True,False,False,True
L,虚值一档,-0.9475712184394316,-0.0404229294442141,0.0426595158839746,0.0924724255204602,-0.4371349536545928,20,1,inf,True,False,False,True
L,平值期权,-0.75183619748353,-0.0372134268963341,0.0494967215211121,0.098555999864177,-0.3775866202729319,20,1,inf,True,False,False,True
M,虚值一档,0.1220277055544012,0.0039941143645032,0.0327312092475804,0.045991516994693,0.0868445884262552,20,1,inf,True,False,False,True
M,平值期权,0.4722742602820064,0.0188744332060994,0.039964983894801,0.0270053380537559,0.6989149022511263,20,1,inf,True,False,False,True
P,虚值一档,1.285591829694866,0.0783713167615388,0.0609612747617882,0.0301344647267005,2.6007203868498827,20,1,inf,True,False,False,True
P,平值期权,0.9832223361539582,0.0699300328932683,0.0711233159804033,0.0349449538512982,2.0011482399101896,20,1,inf,True,False,False,True
PG,虚值一档,1.360490470674493,0.0901827665609949,0.06628695202568,0.0319517287335964,2.822469084940938,20,1,inf,True,False,False,True
PG,平值期权,1.5619649867903498,0.1044234234149774,0.0668538823200864,0.034216588514338,3.0518361984339863,20,1,inf,True,False,False,True
PP,虚值一档,-0.7190175907022357,-0.0373491410592999,0.0519446833321873,0.087355541566955,-0.4275531968475416,20,1,inf,True,False,False,True
PP,平值期权,-0.0747139792767983,-0.0047321212189047,0.0633364902352914,0.0646410316493663,-0.0732061524725231,20,1,inf,True,False,False,True
RB,虚值一档,2.0422902547344397,0.0446464262533218,0.0218609603359867,0.0013774104683195,32.41330545991264,20,1,inf,True,False,False,True
RB,平值期权,1.8312233113500256,0.0449024364930561,0.0245204592005509,0.0036313548710242,12.365201994260248,20,1,inf,True,False,False,True
RU,虚值一档,0.4754625782711837,0.0188860764737523,0.039721478275795,0.0386081533965148,0.4891732655480278,20,1,inf,True,False,False,True
RU,平值期权,0.276539040014135,0.0130032418026575,0.0470213601739301,0.0450823754572753,0.2884329335081452,20,1,inf,True,False,False,True
SC,虚值一档,-0.033122200922558,-0.0020314974643472,0.0613334080394301,0.0483271574828638,-0.0420363532671579,20,1,inf,True,False,False,True
SC,平值期权,0.4028998064756002,0.0298905992217146,0.0741886661182223,0.0474755708724548,0.6295995745268044,20,1,inf,True,False,False,True
V,虚值一档,0.93053628127785,0.0457415696019364,0.0491561377264325,0.0441880279957597,1.0351575229002248,20,1,inf,True,False,False,True
V,平值期权,0.8055476228693521,0.0471216273509145,0.058496389304791,0.0527207786991636,0.8937961182212599,20,1,inf,True,False,False,True
Y,虚值一档,2.2886315851837304,0.0596435414212563,0.026060787506115,0.0071991814561105,8.284767064821237,20,1,inf,True,False,False,True
Y,平值期权,1.38649917345407,0.043928722550783,0.031683194185646,0.0124303758458003,3.533981843809223,20,1,inf,True,False,False,True
ZN,虚值一档,0.662030120235834,0.0241578475576833,0.0364905565763044,0.0315612537305005,0.7654273738288585,20,1,inf,True,False,False,True
ZN,平值期权,0.1695151750125021,0.0089013943474817,0.0525108996691611,0.0492051804915204,0.1809036011770299,20,1,inf,True,False,False,True
A,虚值一档,2.0752873527288043,0.0364288736947601,0.0175536528215524,0.0010148654051104,35.89527587729386,20,1,inf,False,True,False,False
A,平值期权,2.508692265174564,0.0355748204433492,0.014180623481483,0.0012007884880197,29.62621710507626,20,1,inf,False,True,False,False
AG,虚值一档,,0.0,0.0,0.0,,20,1,inf,False,True,False,False
AG,平值期权,,0.0,0.0,0.0,,20,1,inf,False,True,False,False
AL,虚值一档,1.049547377400306,0.0558955211749345,0.0532567870479424,0.0441793295089547,1.2651962308211364,20,1,inf,False,True,False,False
AL,平值期权,0.9809817602975798,0.0568177294922661,0.0579192517045684,0.0566808503612094,1.0024149096244055,20,1,inf,False,True,False,False
AU,虚值一档,0.6804472006287011,0.0217046634486478,0.0318976452964958,0.023566054030392,0.9210139050286632,20,1,inf,False,True,False,False
AU,平值期权,1.1874817783991565,0.0327804269950768,0.0276049936861078,0.0204479278614533,1.60311730446153,20,1,inf,False,True,False,False
B,虚值一档,0.290279375898312,0.0140406759324913,0.0483695263882955,0.0182448892310937,0.769567617246071,20,1,inf,False,True,False,False
B,平值期权,0.1267916516542042,0.0067319370748916,0.0530944820661494,0.0218051403325773,0.3087316555736161,20,1,inf,False,True,False,False
C,虚值一档,-0.2909644440285039,-0.0060629915892367,0.0208375686915298,0.0403960977662778,-0.1500885462827561,20,1,inf,False,True,False,False
C,平值期权,-0.1971837279702192,-0.0047680130048954,0.0241805602012736,0.0437944198433133,-0.1088726148663309,20,1,inf,False,True,False,False
CU,虚值一档,0.1358783817359658,0.004691050862262,0.0345238941053739,0.0522954764555464,0.0897028037644838,20,1,inf,False,True,False,False
CU,平值期权,0.1488030636949546,0.0067591330425655,0.0454233459629684,0.0743986778904275,0.0908501768340591,20,1,inf,False,True,False,False
I,虚值一档,-0.243529943484413,-0.0237175593268512,0.0973907314538069,0.104909437755987,-0.2260765078354233,20,1,inf,False,True,False,False
I,平值期权,-0.1232788090342806,-0.0124022474840949,0.1006032389609331,0.0854957975802848,-0.1450626561200115,20,1,inf,False,True,False,False
L,虚值一档,-0.0667637294679994,-0.0030198359897849,0.0452316851357503,0.0606822720056938,-0.0497647152944703,20,1,inf,False,True,False,False
L,平值期权,0.1722676554247345,0.0089629336564706,0.0520291150092692,0.0682527671284254,0.131319711032461,20,1,inf,False,True,False,False
M,虚值一档,0.4868339526989148,0.0167636940588194,0.0344341103694282,0.0391284247774543,0.4284275217866319,20,1,inf,False,True,False,False
M,平值期权,0.8624267614340566,0.0354972719000195,0.0411597523260921,0.0246358763879095,1.440877172018951,20,1,inf,False,True,False,False
P,虚值一档,1.2898905976837756,0.0865211026449712,0.0670763108129751,0.0393649719277409,2.197921106200482,20,1,inf,False,True,False,False
P,平值期权,1.1661529781591269,0.0908128386889639,0.0778738642269042,0.0516598490101656,1.7578998086326918,20,1,inf,False,True,False,False
PG,虚值一档,1.042117219884683,0.0788235232999366,0.0756378666390897,0.0380728242838916,2.070335594548635,20,1,inf,False,True,False,False
PG,平值期权,1.0715765694423092,0.083039532883897,0.0774928598215936,0.0480757319061072,1.7272650793143345,20,1,inf,False,True,False,False
PP,虚值一档,-0.530583120899682,-0.028753698288701,0.054192636659728,0.0641429508564457,-0.4482752649321177,20,1,inf,False,True,False,False
PP,平值期权,-0.1706992009621551,-0.0102294251173391,0.0599266139482812,0.0481379197677087,-0.2125024339793159,20,1,inf,False,True,False,False
RB,虚值一档,3.409744385333625,0.0897775228809194,0.0263296930019389,0.0029213073537484,30.731967578051528,20,1,inf,False,True,False,False
RB,平值期权,3.206082827276264,0.0966300402967017,0.0301395957317778,0.0036313548710242,26.609913855498696,20,1,inf,False,True,False,False
RU,虚值一档,-0.03959471520248,-0.0015332494207707,0.0387235875527832,0.0488796726546667,-0.0313678332423195,20,1,inf,False,True,False,False
RU,平值期权,-0.2718244944181386,-0.0126335728329245,0.0464769477819416,0.0772000879939528,-0.1636471299607085,20,1,inf,False,True,False,False
SC,虚值一档,0.8445664537858724,0.0573537012040229,0.0679090448678466,0.0578338414579064,0.9916979359873062,20,1,inf,False,True,False,False
SC,平值期权,1.4669761137770412,0.1157903271626449,0.0789312968869808,0.0482723864704864,2.398686612136706,20,1,inf,False,True,False,False
V,虚值一档,0.6933159554467584,0.0406192573473763,0.058586935766107,0.0441965594412115,0.9190592630045422,20,1,inf,False,True,False,False
V,平值期权,0.8325542783387113,0.0568867718249076,0.068328003716971,0.0520388332027347,1.0931600176984395,20,1,inf,False,True,False,False
Y,虚值一档,1.982092317104788,0.0517000191697217,0.0260835576242176,0.0112957836154439,4.576930731838379,20,1,inf,False,True,False,False
Y,平值期权,1.0516057107384709,0.034145627935814,0.0324699909739324,0.014408451983965,2.369833204414621,20,1,inf,False,True,False,False
ZN,虚值一档,1.0045153271400966,0.0400482876188297,0.039868269340249,0.0209636376938304,1.9103691927768731,20,1,inf,False,True,False,False
ZN,平值期权,0.419257864831861,0.0238384972462386,0.0568587956144812,0.0522870160277283,0.4559161921498219,20,1,inf,False,True,False,False
A,虚值一档,2.178644658507104,0.0437514681595628,0.0200819660924159,0.005844586097083,7.485811216195205,20,1,inf,True,False,False,False
A,平值期权,3.156015656253965,0.0623593067610015,0.0197588711695489,0.0054388782433566,11.46547210119489,20,1,inf,True,False,False,False
AG,虚值一档,2.464026901522855,0.0055028053517478,0.0022332570104437,0.0,inf,20,1,inf,True,False,False,False
AG,平值期权,2.464026901522976,0.006114228168609,0.0024813966782708,0.0,inf,20,1,inf,True,False,False,False
AL,虚值一档,0.8159576343519869,0.0360048024561126,0.0441258233764878,0.0326655385207664,1.1022258957470812,20,1,inf,True,False,False,False
AL,平值期权,0.8045546065828598,0.0384664010475962,0.0478108020672113,0.0359408296101286,1.0702702598928264,20,1,inf,True,False,False,False
AU,虚值一档,-0.1970700123486254,-0.0037345157810658,0.0189501981380066,0.0304864654168243,-0.1224974994643008,20,1,inf,True,False,False,False
AU,平值期权,-0.061180820053738,-0.0013292533316855,0.0217266347609928,0.032212625102272,-0.0412649800339256,20,1,inf,True,False,False,False
B,虚值一档,0.2372545706332671,0.0126451209093452,0.0532976914863793,0.0193061682032479,0.6549782834285025,20,1,inf,True,False,False,False
B,平值期权,-0.3423751811427531,-0.0196135282733457,0.0572866532202517,0.0219555990804317,-0.8933269459646218,20,1,inf,True,False,False,False
C,虚值一档,-0.9649976478071812,-0.0235401908363014,0.0243940396018509,0.0620737642952829,-0.3792293105396579,20,1,inf,True,False,False,False
C,平值期权,-0.7931731550161065,-0.0224613405550531,0.0283183317703144,0.0618413636573286,-0.3632090113587162,20,1,inf,True,False,False,False
A,虚值一档,2.270132480494283,0.0454089367209148,0.0200027694908042,0.0039608664895683,11.46439468245318,20,1,inf,False,False,True,False
A,平值期权,2.6770501810490988,0.0506640747542937,0.0189253362200477,0.0050006994160891,10.13139773834198,20,1,inf,False,False,True,False
AG,虚值一档,,0.0,0.0,0.0,,20,1,inf,False,False,True,False
AG,平值期权,,0.0,0.0,0.0,,20,1,inf,False,False,True,False
AL,虚值一档,0.0894546161294202,0.004233195441599,0.0473222693781909,0.0470132558599584,0.0900425925447239,20,1,inf,False,False,True,False
AL,平值期权,0.0948319959076027,0.0048687180819088,0.051340457778117,0.056787273110838,0.0857360780892934,20,1,inf,False,False,True,False
AU,虚值一档,0.1383177252447747,0.0034033509738181,0.0246053133667099,0.0323715377305559,0.1051340533201086,20,1,inf,False,False,True,False
