,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-07-16,438.0,CALL,XINE.SC2109,435.0,1,0,INE.sc2109C435,SC,15.4,ITM_0
1,2021-07-16,438.0,CALL,XINE.SC2109,445.0,1,0,INE.sc2109C445,SC,10.95,OTM_0
2,2021-07-16,438.0,CALL,XINE.SC2109,440.0,1,0,INE.sc2109C440,SC,13.1,ATM_0
3,2021-07-16,438.0,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,19.15,ITM_1
4,2021-07-16,438.0,CALL,XINE.SC2109,450.0,1,0,INE.sc2109C450,SC,9.6,OTM_1
5,2021-07-16,438.0,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,22.2,ITM_2
6,2021-07-16,438.0,CALL,XINE.SC2109,455.0,1,0,INE.sc2109C455,SC,7.6,OTM_2
7,2021-07-16,438.0,PUT,XINE.SC2109,445.0,1,0,INE.sc2109P445,SC,17.95,ITM_0
8,2021-07-16,438.0,PUT,XINE.SC2109,435.0,1,0,INE.sc2109P435,SC,12.2,OTM_0
9,2021-07-16,438.0,PUT,XINE.SC2109,440.0,1,0,INE.sc2109P440,SC,14.85,ATM_0
10,2021-07-16,438.0,PUT,XINE.SC2109,450.0,1,0,INE.sc2109P450,SC,21.55,ITM_1
11,2021-07-16,438.0,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,10.45,OTM_1
12,2021-07-16,438.0,PUT,XINE.SC2109,455.0,1,0,INE.sc2109P455,SC,24.65,ITM_2
13,2021-07-16,438.0,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,8.7,OTM_2
14,2021-07-19,435.1,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,16.4,ITM_0
15,2021-07-19,435.1,CALL,XINE.SC2109,440.0,1,0,INE.sc2109C440,SC,11.3,OTM_0
16,2021-07-19,435.1,CALL,XINE.SC2109,435.0,1,0,INE.sc2109C435,SC,14.05,ATM_0
17,2021-07-19,435.1,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,19.15,ITM_1
18,2021-07-19,435.1,CALL,XINE.SC2109,445.0,1,0,INE.sc2109C445,SC,9.35,OTM_1
19,2021-07-19,435.1,CALL,XINE.SC2109,420.0,1,0,INE.sc2109C420,SC,22.55,ITM_2
20,2021-07-19,435.1,CALL,XINE.SC2109,450.0,1,0,INE.sc2109C450,SC,7.7,OTM_2
21,2021-07-19,435.1,PUT,XINE.SC2109,440.0,1,0,INE.sc2109P440,SC,16.3,ITM_0
22,2021-07-19,435.1,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,11.1,OTM_0
23,2021-07-19,435.1,PUT,XINE.SC2109,435.0,1,0,INE.sc2109P435,SC,13.55,ATM_0
24,2021-07-19,435.1,PUT,XINE.SC2109,445.0,1,0,INE.sc2109P445,SC,19.1,ITM_1
25,2021-07-19,435.1,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,9.1,OTM_1
26,2021-07-19,435.1,PUT,XINE.SC2109,450.0,1,0,INE.sc2109P450,SC,21.2,ITM_2
27,2021-07-19,435.1,PUT,XINE.SC2109,420.0,1,0,INE.sc2109P420,SC,7.05,OTM_2
28,2021-07-20,414.5,CALL,XINE.SC2109,410.0,1,0,INE.sc2109C410,SC,16.55,ITM_0
29,2021-07-20,414.5,CALL,XINE.SC2109,420.0,1,0,INE.sc2109C420,SC,12.05,OTM_0
30,2021-07-20,414.5,CALL,XINE.SC2109,415.0,1,0,INE.sc2109C415,SC,13.75,ATM_0
31,2021-07-20,414.5,CALL,XINE.SC2109,405.0,1,0,INE.sc2109C405,SC,19.7,ITM_1
32,2021-07-20,414.5,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,10.05,OTM_1
33,2021-07-20,414.5,CALL,XINE.SC2109,400.0,1,0,INE.sc2109C400,SC,22.6,ITM_2
34,2021-07-20,414.5,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,7.95,OTM_2
35,2021-07-20,414.5,PUT,XINE.SC2109,420.0,1,0,INE.sc2109P420,SC,16.6,ITM_0
36,2021-07-20,414.5,PUT,XINE.SC2109,410.0,1,0,INE.sc2109P410,SC,12.0,OTM_0
37,2021-07-20,414.5,PUT,XINE.SC2109,415.0,1,0,INE.sc2109P415,SC,14.5,ATM_0
38,2021-07-20,414.5,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,20.25,ITM_1
39,2021-07-20,414.5,PUT,XINE.SC2109,405.0,1,0,INE.sc2109P405,SC,10.1,OTM_1
40,2021-07-20,414.5,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,23.4,ITM_2
41,2021-07-20,414.5,PUT,XINE.SC2109,400.0,1,0,INE.sc2109P400,SC,8.2,OTM_2
42,2021-07-21,413.1,CALL,XINE.SC2109,410.0,1,0,INE.sc2109C410,SC,15.5,ITM_0
43,2021-07-21,413.1,CALL,XINE.SC2109,420.0,1,0,INE.sc2109C420,SC,10.7,OTM_0
44,2021-07-21,413.1,CALL,XINE.SC2109,415.0,1,0,INE.sc2109C415,SC,12.8,ATM_0
45,2021-07-21,413.1,CALL,XINE.SC2109,405.0,1,0,INE.sc2109C405,SC,18.6,ITM_1
46,2021-07-21,413.1,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,8.8,OTM_1
47,2021-07-21,413.1,CALL,XINE.SC2109,400.0,1,0,INE.sc2109C400,SC,22.35,ITM_2
48,2021-07-21,413.1,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,7.1,OTM_2
49,2021-07-21,413.1,PUT,XINE.SC2109,420.0,1,0,INE.sc2109P420,SC,16.95,ITM_0
50,2021-07-21,413.1,PUT,XINE.SC2109,410.0,1,0,INE.sc2109P410,SC,11.2,OTM_0
51,2021-07-21,413.1,PUT,XINE.SC2109,415.0,1,0,INE.sc2109P415,SC,14.1,ATM_0
52,2021-07-21,413.1,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,20.45,ITM_1
53,2021-07-21,413.1,PUT,XINE.SC2109,405.0,1,0,INE.sc2109P405,SC,9.35,OTM_1
54,2021-07-21,413.1,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,24.05,ITM_2
55,2021-07-21,413.1,PUT,XINE.SC2109,400.0,1,0,INE.sc2109P400,SC,7.6,OTM_2
56,2021-07-22,426.4,CALL,XINE.SC2109,420.0,1,0,INE.sc2109C420,SC,15.85,ITM_0
57,2021-07-22,426.4,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,11.1,OTM_0
58,2021-07-22,426.4,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,13.35,ATM_0
59,2021-07-22,426.4,CALL,XINE.SC2109,415.0,1,0,INE.sc2109C415,SC,19.15,ITM_1
60,2021-07-22,426.4,CALL,XINE.SC2109,435.0,1,0,INE.sc2109C435,SC,8.9,OTM_1
61,2021-07-22,426.4,CALL,XINE.SC2109,410.0,1,0,INE.sc2109C410,SC,22.1,ITM_2
62,2021-07-22,426.4,CALL,XINE.SC2109,440.0,1,0,INE.sc2109C440,SC,7.5,OTM_2
63,2021-07-22,426.4,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,15.05,ITM_0
64,2021-07-22,426.4,PUT,XINE.SC2109,420.0,1,0,INE.sc2109P420,SC,9.8,OTM_0
65,2021-07-22,426.4,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,12.05,ATM_0
66,2021-07-22,426.4,PUT,XINE.SC2109,435.0,1,0,INE.sc2109P435,SC,17.95,ITM_1
67,2021-07-22,426.4,PUT,XINE.SC2109,415.0,1,0,INE.sc2109P415,SC,7.8,OTM_1
68,2021-07-22,426.4,PUT,XINE.SC2109,440.0,1,0,INE.sc2109P440,SC,21.2,ITM_2
69,2021-07-22,426.4,PUT,XINE.SC2109,410.0,1,0,INE.sc2109P410,SC,6.0,OTM_2
70,2021-07-23,436.6,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,16.3,ITM_0
71,2021-07-23,436.6,CALL,XINE.SC2109,440.0,1,0,INE.sc2109C440,SC,11.1,OTM_0
72,2021-07-23,436.6,CALL,XINE.SC2109,435.0,1,0,INE.sc2109C435,SC,13.45,ATM_0
73,2021-07-23,436.6,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,19.35,ITM_1
74,2021-07-23,436.6,CALL,XINE.SC2109,445.0,1,0,INE.sc2109C445,SC,9.25,OTM_1
75,2021-07-23,436.6,CALL,XINE.SC2109,420.0,1,0,INE.sc2109C420,SC,22.25,ITM_2
76,2021-07-23,436.6,CALL,XINE.SC2109,450.0,1,0,INE.sc2109C450,SC,7.5,OTM_2
77,2021-07-23,436.6,PUT,XINE.SC2109,440.0,1,0,INE.sc2109P440,SC,14.5,ITM_0
78,2021-07-23,436.6,PUT,XINE.SC2109,430.0,1,0,INE.sc2109P430,SC,9.5,OTM_0
79,2021-07-23,436.6,PUT,XINE.SC2109,435.0,1,0,INE.sc2109P435,SC,11.75,ATM_0
80,2021-07-23,436.6,PUT,XINE.SC2109,445.0,1,0,INE.sc2109P445,SC,17.05,ITM_1
81,2021-07-23,436.6,PUT,XINE.SC2109,425.0,1,0,INE.sc2109P425,SC,7.55,OTM_1
82,2021-07-23,436.6,PUT,XINE.SC2109,450.0,1,0,INE.sc2109P450,SC,20.65,ITM_2
83,2021-07-23,436.6,PUT,XINE.SC2109,420.0,1,0,INE.sc2109P420,SC,6.05,OTM_2
84,2021-07-26,439.2,CALL,XINE.SC2109,435.0,1,0,INE.sc2109C435,SC,14.45,ITM_0
85,2021-07-26,439.2,CALL,XINE.SC2109,445.0,1,0,INE.sc2109C445,SC,10.1,OTM_0
86,2021-07-26,439.2,CALL,XINE.SC2109,440.0,1,0,INE.sc2109C440,SC,12.35,ATM_0
87,2021-07-26,439.2,CALL,XINE.SC2109,430.0,1,0,INE.sc2109C430,SC,17.85,ITM_1
88,2021-07-26,439.2,CALL,XINE.SC2109,450.0,1,0,INE.sc2109C450,SC,7.9,OTM_1
89,2021-07-26,439.2,CALL,XINE.SC2109,425.0,1,0,INE.sc2109C425,SC,20.55,ITM_2
90,2021-07-26,439.2,CALL,XINE.SC2109,455.0,1,0,INE.sc2109C455,SC,6.1,OTM_2
