品种代码,合约类型,持仓周期,VIX平滑窗口,VIX分位数参数组合,VIX状态检视周期,标的均线参数组合,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,strategy
ZN,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",-0.331146716,-0.0298409,0.090113834,0.162936007,-0.183144908,pure_sell
ZN,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",-0.347805336,-0.036983441,0.106333736,0.185758061,-0.199094674,pure_sell
ZN,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",-0.517551351,-0.049344409,0.095342055,0.184393774,-0.267603446,pure_sell
ZN,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",-0.631808145,-0.070826613,0.112101456,0.225972964,-0.313429587,pure_sell
ZN,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",-0.112288745,-0.009197076,0.081905592,0.223246989,-0.041196865,pure_sell
ZN,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",-0.099865797,-0.009460955,0.094736685,0.256958765,-0.03681896,pure_sell
ZN,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.726523384,0.059134062,0.081393199,0.063143804,0.93649825,pure_sell
ZN,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.720036554,0.068589353,0.095258155,0.069950569,0.980540327,pure_sell
ZN,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",-0.449370187,-0.039877792,0.088741517,0.159199945,-0.250488731,pure_sell
ZN,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",-0.504455387,-0.0531505,0.105362142,0.185530743,-0.286478129,pure_sell
Y,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",0.120541305,0.011076238,0.091887488,0.052717317,0.210106249,pure_sell
Y,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",0.234342236,0.024235532,0.103419393,0.062111867,0.390191645,pure_sell
Y,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.327895488,0.03059059,0.093293721,0.055204137,0.554135825,pure_sell
