,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-08-25,5860.0,CALL,XDCE.A2211,5800.0,1,0,DCE.a2211-C-5800.option,A,168.5,ITM_0
1,2022-08-25,5860.0,CALL,XDCE.A2211,6000.0,1,0,DCE.a2211-C-6000.option,A,76.5,OTM_0
2,2022-08-25,5860.0,CALL,XDCE.A2211,5900.0,1,0,DCE.a2211-C-5900.option,A,117.5,ATM_0
3,2022-08-25,5860.0,CALL,XDCE.A2211,5700.0,1,0,DCE.a2211-C-5700.option,A,210.5,ITM_1
4,2022-08-25,5860.0,CALL,XDCE.A2211,6100.0,1,0,DCE.a2211-C-6100.option,A,48.5,OTM_1
5,2022-08-25,5860.0,CALL,XDCE.A2211,5600.0,1,0,DCE.a2211-C-5600.option,A,287.5,ITM_2
6,2022-08-25,5860.0,CALL,XDCE.A2211,6200.0,1,0,DCE.a2211-C-6200.option,A,30.5,OTM_2
7,2022-08-25,5860.0,PUT,XDCE.A2211,6000.0,1,0,DCE.a2211-P-6000.option,A,225.5,ITM_0
8,2022-08-25,5860.0,PUT,XDCE.A2211,5800.0,1,0,DCE.a2211-P-5800.option,A,110.0,OTM_0
9,2022-08-25,5860.0,PUT,XDCE.A2211,5900.0,1,0,DCE.a2211-P-5900.option,A,170.5,ATM_0
10,2022-08-25,5860.0,PUT,XDCE.A2211,6100.0,1,0,DCE.a2211-P-6100.option,A,290.0,ITM_1
11,2022-08-25,5860.0,PUT,XDCE.A2211,5700.0,1,0,DCE.a2211-P-5700.option,A,75.5,OTM_1
12,2022-08-25,5860.0,PUT,XDCE.A2211,6200.0,1,0,DCE.a2211-P-6200.option,A,373.5,ITM_2
13,2022-08-25,5860.0,PUT,XDCE.A2211,5600.0,1,0,DCE.a2211-P-5600.option,A,51.5,OTM_2
14,2022-08-26,5948.0,CALL,XDCE.A2211,5900.0,1,0,DCE.a2211-C-5900.option,A,163.0,ITM_0
15,2022-08-26,5948.0,CALL,XDCE.A2211,6100.0,1,0,DCE.a2211-C-6100.option,A,75.0,OTM_0
16,2022-08-26,5948.0,CALL,XDCE.A2211,6000.0,1,0,DCE.a2211-C-6000.option,A,110.0,ATM_0
17,2022-08-26,5948.0,CALL,XDCE.A2211,5800.0,1,0,DCE.a2211-C-5800.option,A,230.5,ITM_1
18,2022-08-26,5948.0,CALL,XDCE.A2211,6200.0,1,0,DCE.a2211-C-6200.option,A,48.5,OTM_1
19,2022-08-26,5948.0,CALL,XDCE.A2211,5700.0,1,0,DCE.a2211-C-5700.option,A,311.5,ITM_2
20,2022-08-26,5948.0,CALL,XDCE.A2211,6300.0,1,0,DCE.a2211-C-6300.option,A,32.0,OTM_2
21,2022-08-26,5948.0,PUT,XDCE.A2211,6100.0,1,0,DCE.a2211-P-6100.option,A,214.5,ITM_0
22,2022-08-26,5948.0,PUT,XDCE.A2211,5900.0,1,0,DCE.a2211-P-5900.option,A,109.5,OTM_0
23,2022-08-26,5948.0,PUT,XDCE.A2211,6000.0,1,0,DCE.a2211-P-6000.option,A,158.0,ATM_0
24,2022-08-26,5948.0,PUT,XDCE.A2211,6200.0,1,0,DCE.a2211-P-6200.option,A,318.0,ITM_1
25,2022-08-26,5948.0,PUT,XDCE.A2211,5800.0,1,0,DCE.a2211-P-5800.option,A,78.5,OTM_1
26,2022-08-26,5948.0,PUT,XDCE.A2211,6300.0,1,0,DCE.a2211-P-6300.option,A,377.0,ITM_2
27,2022-08-26,5948.0,PUT,XDCE.A2211,5700.0,1,0,DCE.a2211-P-5700.option,A,53.0,OTM_2
28,2022-08-29,5927.0,CALL,XDCE.A2211,5800.0,1,0,DCE.a2211-C-5800.option,A,194.0,ITM_0
29,2022-08-29,5927.0,CALL,XDCE.A2211,6000.0,1,0,DCE.a2211-C-6000.option,A,103.5,OTM_0
30,2022-08-29,5927.0,CALL,XDCE.A2211,5900.0,1,0,DCE.a2211-C-5900.option,A,137.0,ATM_0
31,2022-08-29,5927.0,CALL,XDCE.A2211,5700.0,1,0,DCE.a2211-C-5700.option,A,267.5,ITM_1
32,2022-08-29,5927.0,CALL,XDCE.A2211,6100.0,1,0,DCE.a2211-C-6100.option,A,66.0,OTM_1
33,2022-08-29,5927.0,CALL,XDCE.A2211,5600.0,1,0,DCE.a2211-C-5600.option,A,387.0,ITM_2
34,2022-08-29,5927.0,CALL,XDCE.A2211,6200.0,1,0,DCE.a2211-C-6200.option,A,42.0,OTM_2
35,2022-08-29,5927.0,PUT,XDCE.A2211,6000.0,1,0,DCE.a2211-P-6000.option,A,178.0,ITM_0
36,2022-08-29,5927.0,PUT,XDCE.A2211,5800.0,1,0,DCE.a2211-P-5800.option,A,87.0,OTM_0
37,2022-08-29,5927.0,PUT,XDCE.A2211,5900.0,1,0,DCE.a2211-P-5900.option,A,141.5,ATM_0
38,2022-08-29,5927.0,PUT,XDCE.A2211,6100.0,1,0,DCE.a2211-P-6100.option,A,266.5,ITM_1
39,2022-08-29,5927.0,PUT,XDCE.A2211,5700.0,1,0,DCE.a2211-P-5700.option,A,62.0,OTM_1
40,2022-08-29,5927.0,PUT,XDCE.A2211,6200.0,1,0,DCE.a2211-P-6200.option,A,334.5,ITM_2
41,2022-08-29,5927.0,PUT,XDCE.A2211,5600.0,1,0,DCE.a2211-P-5600.option,A,43.5,OTM_2
42,2022-08-30,5893.0,CALL,XDCE.A2211,5800.0,1,0,DCE.a2211-C-5800.option,A,186.0,ITM_0
43,2022-08-30,5893.0,CALL,XDCE.A2211,6000.0,1,0,DCE.a2211-C-6000.option,A,85.5,OTM_0
44,2022-08-30,5893.0,CALL,XDCE.A2211,5900.0,1,0,DCE.a2211-C-5900.option,A,129.0,ATM_0
45,2022-08-30,5893.0,CALL,XDCE.A2211,5700.0,1,0,DCE.a2211-C-5700.option,A,265.5,ITM_1
46,2022-08-30,5893.0,CALL,XDCE.A2211,6100.0,1,0,DCE.a2211-C-6100.option,A,56.5,OTM_1
47,2022-08-30,5893.0,CALL,XDCE.A2211,5600.0,1,0,DCE.a2211-C-5600.option,A,339.0,ITM_2
