,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-08-08,5822.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,219.5,ITM_0
1,2022-08-08,5822.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,132.0,OTM_0
2,2022-08-08,5822.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,178.0,ATM_0
3,2022-08-08,5822.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,299.0,ITM_1
4,2022-08-08,5822.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,93.0,OTM_1
5,2022-08-08,5822.0,CALL,XDCE.A2211,5500.0,0,1,DCE.a2211-C-5500.option,A,374.0,ITM_2
6,2022-08-08,5822.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,62.5,OTM_2
7,2022-08-08,5822.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,205.5,ITM_0
8,2022-08-08,5822.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,116.0,OTM_0
9,2022-08-08,5822.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,155.5,ATM_0
10,2022-08-08,5822.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,287.5,ITM_1
11,2022-08-08,5822.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,85.0,OTM_1
12,2022-08-08,5822.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,345.0,ITM_2
13,2022-08-08,5822.0,PUT,XDCE.A2211,5500.0,0,1,DCE.a2211-P-5500.option,A,57.0,OTM_2
14,2022-08-09,5817.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,238.5,ITM_0
15,2022-08-09,5817.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,126.5,OTM_0
16,2022-08-09,5817.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,173.0,ATM_0
17,2022-08-09,5817.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,298.5,ITM_1
18,2022-08-09,5817.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,94.0,OTM_1
19,2022-08-09,5817.0,CALL,XDCE.A2211,5500.0,0,1,DCE.a2211-C-5500.option,A,375.5,ITM_2
20,2022-08-09,5817.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,67.0,OTM_2
21,2022-08-09,5817.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,204.5,ITM_0
22,2022-08-09,5817.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,111.5,OTM_0
23,2022-08-09,5817.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,151.0,ATM_0
24,2022-08-09,5817.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,290.0,ITM_1
25,2022-08-09,5817.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,79.5,OTM_1
26,2022-08-09,5817.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,335.5,ITM_2
27,2022-08-09,5817.0,PUT,XDCE.A2211,5500.0,0,1,DCE.a2211-P-5500.option,A,57.0,OTM_2
28,2022-08-10,5844.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,243.5,ITM_0
29,2022-08-10,5844.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,133.0,OTM_0
30,2022-08-10,5844.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,183.0,ATM_0
31,2022-08-10,5844.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,314.5,ITM_1
32,2022-08-10,5844.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,91.5,OTM_1
33,2022-08-10,5844.0,CALL,XDCE.A2211,5500.0,0,1,DCE.a2211-C-5500.option,A,386.5,ITM_2
34,2022-08-10,5844.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,66.0,OTM_2
35,2022-08-10,5844.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,192.5,ITM_0
36,2022-08-10,5844.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,102.5,OTM_0
37,2022-08-10,5844.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,140.0,ATM_0
38,2022-08-10,5844.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,252.5,ITM_1
39,2022-08-10,5844.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,74.5,OTM_1
40,2022-08-10,5844.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,321.5,ITM_2
41,2022-08-10,5844.0,PUT,XDCE.A2211,5500.0,0,1,DCE.a2211-P-5500.option,A,52.0,OTM_2
42,2022-08-11,5860.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,186.5,ITM_0
43,2022-08-11,5860.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,89.0,OTM_0
44,2022-08-11,5860.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,130.0,ATM_0
45,2022-08-11,5860.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,238.5,ITM_1
46,2022-08-11,5860.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,62.0,OTM_1
47,2022-08-11,5860.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,322.0,ITM_2
48,2022-08-11,5860.0,CALL,XDCE.A2211,6200.0,0,1,DCE.a2211-C-6200.option,A,40.5,OTM_2
49,2022-08-11,5860.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,242.0,ITM_0
50,2022-08-11,5860.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,126.0,OTM_0
51,2022-08-11,5860.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,173.0,ATM_0
52,2022-08-11,5860.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,307.5,ITM_1
53,2022-08-11,5860.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,89.5,OTM_1
54,2022-08-11,5860.0,PUT,XDCE.A2211,6200.0,0,1,DCE.a2211-P-6200.option,A,377.5,ITM_2
55,2022-08-11,5860.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,63.0,OTM_2
56,2022-08-12,5875.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,192.0,ITM_0
57,2022-08-12,5875.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,100.0,OTM_0
58,2022-08-12,5875.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,139.5,ATM_0
59,2022-08-12,5875.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,269.0,ITM_1
60,2022-08-12,5875.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,65.0,OTM_1
61,2022-08-12,5875.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,337.5,ITM_2
62,2022-08-12,5875.0,CALL,XDCE.A2211,6200.0,0,1,DCE.a2211-C-6200.option,A,43.5,OTM_2
63,2022-08-12,5875.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,220.5,ITM_0
64,2022-08-12,5875.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,123.5,OTM_0
65,2022-08-12,5875.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,165.5,ATM_0
66,2022-08-12,5875.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,290.5,ITM_1
67,2022-08-12,5875.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,80.0,OTM_1
68,2022-08-12,5875.0,PUT,XDCE.A2211,6200.0,0,1,DCE.a2211-P-6200.option,A,365.0,ITM_2
69,2022-08-12,5875.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,63.0,OTM_2
70,2022-08-15,5863.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,194.5,ITM_0
71,2022-08-15,5863.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,121.0,OTM_0
72,2022-08-15,5863.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,138.0,ATM_0
73,2022-08-15,5863.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,285.0,ITM_1
74,2022-08-15,5863.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,66.0,OTM_1
75,2022-08-15,5863.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,361.0,ITM_2
76,2022-08-15,5863.0,CALL,XDCE.A2211,6200.0,0,1,DCE.a2211-C-6200.option,A,42.0,OTM_2
77,2022-08-15,5863.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,223.0,ITM_0
78,2022-08-15,5863.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,119.0,OTM_0
79,2022-08-15,5863.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,172.5,ATM_0
80,2022-08-15,5863.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,292.5,ITM_1
81,2022-08-15,5863.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,90.0,OTM_1
82,2022-08-15,5863.0,PUT,XDCE.A2211,6200.0,0,1,DCE.a2211-P-6200.option,A,356.0,ITM_2
83,2022-08-15,5863.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,65.0,OTM_2
84,2022-08-16,5847.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,257.5,ITM_0
85,2022-08-16,5847.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,129.5,OTM_0
86,2022-08-16,5847.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,177.0,ATM_0
87,2022-08-16,5847.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,318.5,ITM_1
88,2022-08-16,5847.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,96.0,OTM_1
89,2022-08-16,5847.0,CALL,XDCE.A2211,5500.0,0,1,DCE.a2211-C-5500.option,A,417.0,ITM_2
90,2022-08-16,5847.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,59.5,OTM_2
91,2022-08-16,5847.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,176.0,ITM_0
92,2022-08-16,5847.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,93.0,OTM_0
93,2022-08-16,5847.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,131.5,ATM_0
94,2022-08-16,5847.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,237.5,ITM_1
95,2022-08-16,5847.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,65.0,OTM_1
96,2022-08-16,5847.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,290.0,ITM_2
97,2022-08-16,5847.0,PUT,XDCE.A2211,5500.0,0,1,DCE.a2211-P-5500.option,A,44.0,OTM_2
98,2022-08-17,5848.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,181.0,ITM_0
99,2022-08-17,5848.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,87.0,OTM_0
100,2022-08-17,5848.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,127.0,ATM_0
101,2022-08-17,5848.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,238.0,ITM_1
102,2022-08-17,5848.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,57.5,OTM_1
103,2022-08-17,5848.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,310.0,ITM_2
104,2022-08-17,5848.0,CALL,XDCE.A2211,6200.0,0,1,DCE.a2211-C-6200.option,A,38.5,OTM_2
105,2022-08-17,5848.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,234.5,ITM_0
106,2022-08-17,5848.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,127.0,OTM_0
107,2022-08-17,5848.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,171.5,ATM_0
108,2022-08-17,5848.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,307.0,ITM_1
109,2022-08-17,5848.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,90.5,OTM_1
110,2022-08-17,5848.0,PUT,XDCE.A2211,6200.0,0,1,DCE.a2211-P-6200.option,A,380.5,ITM_2
111,2022-08-17,5848.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,64.0,OTM_2
112,2022-08-18,5862.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,177.5,ITM_0
113,2022-08-18,5862.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,82.5,OTM_0
114,2022-08-18,5862.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,120.5,ATM_0
115,2022-08-18,5862.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,266.0,ITM_1
116,2022-08-18,5862.0,CALL,XDCE.A2211,6100.0,0,1,DCE.a2211-C-6100.option,A,51.5,OTM_1
117,2022-08-18,5862.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,339.0,ITM_2
118,2022-08-18,5862.0,CALL,XDCE.A2211,6200.0,0,1,DCE.a2211-C-6200.option,A,32.5,OTM_2
119,2022-08-18,5862.0,PUT,XDCE.A2211,6000.0,0,1,DCE.a2211-P-6000.option,A,223.5,ITM_0
120,2022-08-18,5862.0,PUT,XDCE.A2211,5800.0,0,1,DCE.a2211-P-5800.option,A,124.5,OTM_0
121,2022-08-18,5862.0,PUT,XDCE.A2211,5900.0,0,1,DCE.a2211-P-5900.option,A,170.5,ATM_0
122,2022-08-18,5862.0,PUT,XDCE.A2211,6100.0,0,1,DCE.a2211-P-6100.option,A,288.5,ITM_1
123,2022-08-18,5862.0,PUT,XDCE.A2211,5700.0,0,1,DCE.a2211-P-5700.option,A,89.0,OTM_1
124,2022-08-18,5862.0,PUT,XDCE.A2211,6200.0,0,1,DCE.a2211-P-6200.option,A,365.0,ITM_2
125,2022-08-18,5862.0,PUT,XDCE.A2211,5600.0,0,1,DCE.a2211-P-5600.option,A,65.0,OTM_2
126,2022-08-19,5840.0,CALL,XDCE.A2211,5700.0,0,1,DCE.a2211-C-5700.option,A,235.0,ITM_0
127,2022-08-19,5840.0,CALL,XDCE.A2211,5900.0,0,1,DCE.a2211-C-5900.option,A,116.5,OTM_0
128,2022-08-19,5840.0,CALL,XDCE.A2211,5800.0,0,1,DCE.a2211-C-5800.option,A,171.5,ATM_0
129,2022-08-19,5840.0,CALL,XDCE.A2211,5600.0,0,1,DCE.a2211-C-5600.option,A,305.0,ITM_1
130,2022-08-19,5840.0,CALL,XDCE.A2211,6000.0,0,1,DCE.a2211-C-6000.option,A,82.5,OTM_1
131,2022-08-19,5840.0,CALL,XDCE.A2211,5500.0,0,1,DCE.a2211-C-5500.option,A,398.0,ITM_2
