,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-04,3895.0,CALL,XDCE.PG2102,3850.0,1,0,DCE.pg2102-C-3850.option,PG,88.6,ITM_0
1,2021-01-04,3895.0,CALL,XDCE.PG2102,3950.0,1,0,DCE.pg2102-C-3950.option,PG,46.4,OTM_0
2,2021-01-04,3895.0,CALL,XDCE.PG2102,3900.0,1,0,DCE.pg2102-C-3900.option,PG,67.4,ATM_0
3,2021-01-04,3895.0,CALL,XDCE.PG2102,3800.0,1,0,DCE.pg2102-C-3800.option,PG,129.0,ITM_1
4,2021-01-04,3895.0,CALL,XDCE.PG2102,4000.0,1,0,DCE.pg2102-C-4000.option,PG,34.0,OTM_1
5,2021-01-04,3895.0,CALL,XDCE.PG2102,3750.0,1,0,DCE.pg2102-C-3750.option,PG,161.0,ITM_2
6,2021-01-04,3895.0,CALL,XDCE.PG2102,4050.0,1,0,DCE.pg2102-C-4050.option,PG,24.6,OTM_2
7,2021-01-04,3895.0,PUT,XDCE.PG2102,3950.0,1,0,DCE.pg2102-P-3950.option,PG,103.4,ITM_0
8,2021-01-04,3895.0,PUT,XDCE.PG2102,3850.0,1,0,DCE.pg2102-P-3850.option,PG,51.2,OTM_0
9,2021-01-04,3895.0,PUT,XDCE.PG2102,3900.0,1,0,DCE.pg2102-P-3900.option,PG,73.0,ATM_0
10,2021-01-04,3895.0,PUT,XDCE.PG2102,4000.0,1,0,DCE.pg2102-P-4000.option,PG,139.8,ITM_1
11,2021-01-04,3895.0,PUT,XDCE.PG2102,3800.0,1,0,DCE.pg2102-P-3800.option,PG,30.4,OTM_1
12,2021-01-04,3895.0,PUT,XDCE.PG2102,4050.0,1,0,DCE.pg2102-P-4050.option,PG,180.8,ITM_2
13,2021-01-04,3895.0,PUT,XDCE.PG2102,3750.0,1,0,DCE.pg2102-P-3750.option,PG,18.2,OTM_2
14,2021-01-05,3945.0,CALL,XDCE.PG2102,3900.0,1,0,DCE.pg2102-C-3900.option,PG,75.4,ITM_0
15,2021-01-05,3945.0,CALL,XDCE.PG2102,4000.0,1,0,DCE.pg2102-C-4000.option,PG,33.4,OTM_0
16,2021-01-05,3945.0,CALL,XDCE.PG2102,3950.0,1,0,DCE.pg2102-C-3950.option,PG,51.2,ATM_0
17,2021-01-05,3945.0,CALL,XDCE.PG2102,3850.0,1,0,DCE.pg2102-C-3850.option,PG,112.8,ITM_1
18,2021-01-05,3945.0,CALL,XDCE.PG2102,4050.0,1,0,DCE.pg2102-C-4050.option,PG,20.2,OTM_1
19,2021-01-05,3945.0,CALL,XDCE.PG2102,3800.0,1,0,DCE.pg2102-C-3800.option,PG,156.0,ITM_2
20,2021-01-05,3945.0,CALL,XDCE.PG2102,4100.0,1,0,DCE.pg2102-C-4100.option,PG,13.0,OTM_2
21,2021-01-05,3945.0,PUT,XDCE.PG2102,4000.0,1,0,DCE.pg2102-P-4000.option,PG,92.2,ITM_0
22,2021-01-05,3945.0,PUT,XDCE.PG2102,3900.0,1,0,DCE.pg2102-P-3900.option,PG,37.0,OTM_0
23,2021-01-05,3945.0,PUT,XDCE.PG2102,3950.0,1,0,DCE.pg2102-P-3950.option,PG,61.4,ATM_0
24,2021-01-05,3945.0,PUT,XDCE.PG2102,4050.0,1,0,DCE.pg2102-P-4050.option,PG,136.2,ITM_1
25,2021-01-05,3945.0,PUT,XDCE.PG2102,3850.0,1,0,DCE.pg2102-P-3850.option,PG,24.4,OTM_1
26,2021-01-05,3945.0,PUT,XDCE.PG2102,4100.0,1,0,DCE.pg2102-P-4100.option,PG,200.0,ITM_2
27,2021-01-05,3945.0,PUT,XDCE.PG2102,3800.0,1,0,DCE.pg2102-P-3800.option,PG,12.6,OTM_2
28,2021-01-06,3948.0,CALL,XDCE.PG2102,3900.0,1,0,DCE.pg2102-C-3900.option,PG,64.6,ITM_0
29,2021-01-06,3948.0,CALL,XDCE.PG2102,4000.0,1,0,DCE.pg2102-C-4000.option,PG,24.0,OTM_0
30,2021-01-06,3948.0,CALL,XDCE.PG2102,3950.0,1,0,DCE.pg2102-C-3950.option,PG,41.8,ATM_0
31,2021-01-06,3948.0,CALL,XDCE.PG2102,3850.0,1,0,DCE.pg2102-C-3850.option,PG,110.6,ITM_1
32,2021-01-06,3948.0,CALL,XDCE.PG2102,4050.0,1,0,DCE.pg2102-C-4050.option,PG,14.2,OTM_1
33,2021-01-06,3948.0,CALL,XDCE.PG2102,3800.0,1,0,DCE.pg2102-C-3800.option,PG,144.2,ITM_2
34,2021-01-06,3948.0,CALL,XDCE.PG2102,4100.0,1,0,DCE.pg2102-C-4100.option,PG,8.2,OTM_2
35,2021-01-06,3948.0,PUT,XDCE.PG2102,4000.0,1,0,DCE.pg2102-P-4000.option,PG,73.6,ITM_0
36,2021-01-06,3948.0,PUT,XDCE.PG2102,3900.0,1,0,DCE.pg2102-P-3900.option,PG,22.0,OTM_0
37,2021-01-06,3948.0,PUT,XDCE.PG2102,3950.0,1,0,DCE.pg2102-P-3950.option,PG,56.0,ATM_0
38,2021-01-06,3948.0,PUT,XDCE.PG2102,4050.0,1,0,DCE.pg2102-P-4050.option,PG,123.2,ITM_1
39,2021-01-06,3948.0,PUT,XDCE.PG2102,3850.0,1,0,DCE.pg2102-P-3850.option,PG,11.2,OTM_1
40,2021-01-06,3948.0,PUT,XDCE.PG2102,4100.0,1,0,DCE.pg2102-P-4100.option,PG,164.6,ITM_2
41,2021-01-06,3948.0,PUT,XDCE.PG2102,3800.0,1,0,DCE.pg2102-P-3800.option,PG,5.0,OTM_2
42,2021-01-07,3953.0,CALL,XDCE.PG2102,3900.0,1,0,DCE.pg2102-C-3900.option,PG,64.2,ITM_0
43,2021-01-07,3953.0,CALL,XDCE.PG2102,4000.0,1,0,DCE.pg2102-C-4000.option,PG,18.6,OTM_0
44,2021-01-07,3953.0,CALL,XDCE.PG2102,3950.0,1,0,DCE.pg2102-C-3950.option,PG,33.8,ATM_0
45,2021-01-07,3953.0,CALL,XDCE.PG2102,3850.0,1,0,DCE.pg2102-C-3850.option,PG,119.0,ITM_1
46,2021-01-07,3953.0,CALL,XDCE.PG2102,4050.0,1,0,DCE.pg2102-C-4050.option,PG,6.6,OTM_1
47,2021-01-07,3953.0,CALL,XDCE.PG2102,3800.0,1,0,DCE.pg2102-C-3800.option,PG,165.0,ITM_2
48,2021-01-07,3953.0,CALL,XDCE.PG2102,4100.0,1,0,DCE.pg2102-C-4100.option,PG,19.8,OTM_2
49,2021-01-07,3953.0,PUT,XDCE.PG2102,4000.0,1,0,DCE.pg2102-P-4000.option,PG,59.0,ITM_0
50,2021-01-07,3953.0,PUT,XDCE.PG2102,3900.0,1,0,DCE.pg2102-P-3900.option,PG,11.4,OTM_0
51,2021-01-07,3953.0,PUT,XDCE.PG2102,3950.0,1,0,DCE.pg2102-P-3950.option,PG,35.0,ATM_0
52,2021-01-07,3953.0,PUT,XDCE.PG2102,4050.0,1,0,DCE.pg2102-P-4050.option,PG,99.0,ITM_1
53,2021-01-07,3953.0,PUT,XDCE.PG2102,3850.0,1,0,DCE.pg2102-P-3850.option,PG,5.0,OTM_1
54,2021-01-07,3953.0,PUT,XDCE.PG2102,4100.0,1,0,DCE.pg2102-P-4100.option,PG,135.6,ITM_2
55,2021-01-07,3953.0,PUT,XDCE.PG2102,3800.0,1,0,DCE.pg2102-P-3800.option,PG,1.8,OTM_2
56,2021-01-08,3942.0,CALL,XDCE.PG2102,3900.0,1,0,DCE.pg2102-C-3900.option,PG,45.0,ITM_0
57,2021-01-08,3942.0,CALL,XDCE.PG2102,4000.0,1,0,DCE.pg2102-C-4000.option,PG,0.4,OTM_0
58,2021-01-08,3942.0,CALL,XDCE.PG2102,3950.0,1,0,DCE.pg2102-C-3950.option,PG,0.4,ATM_0
59,2021-01-08,3942.0,CALL,XDCE.PG2102,3850.0,1,0,DCE.pg2102-C-3850.option,PG,95.0,ITM_1
60,2021-01-08,3942.0,CALL,XDCE.PG2102,4050.0,1,0,DCE.pg2102-C-4050.option,PG,0.4,OTM_1
61,2021-01-08,3942.0,CALL,XDCE.PG2102,3800.0,1,0,DCE.pg2102-C-3800.option,PG,134.8,ITM_2
62,2021-01-08,3942.0,CALL,XDCE.PG2102,4100.0,1,0,DCE.pg2102-C-4100.option,PG,0.2,OTM_2
63,2021-01-08,3942.0,PUT,XDCE.PG2102,4000.0,1,0,DCE.pg2102-P-4000.option,PG,59.0,ITM_0
64,2021-01-08,3942.0,PUT,XDCE.PG2102,3900.0,1,0,DCE.pg2102-P-3900.option,PG,0.2,OTM_0
65,2021-01-08,3942.0,PUT,XDCE.PG2102,3950.0,1,0,DCE.pg2102-P-3950.option,PG,7.0,ATM_0
66,2021-01-08,3942.0,PUT,XDCE.PG2102,4050.0,1,0,DCE.pg2102-P-4050.option,PG,109.0,ITM_1
67,2021-01-08,3942.0,PUT,XDCE.PG2102,3850.0,1,0,DCE.pg2102-P-3850.option,PG,0.2,OTM_1
68,2021-01-08,3942.0,PUT,XDCE.PG2102,4100.0,1,0,DCE.pg2102-P-4100.option,PG,240.6,ITM_2
69,2021-01-08,3942.0,PUT,XDCE.PG2102,3800.0,1,0,DCE.pg2102-P-3800.option,PG,0.4,OTM_2
70,2021-01-21,3620.0,CALL,XDCE.PG2103,3550.0,1,0,DCE.pg2103-C-3550.option,PG,126.2,ITM_0
71,2021-01-21,3620.0,CALL,XDCE.PG2103,3650.0,1,0,DCE.pg2103-C-3650.option,PG,69.8,OTM_0
72,2021-01-21,3620.0,CALL,XDCE.PG2103,3600.0,1,0,DCE.pg2103-C-3600.option,PG,93.0,ATM_0
73,2021-01-21,3620.0,CALL,XDCE.PG2103,3500.0,1,0,DCE.pg2103-C-3500.option,PG,173.4,ITM_1
74,2021-01-21,3620.0,CALL,XDCE.PG2103,3700.0,1,0,DCE.pg2103-C-3700.option,PG,52.2,OTM_1
75,2021-01-21,3620.0,CALL,XDCE.PG2103,3450.0,1,0,DCE.pg2103-C-3450.option,PG,198.8,ITM_2
76,2021-01-21,3620.0,CALL,XDCE.PG2103,3750.0,1,0,DCE.pg2103-C-3750.option,PG,39.6,OTM_2
77,2021-01-21,3620.0,PUT,XDCE.PG2103,3650.0,1,0,DCE.pg2103-P-3650.option,PG,99.8,ITM_0
78,2021-01-21,3620.0,PUT,XDCE.PG2103,3550.0,1,0,DCE.pg2103-P-3550.option,PG,48.2,OTM_0
79,2021-01-21,3620.0,PUT,XDCE.PG2103,3600.0,1,0,DCE.pg2103-P-3600.option,PG,70.0,ATM_0
80,2021-01-21,3620.0,PUT,XDCE.PG2103,3700.0,1,0,DCE.pg2103-P-3700.option,PG,128.6,ITM_1
81,2021-01-21,3620.0,PUT,XDCE.PG2103,3500.0,1,0,DCE.pg2103-P-3500.option,PG,33.8,OTM_1
82,2021-01-21,3620.0,PUT,XDCE.PG2103,3750.0,1,0,DCE.pg2103-P-3750.option,PG,164.2,ITM_2
83,2021-01-21,3620.0,PUT,XDCE.PG2103,3450.0,1,0,DCE.pg2103-P-3450.option,PG,21.0,OTM_2
84,2021-01-22,3490.0,CALL,XDCE.PG2103,3450.0,1,0,DCE.pg2103-C-3450.option,PG,98.0,ITM_0
85,2021-01-22,3490.0,CALL,XDCE.PG2103,3550.0,1,0,DCE.pg2103-C-3550.option,PG,55.4,OTM_0
86,2021-01-22,3490.0,CALL,XDCE.PG2103,3500.0,1,0,DCE.pg2103-C-3500.option,PG,74.0,ATM_0
87,2021-01-22,3490.0,CALL,XDCE.PG2103,3400.0,1,0,DCE.pg2103-C-3400.option,PG,128.8,ITM_1
88,2021-01-22,3490.0,CALL,XDCE.PG2103,3600.0,1,0,DCE.pg2103-C-3600.option,PG,37.0,OTM_1
89,2021-01-22,3490.0,CALL,XDCE.PG2103,3350.0,1,0,DCE.pg2103-C-3350.option,PG,165.6,ITM_2
90,2021-01-22,3490.0,CALL,XDCE.PG2103,3650.0,1,0,DCE.pg2103-C-3650.option,PG,25.4,OTM_2
91,2021-01-22,3490.0,PUT,XDCE.PG2103,3550.0,1,0,DCE.pg2103-P-3550.option,PG,113.6,ITM_0
92,2021-01-22,3490.0,PUT,XDCE.PG2103,3450.0,1,0,DCE.pg2103-P-3450.option,PG,54.2,OTM_0
93,2021-01-22,3490.0,PUT,XDCE.PG2103,3500.0,1,0,DCE.pg2103-P-3500.option,PG,84.0,ATM_0
94,2021-01-22,3490.0,PUT,XDCE.PG2103,3600.0,1,0,DCE.pg2103-P-3600.option,PG,151.2,ITM_1
95,2021-01-22,3490.0,PUT,XDCE.PG2103,3400.0,1,0,DCE.pg2103-P-3400.option,PG,36.2,OTM_1
96,2021-01-22,3490.0,PUT,XDCE.PG2103,3650.0,1,0,DCE.pg2103-P-3650.option,PG,171.6,ITM_2
97,2021-01-22,3490.0,PUT,XDCE.PG2103,3350.0,1,0,DCE.pg2103-P-3350.option,PG,24.8,OTM_2
98,2021-01-25,3432.0,CALL,XDCE.PG2103,3400.0,1,0,DCE.pg2103-C-3400.option,PG,103.2,ITM_0
99,2021-01-25,3432.0,CALL,XDCE.PG2103,3500.0,1,0,DCE.pg2103-C-3500.option,PG,54.0,OTM_0
100,2021-01-25,3432.0,CALL,XDCE.PG2103,3450.0,1,0,DCE.pg2103-C-3450.option,PG,73.0,ATM_0
101,2021-01-25,3432.0,CALL,XDCE.PG2103,3350.0,1,0,DCE.pg2103-C-3350.option,PG,116.2,ITM_1
102,2021-01-25,3432.0,CALL,XDCE.PG2103,3550.0,1,0,DCE.pg2103-C-3550.option,PG,35.0,OTM_1
103,2021-01-25,3432.0,CALL,XDCE.PG2103,3300.0,1,0,DCE.pg2103-C-3300.option,PG,166.0,ITM_2
104,2021-01-25,3432.0,CALL,XDCE.PG2103,3600.0,1,0,DCE.pg2103-C-3600.option,PG,28.4,OTM_2
105,2021-01-25,3432.0,PUT,XDCE.PG2103,3500.0,1,0,DCE.pg2103-P-3500.option,PG,109.0,ITM_0
106,2021-01-25,3432.0,PUT,XDCE.PG2103,3400.0,1,0,DCE.pg2103-P-3400.option,PG,62.0,OTM_0
107,2021-01-25,3432.0,PUT,XDCE.PG2103,3450.0,1,0,DCE.pg2103-P-3450.option,PG,80.0,ATM_0
108,2021-01-25,3432.0,PUT,XDCE.PG2103,3550.0,1,0,DCE.pg2103-P-3550.option,PG,146.2,ITM_1
109,2021-01-25,3432.0,PUT,XDCE.PG2103,3350.0,1,0,DCE.pg2103-P-3350.option,PG,41.6,OTM_1
110,2021-01-25,3432.0,PUT,XDCE.PG2103,3600.0,1,0,DCE.pg2103-P-3600.option,PG,184.4,ITM_2
111,2021-01-25,3432.0,PUT,XDCE.PG2103,3300.0,1,0,DCE.pg2103-P-3300.option,PG,25.8,OTM_2
112,2021-01-26,3336.0,CALL,XDCE.PG2103,3300.0,1,0,DCE.pg2103-C-3300.option,PG,100.4,ITM_0
113,2021-01-26,3336.0,CALL,XDCE.PG2103,3400.0,1,0,DCE.pg2103-C-3400.option,PG,50.0,OTM_0
114,2021-01-26,3336.0,CALL,XDCE.PG2103,3350.0,1,0,DCE.pg2103-C-3350.option,PG,72.2,ATM_0
