,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-08-26,5062.0,CALL,XDCE.B2211,5000.0,0,1,DCE.b2211-C-5000.option,B,195.5,ITM_0
1,2022-08-26,5062.0,CALL,XDCE.B2211,5200.0,0,1,DCE.b2211-C-5200.option,B,108.5,OTM_0
2,2022-08-26,5062.0,CALL,XDCE.B2211,5100.0,0,1,DCE.b2211-C-5100.option,B,143.5,ATM_0
3,2022-08-26,5062.0,CALL,XDCE.B2211,4950.0,0,1,DCE.b2211-C-4950.option,B,215.0,ITM_1
4,2022-08-26,5062.0,CALL,XDCE.B2211,5300.0,0,1,DCE.b2211-C-5300.option,B,80.0,OTM_1
5,2022-08-26,5062.0,CALL,XDCE.B2211,4900.0,0,1,DCE.b2211-C-4900.option,B,269.0,ITM_2
6,2022-08-26,5062.0,CALL,XDCE.B2211,5400.0,0,1,DCE.b2211-C-5400.option,B,59.5,OTM_2
7,2022-08-26,5062.0,PUT,XDCE.B2211,5200.0,0,1,DCE.b2211-P-5200.option,B,236.0,ITM_0
8,2022-08-26,5062.0,PUT,XDCE.B2211,5000.0,0,1,DCE.b2211-P-5000.option,B,131.5,OTM_0
9,2022-08-26,5062.0,PUT,XDCE.B2211,5100.0,0,1,DCE.b2211-P-5100.option,B,178.5,ATM_0
10,2022-08-26,5062.0,PUT,XDCE.B2211,5300.0,0,1,DCE.b2211-P-5300.option,B,309.0,ITM_1
11,2022-08-26,5062.0,PUT,XDCE.B2211,4950.0,0,1,DCE.b2211-P-4950.option,B,109.0,OTM_1
12,2022-08-26,5062.0,PUT,XDCE.B2211,5400.0,0,1,DCE.b2211-P-5400.option,B,394.5,ITM_2
13,2022-08-26,5062.0,PUT,XDCE.B2211,4900.0,0,1,DCE.b2211-P-4900.option,B,89.5,OTM_2
14,2022-08-29,5120.0,CALL,XDCE.B2211,5000.0,0,1,DCE.b2211-C-5000.option,B,230.0,ITM_0
15,2022-08-29,5120.0,CALL,XDCE.B2211,5200.0,0,1,DCE.b2211-C-5200.option,B,130.5,OTM_0
16,2022-08-29,5120.0,CALL,XDCE.B2211,5100.0,0,1,DCE.b2211-C-5100.option,B,163.5,ATM_0
17,2022-08-29,5120.0,CALL,XDCE.B2211,4950.0,0,1,DCE.b2211-C-4950.option,B,245.5,ITM_1
18,2022-08-29,5120.0,CALL,XDCE.B2211,5300.0,0,1,DCE.b2211-C-5300.option,B,104.0,OTM_1
19,2022-08-29,5120.0,CALL,XDCE.B2211,4900.0,0,1,DCE.b2211-C-4900.option,B,298.5,ITM_2
20,2022-08-29,5120.0,CALL,XDCE.B2211,5400.0,0,1,DCE.b2211-C-5400.option,B,74.0,OTM_2
21,2022-08-29,5120.0,PUT,XDCE.B2211,5200.0,0,1,DCE.b2211-P-5200.option,B,220.5,ITM_0
22,2022-08-29,5120.0,PUT,XDCE.B2211,5000.0,0,1,DCE.b2211-P-5000.option,B,110.0,OTM_0
23,2022-08-29,5120.0,PUT,XDCE.B2211,5100.0,0,1,DCE.b2211-P-5100.option,B,158.0,ATM_0
24,2022-08-29,5120.0,PUT,XDCE.B2211,5300.0,0,1,DCE.b2211-P-5300.option,B,288.0,ITM_1
25,2022-08-29,5120.0,PUT,XDCE.B2211,4950.0,0,1,DCE.b2211-P-4950.option,B,89.5,OTM_1
26,2022-08-29,5120.0,PUT,XDCE.B2211,5400.0,0,1,DCE.b2211-P-5400.option,B,350.0,ITM_2
27,2022-08-29,5120.0,PUT,XDCE.B2211,4900.0,0,1,DCE.b2211-P-4900.option,B,76.5,OTM_2
28,2022-08-30,5050.0,CALL,XDCE.B2211,4950.0,0,1,DCE.b2211-C-4950.option,B,194.0,ITM_0
29,2022-08-30,5050.0,CALL,XDCE.B2211,5100.0,0,1,DCE.b2211-C-5100.option,B,134.5,OTM_0
30,2022-08-30,5050.0,CALL,XDCE.B2211,5000.0,0,1,DCE.b2211-C-5000.option,B,181.0,ATM_0
31,2022-08-30,5050.0,CALL,XDCE.B2211,4900.0,0,1,DCE.b2211-C-4900.option,B,249.5,ITM_1
32,2022-08-30,5050.0,CALL,XDCE.B2211,5200.0,0,1,DCE.b2211-C-5200.option,B,93.5,OTM_1
33,2022-08-30,5050.0,CALL,XDCE.B2211,4850.0,0,1,DCE.b2211-C-4850.option,B,303.0,ITM_2
34,2022-08-30,5050.0,CALL,XDCE.B2211,5300.0,0,1,DCE.b2211-C-5300.option,B,81.0,OTM_2
35,2022-08-30,5050.0,PUT,XDCE.B2211,5100.0,0,1,DCE.b2211-P-5100.option,B,187.5,ITM_0
36,2022-08-30,5050.0,PUT,XDCE.B2211,4950.0,0,1,DCE.b2211-P-4950.option,B,129.5,OTM_0
37,2022-08-30,5050.0,PUT,XDCE.B2211,5000.0,0,1,DCE.b2211-P-5000.option,B,138.5,ATM_0
38,2022-08-30,5050.0,PUT,XDCE.B2211,5200.0,0,1,DCE.b2211-P-5200.option,B,253.0,ITM_1
39,2022-08-30,5050.0,PUT,XDCE.B2211,4900.0,0,1,DCE.b2211-P-4900.option,B,96.0,OTM_1
40,2022-08-30,5050.0,PUT,XDCE.B2211,5300.0,0,1,DCE.b2211-P-5300.option,B,303.0,ITM_2
41,2022-08-30,5050.0,PUT,XDCE.B2211,4850.0,0,1,DCE.b2211-P-4850.option,B,89.0,OTM_2
42,2022-08-31,5088.0,CALL,XDCE.B2211,5000.0,0,1,DCE.b2211-C-5000.option,B,202.0,ITM_0
43,2022-08-31,5088.0,CALL,XDCE.B2211,5200.0,0,1,DCE.b2211-C-5200.option,B,116.5,OTM_0
44,2022-08-31,5088.0,CALL,XDCE.B2211,5100.0,0,1,DCE.b2211-C-5100.option,B,152.5,ATM_0
45,2022-08-31,5088.0,CALL,XDCE.B2211,4950.0,0,1,DCE.b2211-C-4950.option,B,214.0,ITM_1
46,2022-08-31,5088.0,CALL,XDCE.B2211,5300.0,0,1,DCE.b2211-C-5300.option,B,85.0,OTM_1
47,2022-08-31,5088.0,CALL,XDCE.B2211,4900.0,0,1,DCE.b2211-C-4900.option,B,269.5,ITM_2
48,2022-08-31,5088.0,CALL,XDCE.B2211,5400.0,0,1,DCE.b2211-C-5400.option,B,61.0,OTM_2
49,2022-08-31,5088.0,PUT,XDCE.B2211,5200.0,0,1,DCE.b2211-P-5200.option,B,270.0,ITM_0
50,2022-08-31,5088.0,PUT,XDCE.B2211,5000.0,0,1,DCE.b2211-P-5000.option,B,123.0,OTM_0
51,2022-08-31,5088.0,PUT,XDCE.B2211,5100.0,0,1,DCE.b2211-P-5100.option,B,206.0,ATM_0
52,2022-08-31,5088.0,PUT,XDCE.B2211,5300.0,0,1,DCE.b2211-P-5300.option,B,331.5,ITM_1
53,2022-08-31,5088.0,PUT,XDCE.B2211,4950.0,0,1,DCE.b2211-P-4950.option,B,117.0,OTM_1
54,2022-08-31,5088.0,PUT,XDCE.B2211,5400.0,0,1,DCE.b2211-P-5400.option,B,383.0,ITM_2
55,2022-08-31,5088.0,PUT,XDCE.B2211,4900.0,0,1,DCE.b2211-P-4900.option,B,84.5,OTM_2
56,2022-09-01,5010.0,CALL,XDCE.B2211,4950.0,0,1,DCE.b2211-C-4950.option,B,186.0,ITM_0
57,2022-09-01,5010.0,CALL,XDCE.B2211,5100.0,0,1,DCE.b2211-C-5100.option,B,121.5,OTM_0
58,2022-09-01,5010.0,CALL,XDCE.B2211,5000.0,0,1,DCE.b2211-C-5000.option,B,167.5,ATM_0
59,2022-09-01,5010.0,CALL,XDCE.B2211,4900.0,0,1,DCE.b2211-C-4900.option,B,221.5,ITM_1
60,2022-09-01,5010.0,CALL,XDCE.B2211,5200.0,0,1,DCE.b2211-C-5200.option,B,92.0,OTM_1
61,2022-09-01,5010.0,CALL,XDCE.B2211,4850.0,0,1,DCE.b2211-C-4850.option,B,244.0,ITM_2
62,2022-09-01,5010.0,CALL,XDCE.B2211,5300.0,0,1,DCE.b2211-C-5300.option,B,66.0,OTM_2
63,2022-09-01,5010.0,PUT,XDCE.B2211,5100.0,0,1,DCE.b2211-P-5100.option,B,203.5,ITM_0
64,2022-09-01,5010.0,PUT,XDCE.B2211,4950.0,0,1,DCE.b2211-P-4950.option,B,128.0,OTM_0
65,2022-09-01,5010.0,PUT,XDCE.B2211,5000.0,0,1,DCE.b2211-P-5000.option,B,153.0,ATM_0
66,2022-09-01,5010.0,PUT,XDCE.B2211,5200.0,0,1,DCE.b2211-P-5200.option,B,280.0,ITM_1
67,2022-09-01,5010.0,PUT,XDCE.B2211,4900.0,0,1,DCE.b2211-P-4900.option,B,106.5,OTM_1
68,2022-09-01,5010.0,PUT,XDCE.B2211,5300.0,0,1,DCE.b2211-P-5300.option,B,355.5,ITM_2
