,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-04,2737.0,CALL,XDCE.C2109,2720.0,0,1,DCE.c2109-C-2720.option,C,123.5,ITM_0
1,2021-01-04,2737.0,CALL,XDCE.C2109,2760.0,0,1,DCE.c2109-C-2760.option,C,104.0,OTM_0
2,2021-01-04,2737.0,CALL,XDCE.C2109,2740.0,0,1,DCE.c2109-C-2740.option,C,113.5,ATM_0
3,2021-01-04,2737.0,CALL,XDCE.C2109,2700.0,0,1,DCE.c2109-C-2700.option,C,134.0,ITM_1
4,2021-01-04,2737.0,CALL,XDCE.C2109,2780.0,0,1,DCE.c2109-C-2780.option,C,95.0,OTM_1
5,2021-01-04,2737.0,CALL,XDCE.C2109,2680.0,0,1,DCE.c2109-C-2680.option,C,145.0,ITM_2
6,2021-01-04,2737.0,CALL,XDCE.C2109,2800.0,0,1,DCE.c2109-C-2800.option,C,80.0,OTM_2
7,2021-01-04,2737.0,PUT,XDCE.C2109,2760.0,0,1,DCE.c2109-P-2760.option,C,118.0,ITM_0
8,2021-01-04,2737.0,PUT,XDCE.C2109,2720.0,0,1,DCE.c2109-P-2720.option,C,97.5,OTM_0
9,2021-01-04,2737.0,PUT,XDCE.C2109,2740.0,0,1,DCE.c2109-P-2740.option,C,107.5,ATM_0
10,2021-01-04,2737.0,PUT,XDCE.C2109,2780.0,0,1,DCE.c2109-P-2780.option,C,129.0,ITM_1
11,2021-01-04,2737.0,PUT,XDCE.C2109,2700.0,0,1,DCE.c2109-P-2700.option,C,88.0,OTM_1
12,2021-01-04,2737.0,PUT,XDCE.C2109,2800.0,0,1,DCE.c2109-P-2800.option,C,140.5,ITM_2
13,2021-01-04,2737.0,PUT,XDCE.C2109,2680.0,0,1,DCE.c2109-P-2680.option,C,79.5,OTM_2
14,2021-01-05,2752.0,CALL,XDCE.C2109,2720.0,0,1,DCE.c2109-C-2720.option,C,132.0,ITM_0
15,2021-01-05,2752.0,CALL,XDCE.C2109,2760.0,0,1,DCE.c2109-C-2760.option,C,112.5,OTM_0
16,2021-01-05,2752.0,CALL,XDCE.C2109,2740.0,0,1,DCE.c2109-C-2740.option,C,122.0,ATM_0
17,2021-01-05,2752.0,CALL,XDCE.C2109,2700.0,0,1,DCE.c2109-C-2700.option,C,142.5,ITM_1
18,2021-01-05,2752.0,CALL,XDCE.C2109,2780.0,0,1,DCE.c2109-C-2780.option,C,104.0,OTM_1
19,2021-01-05,2752.0,CALL,XDCE.C2109,2680.0,0,1,DCE.c2109-C-2680.option,C,153.0,ITM_2
20,2021-01-05,2752.0,CALL,XDCE.C2109,2800.0,0,1,DCE.c2109-C-2800.option,C,95.5,OTM_2
21,2021-01-05,2752.0,PUT,XDCE.C2109,2760.0,0,1,DCE.c2109-P-2760.option,C,128.5,ITM_0
22,2021-01-05,2752.0,PUT,XDCE.C2109,2720.0,0,1,DCE.c2109-P-2720.option,C,108.0,OTM_0
23,2021-01-05,2752.0,PUT,XDCE.C2109,2740.0,0,1,DCE.c2109-P-2740.option,C,118.0,ATM_0
24,2021-01-05,2752.0,PUT,XDCE.C2109,2780.0,0,1,DCE.c2109-P-2780.option,C,139.5,ITM_1
25,2021-01-05,2752.0,PUT,XDCE.C2109,2700.0,0,1,DCE.c2109-P-2700.option,C,98.5,OTM_1
26,2021-01-05,2752.0,PUT,XDCE.C2109,2800.0,0,1,DCE.c2109-P-2800.option,C,151.0,ITM_2
27,2021-01-05,2752.0,PUT,XDCE.C2109,2680.0,0,1,DCE.c2109-P-2680.option,C,89.5,OTM_2
28,2021-01-06,2765.0,CALL,XDCE.C2109,2740.0,0,1,DCE.c2109-C-2740.option,C,132.5,ITM_0
29,2021-01-06,2765.0,CALL,XDCE.C2109,2780.0,0,1,DCE.c2109-C-2780.option,C,113.5,OTM_0
30,2021-01-06,2765.0,CALL,XDCE.C2109,2760.0,0,1,DCE.c2109-C-2760.option,C,122.5,ATM_0
31,2021-01-06,2765.0,CALL,XDCE.C2109,2720.0,0,1,DCE.c2109-C-2720.option,C,142.5,ITM_1
32,2021-01-06,2765.0,CALL,XDCE.C2109,2800.0,0,1,DCE.c2109-C-2800.option,C,104.5,OTM_1
33,2021-01-06,2765.0,CALL,XDCE.C2109,2700.0,0,1,DCE.c2109-C-2700.option,C,153.5,ITM_2
34,2021-01-06,2765.0,CALL,XDCE.C2109,2820.0,0,1,DCE.c2109-C-2820.option,C,85.5,OTM_2
35,2021-01-06,2765.0,PUT,XDCE.C2109,2780.0,0,1,DCE.c2109-P-2780.option,C,131.0,ITM_0
36,2021-01-06,2765.0,PUT,XDCE.C2109,2740.0,0,1,DCE.c2109-P-2740.option,C,110.5,OTM_0
37,2021-01-06,2765.0,PUT,XDCE.C2109,2760.0,0,1,DCE.c2109-P-2760.option,C,120.5,ATM_0
38,2021-01-06,2765.0,PUT,XDCE.C2109,2800.0,0,1,DCE.c2109-P-2800.option,C,142.5,ITM_1
39,2021-01-06,2765.0,PUT,XDCE.C2109,2720.0,0,1,DCE.c2109-P-2720.option,C,101.0,OTM_1
40,2021-01-06,2765.0,PUT,XDCE.C2109,2820.0,0,1,DCE.c2109-P-2820.option,C,154.0,ITM_2
41,2021-01-06,2765.0,PUT,XDCE.C2109,2700.0,0,1,DCE.c2109-P-2700.option,C,92.0,OTM_2
42,2021-01-07,2780.0,CALL,XDCE.C2109,2760.0,0,1,DCE.c2109-C-2760.option,C,127.5,ITM_0
43,2021-01-07,2780.0,CALL,XDCE.C2109,2800.0,0,1,DCE.c2109-C-2800.option,C,108.5,OTM_0
44,2021-01-07,2780.0,CALL,XDCE.C2109,2780.0,0,1,DCE.c2109-C-2780.option,C,117.5,ATM_0
45,2021-01-07,2780.0,CALL,XDCE.C2109,2740.0,0,1,DCE.c2109-C-2740.option,C,137.5,ITM_1
46,2021-01-07,2780.0,CALL,XDCE.C2109,2820.0,0,1,DCE.c2109-C-2820.option,C,94.0,OTM_1
47,2021-01-07,2780.0,CALL,XDCE.C2109,2720.0,0,1,DCE.c2109-C-2720.option,C,148.5,ITM_2
48,2021-01-07,2780.0,CALL,XDCE.C2109,2840.0,0,1,DCE.c2109-C-2840.option,C,87.0,OTM_2
