,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-04,20905.0,CALL,XSGE.ZN2102,20800.0,1,0,SHFE.zn2102C20800.option,ZN,455.0,ITM_0
1,2021-01-04,20905.0,CALL,XSGE.ZN2102,21200.0,1,0,SHFE.zn2102C21200.option,ZN,307.0,OTM_0
2,2021-01-04,20905.0,CALL,XSGE.ZN2102,21000.0,1,0,SHFE.zn2102C21000.option,ZN,359.0,ATM_0
3,2021-01-04,20905.0,CALL,XSGE.ZN2102,20600.0,1,0,SHFE.zn2102C20600.option,ZN,577.0,ITM_1
4,2021-01-04,20905.0,CALL,XSGE.ZN2102,21400.0,1,0,SHFE.zn2102C21400.option,ZN,213.0,OTM_1
5,2021-01-04,20905.0,CALL,XSGE.ZN2102,20400.0,1,0,SHFE.zn2102C20400.option,ZN,710.0,ITM_2
6,2021-01-04,20905.0,CALL,XSGE.ZN2102,21600.0,1,0,SHFE.zn2102C21600.option,ZN,171.0,OTM_2
7,2021-01-04,20905.0,PUT,XSGE.ZN2102,21200.0,1,0,SHFE.zn2102P21200.option,ZN,590.0,ITM_0
8,2021-01-04,20905.0,PUT,XSGE.ZN2102,20800.0,1,0,SHFE.zn2102P20800.option,ZN,356.0,OTM_0
9,2021-01-04,20905.0,PUT,XSGE.ZN2102,21000.0,1,0,SHFE.zn2102P21000.option,ZN,452.0,ATM_0
10,2021-01-04,20905.0,PUT,XSGE.ZN2102,21400.0,1,0,SHFE.zn2102P21400.option,ZN,680.0,ITM_1
11,2021-01-04,20905.0,PUT,XSGE.ZN2102,20600.0,1,0,SHFE.zn2102P20600.option,ZN,272.0,OTM_1
12,2021-01-04,20905.0,PUT,XSGE.ZN2102,21600.0,1,0,SHFE.zn2102P21600.option,ZN,858.0,ITM_2
13,2021-01-04,20905.0,PUT,XSGE.ZN2102,20400.0,1,0,SHFE.zn2102P20400.option,ZN,203.0,OTM_2
14,2021-01-05,21150.0,CALL,XSGE.ZN2102,21000.0,1,0,SHFE.zn2102C21000.option,ZN,462.0,ITM_0
15,2021-01-05,21150.0,CALL,XSGE.ZN2102,21400.0,1,0,SHFE.zn2102C21400.option,ZN,283.0,OTM_0
16,2021-01-05,21150.0,CALL,XSGE.ZN2102,21200.0,1,0,SHFE.zn2102C21200.option,ZN,369.0,ATM_0
17,2021-01-05,21150.0,CALL,XSGE.ZN2102,20800.0,1,0,SHFE.zn2102C20800.option,ZN,587.0,ITM_1
18,2021-01-05,21150.0,CALL,XSGE.ZN2102,21600.0,1,0,SHFE.zn2102C21600.option,ZN,214.0,OTM_1
19,2021-01-05,21150.0,CALL,XSGE.ZN2102,20600.0,1,0,SHFE.zn2102C20600.option,ZN,736.0,ITM_2
20,2021-01-05,21150.0,CALL,XSGE.ZN2102,21800.0,1,0,SHFE.zn2102C21800.option,ZN,163.0,OTM_2
21,2021-01-05,21150.0,PUT,XSGE.ZN2102,21400.0,1,0,SHFE.zn2102P21400.option,ZN,536.0,ITM_0
22,2021-01-05,21150.0,PUT,XSGE.ZN2102,21000.0,1,0,SHFE.zn2102P21000.option,ZN,324.0,OTM_0
23,2021-01-05,21150.0,PUT,XSGE.ZN2102,21200.0,1,0,SHFE.zn2102P21200.option,ZN,414.0,ATM_0
24,2021-01-05,21150.0,PUT,XSGE.ZN2102,21600.0,1,0,SHFE.zn2102P21600.option,ZN,672.0,ITM_1
25,2021-01-05,21150.0,PUT,XSGE.ZN2102,20800.0,1,0,SHFE.zn2102P20800.option,ZN,232.0,OTM_1
26,2021-01-05,21150.0,PUT,XSGE.ZN2102,21800.0,1,0,SHFE.zn2102P21800.option,ZN,823.0,ITM_2
