品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,分位数回望窗口,波动率移动均线回望窗口,分位数分位点参数,波动率阈值计算方式,use_vix,use_vix_call_and_vix_put
ZN,虚值一档,0.90862501,0.083952864,0.092395502,0.085659112,0.980080943,20,5,0.6,分位数_whole,FALSE,TRUE
ZN,平值期权,0.681304349,0.07737827,0.11357372,0.115935152,0.667427161,20,5,0.6,分位数_whole,FALSE,TRUE
ZN,虚值一档,1.107865339,0.116019698,0.104723647,0.100608304,1.153182129,20,5,0.6,分位数_rolling,FALSE,TRUE
ZN,平值期权,1.498889706,0.133808387,0.08927167,0.070154592,1.907336121,20,5,0.6,分位数_rolling,FALSE,TRUE
ZN,虚值一档,0.917939331,0.051230321,0.055810138,0.0396272,1.292806966,20,5,0.6,分位数_whole,TRUE,FALSE
ZN,平值期权,1.126272221,0.0619186,0.054976585,0.036585167,1.692450919,20,5,0.6,分位数_whole,TRUE,FALSE
ZN,虚值一档,-0.183206848,-0.020469047,0.111726428,0.192743441,-0.106198408,20,5,0.6,分位数_rolling,TRUE,FALSE
ZN,平值期权,-0.180889028,-0.017604243,0.097320678,0.177819468,-0.09900065,20,5,0.6,分位数_rolling,TRUE,FALSE
Y,虚值一档,0.840643525,0.068640583,0.081652426,0.054035749,1.270280952,20,5,0.6,分位数_whole,FALSE,TRUE
Y,平值期权,0.58257134,0.047033665,0.080734602,0.058459132,0.804556333,20,5,0.6,分位数_whole,FALSE,TRUE
Y,虚值一档,1.034928632,0.079980478,0.077281153,0.058462783,1.368057995,20,5,0.6,分位数_rolling,FALSE,TRUE
Y,平值期权,1.042534726,0.090717374,0.087016166,0.061946408,1.464449301,20,5,0.6,分位数_rolling,FALSE,TRUE
Y,虚值一档,1.107505271,0.054515675,0.049223852,0.025299684,2.154796666,20,5,0.6,分位数_whole,TRUE,FALSE
Y,平值期权,1.416943913,0.089005473,0.062815099,0.030992771,2.871813998,20,5,0.6,分位数_whole,TRUE,FALSE
Y,虚值一档,1.295316957,0.05507556,0.042518983,0.021663781,2.542287566,20,5,0.6,分位数_rolling,TRUE,FALSE
Y,平值期权,1.657435191,0.085790876,0.051761225,0.017849209,4.806424523,20,5,0.6,分位数_rolling,TRUE,FALSE
V,虚值一档,-0.153923193,-0.019925012,0.129447755,0.207156719,-0.096183275,20,5,0.6,分位数_rolling,FALSE,TRUE
V,平值期权,-0.190279855,-0.027004227,0.141918477,0.20713725,-0.130368764,20,5,0.6,分位数_rolling,FALSE,TRUE
V,虚值一档,-0.380751784,-0.051172828,0.134399443,0.210348617,-0.243276273,20,5,0.6,分位数_whole,FALSE,TRUE
V,平值期权,-0.383864454,-0.053501306,0.139375514,0.225083334,-0.237695545,20,5,0.6,分位数_whole,FALSE,TRUE
V,虚值一档,-0.369950002,-0.045221464,0.122236691,0.247083535,-0.183020953,20,5,0.6,分位数_rolling,TRUE,FALSE
