,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-06-21,450.3,CALL,XINE.SC2109,445.0,0,1,INE.sc2109C445,SC,25.9,ITM_0
1,2021-06-21,450.3,CALL,XINE.SC2109,455.0,0,1,INE.sc2109C455,SC,20.75,OTM_0
2,2021-06-21,450.3,CALL,XINE.SC2109,450.0,0,1,INE.sc2109C450,SC,23.3,ATM_0
3,2021-06-21,450.3,CALL,XINE.SC2109,440.0,0,1,INE.sc2109C440,SC,28.55,ITM_1
4,2021-06-21,450.3,CALL,XINE.SC2109,460.0,0,1,INE.sc2109C460,SC,19.0,OTM_1
5,2021-06-21,450.3,CALL,XINE.SC2109,435.0,0,1,INE.sc2109C435,SC,32.55,ITM_2
6,2021-06-21,450.3,CALL,XINE.SC2109,465.0,0,1,INE.sc2109C465,SC,17.15,OTM_2
7,2021-06-21,450.3,PUT,XINE.SC2109,455.0,0,1,INE.sc2109P455,SC,25.2,ITM_0
8,2021-06-21,450.3,PUT,XINE.SC2109,445.0,0,1,INE.sc2109P445,SC,19.95,OTM_0
9,2021-06-21,450.3,PUT,XINE.SC2109,450.0,0,1,INE.sc2109P450,SC,22.5,ATM_0
10,2021-06-21,450.3,PUT,XINE.SC2109,460.0,0,1,INE.sc2109P460,SC,27.6,ITM_1
11,2021-06-21,450.3,PUT,XINE.SC2109,440.0,0,1,INE.sc2109P440,SC,17.8,OTM_1
12,2021-06-21,450.3,PUT,XINE.SC2109,465.0,0,1,INE.sc2109P465,SC,31.1,ITM_2
13,2021-06-21,450.3,PUT,XINE.SC2109,435.0,0,1,INE.sc2109P435,SC,15.4,OTM_2
14,2021-06-22,459.8,CALL,XINE.SC2109,455.0,0,1,INE.sc2109C455,SC,25.9,ITM_0
15,2021-06-22,459.8,CALL,XINE.SC2109,465.0,0,1,INE.sc2109C465,SC,21.05,OTM_0
16,2021-06-22,459.8,CALL,XINE.SC2109,460.0,0,1,INE.sc2109C460,SC,23.55,ATM_0
17,2021-06-22,459.8,CALL,XINE.SC2109,450.0,0,1,INE.sc2109C450,SC,27.6,ITM_1
18,2021-06-22,459.8,CALL,XINE.SC2109,470.0,0,1,INE.sc2109C470,SC,18.8,OTM_1
19,2021-06-22,459.8,CALL,XINE.SC2109,445.0,0,1,INE.sc2109C445,SC,31.0,ITM_2
20,2021-06-22,459.8,CALL,XINE.SC2109,475.0,0,1,INE.sc2109C475,SC,17.0,OTM_2
21,2021-06-22,459.8,PUT,XINE.SC2109,465.0,0,1,INE.sc2109P465,SC,27.2,ITM_0
22,2021-06-22,459.8,PUT,XINE.SC2109,455.0,0,1,INE.sc2109P455,SC,21.55,OTM_0
23,2021-06-22,459.8,PUT,XINE.SC2109,460.0,0,1,INE.sc2109P460,SC,24.45,ATM_0
24,2021-06-22,459.8,PUT,XINE.SC2109,470.0,0,1,INE.sc2109P470,SC,30.1,ITM_1
25,2021-06-22,459.8,PUT,XINE.SC2109,450.0,0,1,INE.sc2109P450,SC,19.3,OTM_1
26,2021-06-22,459.8,PUT,XINE.SC2109,475.0,0,1,INE.sc2109P475,SC,33.6,ITM_2
27,2021-06-22,459.8,PUT,XINE.SC2109,445.0,0,1,INE.sc2109P445,SC,17.1,OTM_2
28,2021-06-23,463.7,CALL,XINE.SC2109,460.0,0,1,INE.sc2109C460,SC,25.5,ITM_0
29,2021-06-23,463.7,CALL,XINE.SC2109,470.0,0,1,INE.sc2109C470,SC,20.4,OTM_0
30,2021-06-23,463.7,CALL,XINE.SC2109,465.0,0,1,INE.sc2109C465,SC,22.5,ATM_0
