品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,波动率溢价均线回望窗口,标的涨跌幅布林带计算回望窗口,标的涨跌幅布林带标准倍数,持有天数,标的涨跌幅止盈止损
A,虚值一档,-0.21565114811448,-0.0094461905022875,0.0438031078660105,0.0241639230380031,-0.3909212294473595,30,20,1,inf,lim_both
A,平值期权,-0.1173926824036996,-0.0054575967301432,0.0464900930653857,0.0246461167285706,-0.2214384030656088,30,20,1,inf,lim_both
AG,虚值一档,,0.0,0.0,0.0,,30,20,1,inf,lim_both
AG,平值期权,,0.0,0.0,0.0,,30,20,1,inf,lim_both
AL,虚值一档,-0.4387026311409512,-0.0248956818970343,0.0567484216638664,0.1171972898648542,-0.2124254061313429,30,20,1,inf,lim_both
AL,平值期权,-0.831047242720965,-0.0480130504122667,0.0577741528328345,0.1318227232225716,-0.3642243858913515,30,20,1,inf,lim_both
AU,虚值一档,-1.061427628465675,-0.0367585846529531,0.0346312679895931,0.0790023905953799,-0.4652844600768671,30,20,1,inf,lim_both
AU,平值期权,-0.6464571692677987,-0.0196961783815275,0.0304678783342075,0.0672062180193641,-0.2930707747287977,30,20,1,inf,lim_both
B,虚值一档,-2.0445850114026403,-0.0115351210509172,0.0056417908703164,0.0027593818984547,-4.180327868852459,30,20,1,inf,lim_both
B,平值期权,-2.044585011402681,-0.0092280968407339,0.0045134326962531,0.0022075055187638,-4.1803278688524586,30,20,1,inf,lim_both
C,虚值一档,1.0531916131143364,0.0222552494533481,0.0211312444727302,0.0359358580859261,0.6193048013528349,30,20,1,inf,lim_both
C,平值期权,1.1788321718126962,0.0257289470619168,0.0218257930832964,0.0342517994540166,0.7511706675866232,30,20,1,inf,lim_both
CU,虚值一档,0.3802681671748805,0.0186363280016062,0.0490083830578321,0.0357535907371411,0.5212435343521096,30,20,1,inf,lim_both
CU,平值期权,0.203415980440802,0.0107661972354647,0.0529269982237107,0.0522085844018274,0.2062150766740167,30,20,1,inf,lim_both
I,虚值一档,-0.5773531691710638,-0.0648135265473257,0.112259757126443,0.2331147082879353,-0.2780327634551069,30,20,1,inf,lim_both
I,平值期权,-0.7044106307927884,-0.0623916400785172,0.0885728257796134,0.1707016099109535,-0.3655011813366249,30,20,1,inf,lim_both
L,虚值一档,0.5914162744431448,0.0313724304641154,0.0530462752207056,0.0444414933806261,0.7059265582148945,30,20,1,inf,lim_both
L,平值期权,0.0762725466246096,0.0044092174970899,0.0578087095844693,0.0709220234716662,0.0621699336998113,30,20,1,inf,lim_both
M,虚值一档,-0.4420851477051154,-0.0213997220134305,0.0484063355770206,0.0863959856570575,-0.2476934761572737,30,20,1,inf,lim_both
M,平值期权,-0.5593922135863536,-0.0257968139853509,0.0461157902430629,0.0889214548832137,-0.2901078712581969,30,20,1,inf,lim_both
P,虚值一档,-0.5239004257756898,-0.0788239796086807,0.1504560327317418,0.1755762914468025,-0.448944324767011,30,20,1,inf,lim_both
P,平值期权,-0.3950549411029578,-0.0336976743924245,0.0852987037659716,0.106322936068893,-0.3169370188440788,30,20,1,inf,lim_both
