品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,波动率溢价均线回望窗口,标的涨跌幅布林带计算回望窗口,标的涨跌幅布林带标准倍数,标的涨跌幅止盈止损
A,虚值一档,0.494163457,0.021533007,0.043574665,0.023922756,0.900105625,30,20,1,no_both
A,平值期权,0.626690054,0.0289184,0.046144661,0.024405698,1.184903647,30,20,1,no_both
AG,虚值一档,,0,0,0,,30,20,1,no_both
AG,平值期权,,0,0,0,,30,20,1,no_both
AL,虚值一档,0.008287992,0.000173836,0.020974405,0.025267635,0.006879777,30,20,1,no_both
AL,平值期权,0.060273406,0.001380467,0.022903424,0.027879569,0.049515377,30,20,1,no_both
AU,虚值一档,0.331601195,0.002438288,0.007353073,0.012666227,0.192503088,30,20,1,no_both
AU,平值期权,0.310707725,0.002319592,0.007465511,0.013072449,0.177441272,30,20,1,no_both
B,虚值一档,-0.270864561,-0.015800932,0.058335178,0.025839273,-0.611508393,30,20,1,no_both
B,平值期权,-0.216443077,-0.012676295,0.058566417,0.025301067,-0.501018227,30,20,1,no_both
C,虚值一档,-0.434222747,-0.006343371,0.014608564,0.022190598,-0.285858484,30,20,1,no_both
C,平值期权,-0.33904368,-0.004962839,0.014637757,0.022168673,-0.223867206,30,20,1,no_both
CU,虚值一档,-0.924130419,-0.015626377,0.016909277,0.031988113,-0.488505747,30,20,1,no_both
CU,平值期权,-0.898259325,-0.016092413,0.017915108,0.032942116,-0.488505747,30,20,1,no_both
I,虚值一档,0.464371835,0.007934271,0.017086029,0.014703281,0.53962589,30,20,1,no_both
I,平值期权,-0.027846009,-0.000426693,0.015323298,0.020482053,-0.020832516,30,20,1,no_both
L,虚值一档,-0.034481575,-0.000935412,0.027127892,0.028438465,-0.032892507,30,20,1,no_both
L,平值期权,0.478118023,0.015746355,0.032934034,0.032173323,0.489422725,30,20,1,no_both
M,虚值一档,-1.157903864,-0.030598252,0.026425555,0.073711914,-0.415105919,30,20,1,no_both
M,平值期权,-1.309193571,-0.034720891,0.026520823,0.080945875,-0.428939596,30,20,1,no_both
P,虚值一档,0.149965081,0.002457193,0.016385101,0.01502907,0.163496005,30,20,1,no_both
P,平值期权,-0.203126855,-0.002563514,0.012620259,0.015203066,-0.168618198,30,20,1,no_both
PG,虚值一档,0.210484468,0.022317722,0.106030254,0.087551481,0.254909698,30,20,1,no_both
PG,平值期权,1.229393429,0.045528029,0.037032921,0.02354143,1.933953452,30,20,1,no_both
PP,虚值一档,-0.6626625,-0.02983315,0.045020127,0.08489008,-0.351432697,30,20,1,no_both
PP,平值期权,-0.650796749,-0.030672207,0.04713024,0.084232109,-0.364139134,30,20,1,no_both
RB,虚值一档,-0.566146271,-0.003621131,0.006396104,0.002270554,-1.594822153,30,20,1,no_both
RB,平值期权,0.235240187,0.001464694,0.006226378,0.001912046,0.766035151,30,20,1,no_both
RU,虚值一档,0.219544707,0.003370167,0.015350708,0.027919535,0.120709987,30,20,1,no_both
RU,平值期权,0.553906408,0.00865404,0.01562365,0.024900202,0.34754898,30,20,1,no_both
SC,虚值一档,-0.925087938,-0.022656831,0.024491543,0.042287228,-0.53578426,30,20,1,no_both
SC,平值期权,-1.060750665,-0.027740201,0.026151481,0.046310539,-0.599004067,30,20,1,no_both
V,虚值一档,0.428083526,0.009722424,0.022711511,0.019497218,0.498656992,30,20,1,no_both
V,平值期权,0.820243799,0.019276288,0.023500682,0.02722743,0.707973106,30,20,1,no_both
Y,虚值一档,,0,0,0,,30,20,1,no_both
Y,平值期权,,0,0,0,,30,20,1,no_both
ZN,虚值一档,1.790447075,0.027176539,0.015178633,0.009379977,2.89729273,30,20,1,no_both
ZN,平值期权,1.311778287,0.020845463,0.015890996,0.008891961,2.344304448,30,20,1,no_both
A,虚值一档,0.601269923,0.026654104,0.044329682,0.023890586,1.115673962,30,20,1,no_down
A,平值期权,0.691664242,0.032268419,0.046653299,0.024385898,1.323240922,30,20,1,no_down
AG,虚值一档,,0,0,0,,30,20,1,no_down
AG,平值期权,,0,0,0,,30,20,1,no_down
AL,虚值一档,0.260720452,0.007697463,0.029523817,0.041305851,0.186352845,30,20,1,no_down
AL,平值期权,0.198200021,0.006116645,0.030860973,0.036390228,0.168084836,30,20,1,no_down
AU,虚值一档,0.323886293,0.002474402,0.007639724,0.011907277,0.207805865,30,20,1,no_down
AU,平值期权,0.570572599,0.005242993,0.009189002,0.008433193,0.62170909,30,20,1,no_down
B,虚值一档,-0.199495087,-0.011645537,0.058375056,0.024867248,-0.468308222,30,20,1,no_down
B,平值期权,-0.0956487,-0.005612123,0.058674328,0.023648951,-0.2373096,30,20,1,no_down
C,虚值一档,-0.442113497,-0.008196243,0.018538777,0.030993704,-0.264448656,30,20,1,no_down
C,平值期权,-0.354762139,-0.00663659,0.018707153,0.027551234,-0.240881755,30,20,1,no_down
CU,虚值一档,-0.982496937,-0.044966092,0.045767158,0.10905818,-0.412312881,30,20,1,no_down
CU,平值期权,-0.960432764,-0.043295456,0.045079111,0.106443857,-0.406744522,30,20,1,no_down
I,虚值一档,0.00726675,0.000480291,0.066094345,0.078544857,0.006114864,30,20,1,no_down
I,平值期权,0.060994006,0.00432814,0.07096009,0.088226988,0.049056873,30,20,1,no_down
L,虚值一档,0.402401374,0.020509317,0.050967315,0.041192053,0.497895008,30,20,1,no_down
L,平值期权,0.796662643,0.042322515,0.053124764,0.037932373,1.115736024,30,20,1,no_down
M,虚值一档,-0.974741012,-0.056638101,0.058105794,0.13171773,-0.429996025,30,20,1,no_down
M,平值期权,-1.010125523,-0.061672307,0.061054102,0.142274829,-0.433473067,30,20,1,no_down
P,虚值一档,0.003027299,8.35E-05,0.027568083,0.027381205,0.00304796,30,20,1,no_down
P,平值期权,-0.676152011,-0.020732333,0.030662236,0.049221429,-0.421205417,30,20,1,no_down
PG,虚值一档,0.103942816,0.013684967,0.131658611,0.115176046,0.11881782,30,20,1,no_down
PG,平值期权,0.404924761,0.034795684,0.085931232,0.099296582,0.350421766,30,20,1,no_down
PP,虚值一档,-0.299746193,-0.020377058,0.06798104,0.107175141,-0.190128585,30,20,1,no_down
PP,平值期权,-0.271493703,-0.0183015,0.067410405,0.097737307,-0.18725194,30,20,1,no_down
RB,虚值一档,1.673907899,0.018500906,0.011052523,0.002270554,8.148188406,30,20,1,no_down
RB,平值期权,1.962997667,0.017877818,0.009107407,0.001912046,9.350098889,30,20,1,no_down
RU,虚值一档,0.3328199,0.007390938,0.022207019,0.037604032,0.19654642,30,20,1,no_down
RU,平值期权,0.550777639,0.01303153,0.023660237,0.026169415,0.497967927,30,20,1,no_down
SC,虚值一档,-0.705887442,-0.028591236,0.040503959,0.049617964,-0.576227523,30,20,1,no_down
SC,平值期权,-0.741650575,-0.030799326,0.041528082,0.050089457,-0.61488639,30,20,1,no_down
V,虚值一档,0.493233684,0.032873906,0.066649758,0.090240512,0.364292102,30,20,1,no_down
V,平值期权,-0.261620368,-0.025515206,0.097527597,0.18370369,-0.138893267,30,20,1,no_down
Y,虚值一档,,0,0,0,,30,20,1,no_down
Y,平值期权,,0,0,0,,30,20,1,no_down
ZN,虚值一档,1.709642835,0.044205594,0.025856625,0.024559373,1.799947959,30,20,1,no_down
