品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,回望窗口,布林带标准倍数,use_vix,use_vc_vp,use_vix_call_and_vix_put
A,虚值一档,0.724144961,0.034441511,0.047561624,0.023834286,1.445040566,20,1,FALSE,TRUE,FALSE
A,平值期权,0.400560713,0.020287067,0.050646671,0.024499463,0.828061697,20,1,FALSE,TRUE,FALSE
AG,虚值一档,4.544205723,0.1253904,0.027593469,0.004871696,25.73855166,20,1,FALSE,TRUE,FALSE
AG,平值期权,4.921290167,0.129945379,0.026404738,0.004171229,31.15278161,20,1,FALSE,TRUE,FALSE
AL,虚值一档,1.051533248,0.067628355,0.064314044,0.06425592,1.052484433,20,1,FALSE,TRUE,FALSE
AL,平值期权,0.748205992,0.046109607,0.061626888,0.068322254,0.674884164,20,1,FALSE,TRUE,FALSE
AU,虚值一档,1.091502131,0.044184615,0.040480557,0.040939348,1.079270102,20,1,FALSE,TRUE,FALSE
AU,平值期权,1.224281716,0.044520092,0.036364254,0.043622844,1.020568303,20,1,FALSE,TRUE,FALSE
B,虚值一档,0.619370533,0.050312382,0.081231476,0.016517652,3.045976665,20,1,FALSE,TRUE,FALSE
B,平值期权,0.604835169,0.048214287,0.079714754,0.016768537,2.875282796,20,1,FALSE,TRUE,FALSE
C,虚值一档,0.493023896,0.014753476,0.029924464,0.030942329,0.476805607,20,1,FALSE,TRUE,FALSE
C,平值期权,0.420022345,0.013147548,0.031302022,0.029389024,0.447362535,20,1,FALSE,TRUE,FALSE
CU,虚值一档,0.637625847,0.035053043,0.054974313,0.061974926,0.565600396,20,1,FALSE,TRUE,FALSE
CU,平值期权,0.805705755,0.0478409,0.059377632,0.060833822,0.786419434,20,1,FALSE,TRUE,FALSE
I,虚值一档,-0.794492805,-0.096559381,0.121535879,0.231025672,-0.41795953,20,1,FALSE,TRUE,FALSE
I,平值期权,-0.375583614,-0.048230705,0.12841536,0.162473782,-0.296852234,20,1,FALSE,TRUE,FALSE
L,虚值一档,0.811512899,0.042617342,0.052515914,0.041181717,1.034860735,20,1,FALSE,TRUE,FALSE
L,平值期权,0.728553267,0.041168602,0.056507333,0.046930002,0.877234184,20,1,FALSE,TRUE,FALSE
M,虚值一档,0.386644941,0.023148853,0.059871087,0.05127412,0.451472454,20,1,FALSE,TRUE,FALSE
M,平值期权,0.524488585,0.031624411,0.060295708,0.042566615,0.742939291,20,1,FALSE,TRUE,FALSE
P,虚值一档,0.091150487,0.010375082,0.113823659,0.154987906,0.066941236,20,1,FALSE,TRUE,FALSE
P,平值期权,-0.006996465,-0.000840694,0.120159758,0.170395195,-0.004933787,20,1,FALSE,TRUE,FALSE
PG,虚值一档,-0.24489876,-0.030567095,0.12481523,0.199499734,-0.153218727,20,1,FALSE,TRUE,FALSE
PG,平值期权,-0.115870752,-0.014470396,0.124883943,0.193886958,-0.07463316,20,1,FALSE,TRUE,FALSE
PP,虚值一档,0.678055895,0.045266877,0.066759801,0.055450813,0.81634288,20,1,FALSE,TRUE,FALSE
PP,平值期权,0.544407046,0.038419337,0.070570977,0.076311376,0.503454914,20,1,FALSE,TRUE,FALSE
RB,虚值一档,1.734872609,0.025705929,0.014817186,0.00462933,5.552840367,20,1,FALSE,TRUE,FALSE
RB,平值期权,0.865023728,0.010409644,0.01203394,0.003427164,3.037392668,20,1,FALSE,TRUE,FALSE
RU,虚值一档,1.304976827,0.07203522,0.055200382,0.071810415,1.003130537,20,1,FALSE,TRUE,FALSE
RU,平值期权,1.065490293,0.065567487,0.061537385,0.075478859,0.868686777,20,1,FALSE,TRUE,FALSE
SC,虚值一档,-0.440259518,-0.059307864,0.134711146,0.16864111,-0.35168094,20,1,FALSE,TRUE,FALSE
SC,平值期权,-0.555647145,-0.069559589,0.125186621,0.185448519,-0.375088403,20,1,FALSE,TRUE,FALSE
V,虚值一档,0.777376804,0.067844268,0.087273337,0.080919602,0.838415742,20,1,FALSE,TRUE,FALSE
V,平值期权,0.730917485,0.077748555,0.10637118,0.092535075,0.840206325,20,1,FALSE,TRUE,FALSE
Y,虚值一档,1.755623006,0.034445337,0.019620008,0.007160614,4.810388929,20,1,FALSE,TRUE,FALSE
Y,平值期权,1.605326417,0.054541758,0.033975494,0.009577105,5.695015091,20,1,FALSE,TRUE,FALSE
ZN,虚值一档,1.306506026,0.078729737,0.060259758,0.036815087,2.138518284,20,1,FALSE,TRUE,FALSE
ZN,平值期权,1.371586571,0.085428514,0.062284449,0.035488026,2.407248968,20,1,FALSE,TRUE,FALSE
A,虚值一档,2.654794335,0.069026734,0.026000784,0.007437274,9.281187592,20,1,TRUE,FALSE,FALSE
A,平值期权,2.032337175,0.081380274,0.040042703,0.021661838,3.75684998,20,1,TRUE,FALSE,FALSE
AG,虚值一档,5.892546708,0.131005572,0.02223242,0.003672287,35.6741064,20,1,TRUE,FALSE,FALSE
AG,平值期权,5.932422582,0.127941779,0.021566532,0.003769619,33.94024508,20,1,TRUE,FALSE,FALSE
AL,虚值一档,0.580865124,0.036323057,0.062532688,0.052931964,0.686221603,20,1,TRUE,FALSE,FALSE
AL,平值期权,0.771776074,0.04737407,0.06138318,0.046295681,1.023293515,20,1,TRUE,FALSE,FALSE
AU,虚值一档,2.373461934,0.062596099,0.026373332,0.011930812,5.246591513,20,1,TRUE,FALSE,FALSE
AU,平值期权,1.836233085,0.053794186,0.029295946,0.014270938,3.769492043,20,1,TRUE,FALSE,FALSE
B,虚值一档,-2.408926597,-0.161750676,0.06714637,0.043519423,-3.716746812,20,1,TRUE,FALSE,FALSE
B,平值期权,-2.439907004,-0.162439317,0.066576028,0.04932307,-3.293374031,20,1,TRUE,FALSE,FALSE
C,虚值一档,0.397649038,0.010106732,0.025416212,0.028768335,0.35131446,20,1,TRUE,FALSE,FALSE
C,平值期权,0.605034994,0.016593063,0.027424964,0.025579637,0.64868252,20,1,TRUE,FALSE,FALSE
A,虚值一档,0.476712939,0.020920611,0.043885134,0.021023222,0.995119161,20,1,FALSE,FALSE,TRUE
A,平值期权,0.957338219,0.053113043,0.055479915,0.02203146,2.410781851,20,1,FALSE,FALSE,TRUE
AG,虚值一档,5.859395398,0.159879578,0.02728602,0.002662756,60.04288598,20,1,FALSE,FALSE,TRUE
AG,平值期权,6.529868312,0.181874667,0.027852731,0.002207216,82.40001245,20,1,FALSE,FALSE,TRUE
AL,虚值一档,1.040262506,0.064955293,0.062441252,0.041948353,1.548458726,20,1,FALSE,FALSE,TRUE
AL,平值期权,1.1043401,0.074263915,0.067247323,0.039521148,1.879093061,20,1,FALSE,FALSE,TRUE
AU,虚值一档,1.836109308,0.057015005,0.031052076,0.025311719,2.252514137,20,1,FALSE,FALSE,TRUE
