,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-04,400.04,CALL,XSGE.AU2102,396.0,0,1,SHFE.au2102C396,AU,9.66,ITM_0
1,2021-01-04,400.04,CALL,XSGE.AU2102,408.0,0,1,SHFE.au2102C408,AU,5.02,OTM_0
2,2021-01-04,400.04,CALL,XSGE.AU2102,400.0,0,1,SHFE.au2102C400,AU,7.68,ATM_0
3,2021-01-04,400.04,CALL,XSGE.AU2102,392.0,0,1,SHFE.au2102C392,AU,12.18,ITM_1
4,2021-01-04,400.04,CALL,XSGE.AU2102,416.0,0,1,SHFE.au2102C416,AU,3.46,OTM_1
5,2021-01-04,400.04,CALL,XSGE.AU2102,388.0,0,1,SHFE.au2102C388,AU,14.98,ITM_2
6,2021-01-04,400.04,CALL,XSGE.AU2102,424.0,0,1,SHFE.au2102C424,AU,2.32,OTM_2
7,2021-01-04,400.04,PUT,XSGE.AU2102,408.0,0,1,SHFE.au2102P408,AU,12.48,ITM_0
8,2021-01-04,400.04,PUT,XSGE.AU2102,396.0,0,1,SHFE.au2102P396,AU,5.08,OTM_0
9,2021-01-04,400.04,PUT,XSGE.AU2102,400.0,0,1,SHFE.au2102P400,AU,7.0,ATM_0
10,2021-01-04,400.04,PUT,XSGE.AU2102,416.0,0,1,SHFE.au2102P416,AU,19.0,ITM_1
11,2021-01-04,400.04,PUT,XSGE.AU2102,392.0,0,1,SHFE.au2102P392,AU,3.4,OTM_1
12,2021-01-04,400.04,PUT,XSGE.AU2102,424.0,0,1,SHFE.au2102P424,AU,25.84,ITM_2
13,2021-01-04,400.04,PUT,XSGE.AU2102,388.0,0,1,SHFE.au2102P388,AU,2.18,OTM_2
14,2021-01-05,402.32,CALL,XSGE.AU2102,396.0,0,1,SHFE.au2102C396,AU,10.52,ITM_0
15,2021-01-05,402.32,CALL,XSGE.AU2102,408.0,0,1,SHFE.au2102C408,AU,5.54,OTM_0
16,2021-01-05,402.32,CALL,XSGE.AU2102,400.0,0,1,SHFE.au2102C400,AU,8.48,ATM_0
17,2021-01-05,402.32,CALL,XSGE.AU2102,392.0,0,1,SHFE.au2102C392,AU,13.2,ITM_1
18,2021-01-05,402.32,CALL,XSGE.AU2102,416.0,0,1,SHFE.au2102C416,AU,3.62,OTM_1
19,2021-01-05,402.32,CALL,XSGE.AU2102,388.0,0,1,SHFE.au2102C388,AU,16.16,ITM_2
20,2021-01-05,402.32,CALL,XSGE.AU2102,424.0,0,1,SHFE.au2102C424,AU,2.44,OTM_2
21,2021-01-05,402.32,PUT,XSGE.AU2102,408.0,0,1,SHFE.au2102P408,AU,11.08,ITM_0
22,2021-01-05,402.32,PUT,XSGE.AU2102,396.0,0,1,SHFE.au2102P396,AU,4.18,OTM_0
23,2021-01-05,402.32,PUT,XSGE.AU2102,400.0,0,1,SHFE.au2102P400,AU,6.06,ATM_0
24,2021-01-05,402.32,PUT,XSGE.AU2102,416.0,0,1,SHFE.au2102P416,AU,17.42,ITM_1
25,2021-01-05,402.32,PUT,XSGE.AU2102,392.0,0,1,SHFE.au2102P392,AU,2.8,OTM_1
26,2021-01-05,402.32,PUT,XSGE.AU2102,424.0,0,1,SHFE.au2102P424,AU,24.12,ITM_2
27,2021-01-05,402.32,PUT,XSGE.AU2102,388.0,0,1,SHFE.au2102P388,AU,1.8,OTM_2
28,2021-01-06,403.38,CALL,XSGE.AU2104,396.0,0,1,SHFE.au2104C396,AU,17.76,ITM_0
29,2021-01-06,403.38,CALL,XSGE.AU2104,408.0,0,1,SHFE.au2104C408,AU,12.4,OTM_0
30,2021-01-06,403.38,CALL,XSGE.AU2104,400.0,0,1,SHFE.au2104C400,AU,15.72,ATM_0
31,2021-01-06,403.38,CALL,XSGE.AU2104,392.0,0,1,SHFE.au2104C392,AU,20.32,ITM_1
32,2021-01-06,403.38,CALL,XSGE.AU2104,416.0,0,1,SHFE.au2104C416,AU,9.78,OTM_1
33,2021-01-06,403.38,CALL,XSGE.AU2104,388.0,0,1,SHFE.au2104C388,AU,22.64,ITM_2
34,2021-01-06,403.38,CALL,XSGE.AU2104,424.0,0,1,SHFE.au2104C424,AU,7.52,OTM_2
35,2021-01-06,403.38,PUT,XSGE.AU2104,408.0,0,1,SHFE.au2104P408,AU,16.62,ITM_0
36,2021-01-06,403.38,PUT,XSGE.AU2104,396.0,0,1,SHFE.au2104P396,AU,9.96,OTM_0
37,2021-01-06,403.38,PUT,XSGE.AU2104,400.0,0,1,SHFE.au2104P400,AU,12.06,ATM_0
38,2021-01-06,403.38,PUT,XSGE.AU2104,416.0,0,1,SHFE.au2104P416,AU,21.52,ITM_1
39,2021-01-06,403.38,PUT,XSGE.AU2104,392.0,0,1,SHFE.au2104P392,AU,8.18,OTM_1
40,2021-01-06,403.38,PUT,XSGE.AU2104,424.0,0,1,SHFE.au2104P424,AU,27.46,ITM_2
41,2021-01-06,403.38,PUT,XSGE.AU2104,388.0,0,1,SHFE.au2104P388,AU,6.68,OTM_2
42,2021-01-07,400.0,CALL,XSGE.AU2104,396.0,0,1,SHFE.au2104C396,AU,15.38,ITM_0
