,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-12-26,4006.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,222.5,ITM_0
1,2022-12-26,4006.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,177.5,OTM_0
2,2022-12-26,4006.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,201.5,ATM_0
3,2022-12-26,4006.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,255.0,ITM_1
4,2022-12-26,4006.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,158.0,OTM_1
5,2022-12-26,4006.0,CALL,XSGE.RB2305,3850.0,1,0,SHFE.rb2305C3850,RB,277.0,ITM_2
6,2022-12-26,4006.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,138.5,OTM_2
7,2022-12-26,4006.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,221.0,ITM_0
8,2022-12-26,4006.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,169.5,OTM_0
9,2022-12-26,4006.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,195.0,ATM_0
10,2022-12-26,4006.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,253.0,ITM_1
11,2022-12-26,4006.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,147.5,OTM_1
12,2022-12-26,4006.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,283.0,ITM_2
13,2022-12-26,4006.0,PUT,XSGE.RB2305,3850.0,1,0,SHFE.rb2305P3850,RB,126.5,OTM_2
14,2022-12-27,4066.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,231.0,ITM_0
15,2022-12-27,4066.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,184.0,OTM_0
16,2022-12-27,4066.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,207.0,ATM_0
17,2022-12-27,4066.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,257.0,ITM_1
18,2022-12-27,4066.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,162.0,OTM_1
19,2022-12-27,4066.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,280.0,ITM_2
20,2022-12-27,4066.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,143.0,OTM_2
21,2022-12-27,4066.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,215.5,ITM_0
22,2022-12-27,4066.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,168.0,OTM_0
23,2022-12-27,4066.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,193.0,ATM_0
24,2022-12-27,4066.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,248.5,ITM_1
25,2022-12-27,4066.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,145.0,OTM_1
26,2022-12-27,4066.0,PUT,XSGE.RB2305,4200.0,1,0,SHFE.rb2305P4200,RB,279.0,ITM_2
27,2022-12-27,4066.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,125.5,OTM_2
28,2022-12-28,4050.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,220.5,ITM_0
29,2022-12-28,4050.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,173.5,OTM_0
30,2022-12-28,4050.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,199.5,ATM_0
31,2022-12-28,4050.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,255.5,ITM_1
32,2022-12-28,4050.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,159.0,OTM_1
33,2022-12-28,4050.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,287.5,ITM_2
34,2022-12-28,4050.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,135.0,OTM_2
35,2022-12-28,4050.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,224.0,ITM_0
36,2022-12-28,4050.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,171.0,OTM_0
37,2022-12-28,4050.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,196.0,ATM_0
38,2022-12-28,4050.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,252.5,ITM_1
39,2022-12-28,4050.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,151.0,OTM_1
40,2022-12-28,4050.0,PUT,XSGE.RB2305,4200.0,1,0,SHFE.rb2305P4200,RB,278.5,ITM_2
41,2022-12-28,4050.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,128.5,OTM_2
42,2022-12-29,4048.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,220.5,ITM_0
43,2022-12-29,4048.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,172.5,OTM_0
44,2022-12-29,4048.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,195.5,ATM_0
45,2022-12-29,4048.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,247.5,ITM_1
46,2022-12-29,4048.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,150.5,OTM_1
47,2022-12-29,4048.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,276.5,ITM_2
48,2022-12-29,4048.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,133.5,OTM_2
49,2022-12-29,4048.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,228.0,ITM_0
50,2022-12-29,4048.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,175.0,OTM_0
51,2022-12-29,4048.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,200.5,ATM_0
52,2022-12-29,4048.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,256.5,ITM_1
53,2022-12-29,4048.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,154.0,OTM_1
54,2022-12-29,4048.0,PUT,XSGE.RB2305,4200.0,1,0,SHFE.rb2305P4200,RB,289.0,ITM_2
55,2022-12-29,4048.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,132.0,OTM_2
56,2022-12-30,4105.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,230.0,ITM_0
57,2022-12-30,4105.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,183.5,OTM_0
58,2022-12-30,4105.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,208.0,ATM_0
59,2022-12-30,4105.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,258.0,ITM_1
60,2022-12-30,4105.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,163.0,OTM_1
61,2022-12-30,4105.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,292.0,ITM_2
62,2022-12-30,4105.0,CALL,XSGE.RB2305,4250.0,1,0,SHFE.rb2305C4250,RB,146.0,OTM_2
63,2022-12-30,4105.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,237.0,ITM_0
64,2022-12-30,4105.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,188.0,OTM_0
65,2022-12-30,4105.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,212.0,ATM_0
66,2022-12-30,4105.0,PUT,XSGE.RB2305,4200.0,1,0,SHFE.rb2305P4200,RB,256.5,ITM_1
67,2022-12-30,4105.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,164.0,OTM_1
68,2022-12-30,4105.0,PUT,XSGE.RB2305,4250.0,1,0,SHFE.rb2305P4250,RB,291.5,ITM_2
69,2022-12-30,4105.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,144.5,OTM_2
70,2023-01-03,4063.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,235.0,ITM_0
71,2023-01-03,4063.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,181.0,OTM_0
72,2023-01-03,4063.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,204.5,ATM_0
73,2023-01-03,4063.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,259.5,ITM_1
74,2023-01-03,4063.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,158.5,OTM_1
75,2023-01-03,4063.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,288.5,ITM_2
76,2023-01-03,4063.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,140.5,OTM_2
77,2023-01-03,4063.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,223.5,ITM_0
78,2023-01-03,4063.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,175.5,OTM_0
79,2023-01-03,4063.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,200.0,ATM_0
80,2023-01-03,4063.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,254.5,ITM_1
81,2023-01-03,4063.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,152.5,OTM_1
82,2023-01-03,4063.0,PUT,XSGE.RB2305,4200.0,1,0,SHFE.rb2305P4200,RB,284.5,ITM_2
83,2023-01-03,4063.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,135.0,OTM_2
84,2023-01-04,4027.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,236.5,ITM_0
85,2023-01-04,4027.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,185.5,OTM_0
86,2023-01-04,4027.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,207.0,ATM_0
87,2023-01-04,4027.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,262.0,ITM_1
88,2023-01-04,4027.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,163.5,OTM_1
89,2023-01-04,4027.0,CALL,XSGE.RB2305,3850.0,1,0,SHFE.rb2305C3850,RB,294.5,ITM_2
90,2023-01-04,4027.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,143.0,OTM_2
91,2023-01-04,4027.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,215.0,ITM_0
92,2023-01-04,4027.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,167.0,OTM_0
93,2023-01-04,4027.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,186.0,ATM_0
94,2023-01-04,4027.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,241.0,ITM_1
95,2023-01-04,4027.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,144.5,OTM_1
96,2023-01-04,4027.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,270.5,ITM_2
97,2023-01-04,4027.0,PUT,XSGE.RB2305,3850.0,1,0,SHFE.rb2305P3850,RB,125.0,OTM_2
98,2023-01-05,4017.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,231.5,ITM_0
99,2023-01-05,4017.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,182.5,OTM_0
100,2023-01-05,4017.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,204.5,ATM_0
101,2023-01-05,4017.0,CALL,XSGE.RB2305,3900.0,1,0,SHFE.rb2305C3900,RB,259.0,ITM_1
102,2023-01-05,4017.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,157.0,OTM_1
103,2023-01-05,4017.0,CALL,XSGE.RB2305,3850.0,1,0,SHFE.rb2305C3850,RB,286.0,ITM_2
104,2023-01-05,4017.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,140.0,OTM_2
105,2023-01-05,4017.0,PUT,XSGE.RB2305,4050.0,1,0,SHFE.rb2305P4050,RB,217.0,ITM_0
106,2023-01-05,4017.0,PUT,XSGE.RB2305,3950.0,1,0,SHFE.rb2305P3950,RB,167.5,OTM_0
107,2023-01-05,4017.0,PUT,XSGE.RB2305,4000.0,1,0,SHFE.rb2305P4000,RB,193.5,ATM_0
108,2023-01-05,4017.0,PUT,XSGE.RB2305,4100.0,1,0,SHFE.rb2305P4100,RB,251.0,ITM_1
109,2023-01-05,4017.0,PUT,XSGE.RB2305,3900.0,1,0,SHFE.rb2305P3900,RB,148.5,OTM_1
110,2023-01-05,4017.0,PUT,XSGE.RB2305,4150.0,1,0,SHFE.rb2305P4150,RB,271.0,ITM_2
111,2023-01-05,4017.0,PUT,XSGE.RB2305,3850.0,1,0,SHFE.rb2305P3850,RB,129.0,OTM_2
112,2023-01-06,4107.0,CALL,XSGE.RB2305,4050.0,1,0,SHFE.rb2305C4050,RB,232.5,ITM_0
113,2023-01-06,4107.0,CALL,XSGE.RB2305,4150.0,1,0,SHFE.rb2305C4150,RB,181.5,OTM_0
114,2023-01-06,4107.0,CALL,XSGE.RB2305,4100.0,1,0,SHFE.rb2305C4100,RB,200.5,ATM_0
115,2023-01-06,4107.0,CALL,XSGE.RB2305,4000.0,1,0,SHFE.rb2305C4000,RB,257.0,ITM_1
116,2023-01-06,4107.0,CALL,XSGE.RB2305,4200.0,1,0,SHFE.rb2305C4200,RB,153.0,OTM_1
117,2023-01-06,4107.0,CALL,XSGE.RB2305,3950.0,1,0,SHFE.rb2305C3950,RB,289.5,ITM_2
