品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,布林带计算回望窗口,布林带标准倍数,持有天数,平值期权变动检视天数,波动率水平检视天数,signal_type,vix_position_control,均线参数组合,use_vix,use_vix_call_and_vix_put
A,虚值一档,1.41503696,0.080435983,0.056843733,0.023531069,3.41828844,20,1,inf,5,5,ATM_change_signal,False,,False,True
A,平值期权,1.427107571,0.093775818,0.065710406,0.024015111,3.904867111,20,1,inf,5,5,ATM_change_signal,False,,False,True
AG,虚值一档,2.68848877,0.118797783,0.044187569,0.010233756,11.60842409,20,1,inf,5,5,ATM_change_signal,False,,False,True
AG,平值期权,2.738100446,0.120055878,0.043846411,0.009964177,12.04874941,20,1,inf,5,5,ATM_change_signal,False,,False,True
AL,虚值一档,-0.530034399,-0.054758716,0.103311627,0.250632954,-0.218481709,20,1,inf,5,5,ATM_change_signal,False,,False,True
AL,平值期权,-0.799937339,-0.085012733,0.106274241,0.304391222,-0.279287729,20,1,inf,5,5,ATM_change_signal,False,,False,True
AU,虚值一档,1.993071722,0.099972854,0.050160189,0.060166635,1.66159956,20,1,inf,5,5,ATM_change_signal,False,,False,True
AU,平值期权,1.608926649,0.091146565,0.056650541,0.06203309,1.469321705,20,1,inf,5,5,ATM_change_signal,False,,False,True
B,虚值一档,0.389854697,0.042648553,0.109396023,0.03016132,1.414014814,20,1,inf,5,5,ATM_change_signal,False,,False,True
B,平值期权,0.888321942,0.092640735,0.104287343,0.033934742,2.729967264,20,1,inf,5,5,ATM_change_signal,False,,False,True
C,虚值一档,-0.032488649,-0.001378325,0.042424813,0.052513074,-0.02624727,20,1,inf,5,5,ATM_change_signal,False,,False,True
C,平值期权,0.237127472,0.010625452,0.044809028,0.046339633,0.229295121,20,1,inf,5,5,ATM_change_signal,False,,False,True
CU,虚值一档,-0.138628346,-0.013857243,0.099959666,0.154006411,-0.089978354,20,1,inf,5,5,ATM_change_signal,False,,False,True
CU,平值期权,0.132831587,0.013790515,0.103819547,0.122048619,0.112991981,20,1,inf,5,5,ATM_change_signal,False,,False,True
I,虚值一档,-1.191692159,-0.218492459,0.183346393,0.509779067,-0.428602258,20,1,inf,5,5,ATM_change_signal,False,,False,True
I,平值期权,-1.041072538,-0.208457471,0.200233377,0.495375474,-0.420807007,20,1,inf,5,5,ATM_change_signal,False,,False,True
L,虚值一档,0.245028091,0.024003656,0.097962873,0.122512364,0.195928435,20,1,inf,5,5,ATM_change_signal,False,,False,True
L,平值期权,0.42033492,0.042891463,0.102041161,0.118446393,0.362117091,20,1,inf,5,5,ATM_change_signal,False,,False,True
M,虚值一档,-0.498915791,-0.04867054,0.097552616,0.208072258,-0.233911724,20,1,inf,5,5,ATM_change_signal,False,,False,True
M,平值期权,-0.269361581,-0.02588675,0.096104093,0.200203772,-0.129302011,20,1,inf,5,5,ATM_change_signal,False,,False,True
P,虚值一档,-0.788407566,-0.14119075,0.179083454,0.279222353,-0.505657045,20,1,inf,5,5,ATM_change_signal,False,,False,True
P,平值期权,-0.645682422,-0.105575432,0.163509843,0.257777805,-0.409559821,20,1,inf,5,5,ATM_change_signal,False,,False,True
