,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-12-26,5353.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,383.5,ITM_0
1,2022-12-26,5353.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,299.0,OTM_0
2,2022-12-26,5353.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,336.0,ATM_0
3,2022-12-26,5353.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,446.0,ITM_1
4,2022-12-26,5353.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,264.5,OTM_1
5,2022-12-26,5353.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,500.5,ITM_2
6,2022-12-26,5353.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,233.0,OTM_2
7,2022-12-26,5353.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,443.0,ITM_0
8,2022-12-26,5353.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,330.0,OTM_0
9,2022-12-26,5353.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,387.5,ATM_0
10,2022-12-26,5353.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,499.0,ITM_1
11,2022-12-26,5353.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,284.0,OTM_1
12,2022-12-26,5353.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,595.5,ITM_2
13,2022-12-26,5353.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,240.0,OTM_2
14,2022-12-27,5419.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,392.5,ITM_0
15,2022-12-27,5419.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,304.5,OTM_0
16,2022-12-27,5419.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,347.0,ATM_0
17,2022-12-27,5419.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,454.0,ITM_1
18,2022-12-27,5419.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,267.5,OTM_1
19,2022-12-27,5419.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,513.5,ITM_2
20,2022-12-27,5419.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,233.5,OTM_2
21,2022-12-27,5419.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,380.0,ITM_0
22,2022-12-27,5419.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,280.5,OTM_0
23,2022-12-27,5419.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,331.0,ATM_0
24,2022-12-27,5419.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,453.0,ITM_1
25,2022-12-27,5419.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,234.0,OTM_1
26,2022-12-27,5419.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,516.0,ITM_2
27,2022-12-27,5419.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,200.0,OTM_2
28,2022-12-28,5388.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,374.5,ITM_0
29,2022-12-28,5388.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,285.0,OTM_0
30,2022-12-28,5388.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,328.5,ATM_0
31,2022-12-28,5388.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,439.0,ITM_1
32,2022-12-28,5388.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,246.0,OTM_1
33,2022-12-28,5388.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,491.5,ITM_2
34,2022-12-28,5388.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,219.0,OTM_2
35,2022-12-28,5388.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,394.0,ITM_0
36,2022-12-28,5388.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,286.0,OTM_0
37,2022-12-28,5388.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,334.5,ATM_0
38,2022-12-28,5388.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,459.0,ITM_1
39,2022-12-28,5388.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,239.5,OTM_1
40,2022-12-28,5388.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,516.0,ITM_2
41,2022-12-28,5388.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,198.5,OTM_2
42,2022-12-29,5319.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,378.5,ITM_0
43,2022-12-29,5319.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,285.5,OTM_0
44,2022-12-29,5319.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,331.0,ATM_0
45,2022-12-29,5319.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,416.0,ITM_1
46,2022-12-29,5319.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,249.5,OTM_1
47,2022-12-29,5319.0,CALL,XSGE.AG2306,5000.0,1,0,SHFE.ag2306C5000,AG,474.5,ITM_2
48,2022-12-29,5319.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,218.0,OTM_2
49,2022-12-29,5319.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,368.5,ITM_0
50,2022-12-29,5319.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,264.5,OTM_0
51,2022-12-29,5319.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,315.0,ATM_0
52,2022-12-29,5319.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,429.0,ITM_1
53,2022-12-29,5319.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,218.5,OTM_1
54,2022-12-29,5319.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,497.0,ITM_2
55,2022-12-29,5319.0,PUT,XSGE.AG2306,5000.0,1,0,SHFE.ag2306P5000,AG,186.0,OTM_2
56,2022-12-30,5397.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,373.0,ITM_0
57,2022-12-30,5397.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,282.5,OTM_0
58,2022-12-30,5397.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,327.5,ATM_0
59,2022-12-30,5397.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,426.0,ITM_1
60,2022-12-30,5397.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,245.5,OTM_1
61,2022-12-30,5397.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,505.0,ITM_2
62,2022-12-30,5397.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,216.5,OTM_2
63,2022-12-30,5397.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,380.0,ITM_0
64,2022-12-30,5397.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,277.0,OTM_0
65,2022-12-30,5397.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,325.0,ATM_0
66,2022-12-30,5397.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,453.5,ITM_1
67,2022-12-30,5397.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,231.0,OTM_1
68,2022-12-30,5397.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,531.5,ITM_2
69,2022-12-30,5397.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,188.5,OTM_2
70,2023-01-03,5426.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,383.0,ITM_0
71,2023-01-03,5426.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,288.5,OTM_0
72,2023-01-03,5426.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,333.0,ATM_0
73,2023-01-03,5426.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,437.0,ITM_1
74,2023-01-03,5426.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,247.5,OTM_1
75,2023-01-03,5426.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,471.5,ITM_2
76,2023-01-03,5426.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,214.5,OTM_2
77,2023-01-03,5426.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,367.5,ITM_0
78,2023-01-03,5426.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,256.0,OTM_0
79,2023-01-03,5426.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,306.0,ATM_0
80,2023-01-03,5426.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,421.5,ITM_1
81,2023-01-03,5426.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,228.5,OTM_1
82,2023-01-03,5426.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,482.0,ITM_2
83,2023-01-03,5426.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,188.0,OTM_2
84,2023-01-04,5373.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,348.5,ITM_0
85,2023-01-04,5373.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,260.0,OTM_0
86,2023-01-04,5373.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,300.0,ATM_0
87,2023-01-04,5373.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,417.0,ITM_1
88,2023-01-04,5373.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,223.5,OTM_1
89,2023-01-04,5373.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,456.5,ITM_2
90,2023-01-04,5373.0,CALL,XSGE.AG2306,5700.0,1,0,SHFE.ag2306C5700,AG,196.0,OTM_2
91,2023-01-04,5373.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,395.0,ITM_0
92,2023-01-04,5373.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,280.5,OTM_0
93,2023-01-04,5373.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,330.5,ATM_0
94,2023-01-04,5373.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,454.5,ITM_1
95,2023-01-04,5373.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,233.0,OTM_1
96,2023-01-04,5373.0,PUT,XSGE.AG2306,5700.0,1,0,SHFE.ag2306P5700,AG,496.5,ITM_2
97,2023-01-04,5373.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,193.5,OTM_2
98,2023-01-05,5233.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,338.0,ITM_0
99,2023-01-05,5233.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,249.5,OTM_0
100,2023-01-05,5233.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,276.5,ATM_0
101,2023-01-05,5233.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,386.0,ITM_1
102,2023-01-05,5233.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,209.5,OTM_1
103,2023-01-05,5233.0,CALL,XSGE.AG2306,5000.0,1,0,SHFE.ag2306C5000,AG,433.0,ITM_2
104,2023-01-05,5233.0,CALL,XSGE.AG2306,5600.0,1,0,SHFE.ag2306C5600,AG,183.5,OTM_2
105,2023-01-05,5233.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,373.0,ITM_0
106,2023-01-05,5233.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,276.0,OTM_0
107,2023-01-05,5233.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,328.0,ATM_0
108,2023-01-05,5233.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,453.0,ITM_1
109,2023-01-05,5233.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,217.0,OTM_1
110,2023-01-05,5233.0,PUT,XSGE.AG2306,5600.0,1,0,SHFE.ag2306P5600,AG,440.5,ITM_2
111,2023-01-05,5233.0,PUT,XSGE.AG2306,5000.0,1,0,SHFE.ag2306P5000,AG,183.0,OTM_2
112,2023-01-06,5178.0,CALL,XSGE.AG2306,5100.0,1,0,SHFE.ag2306C5100,AG,316.0,ITM_0
113,2023-01-06,5178.0,CALL,XSGE.AG2306,5300.0,1,0,SHFE.ag2306C5300,AG,235.5,OTM_0
114,2023-01-06,5178.0,CALL,XSGE.AG2306,5200.0,1,0,SHFE.ag2306C5200,AG,286.0,ATM_0
115,2023-01-06,5178.0,CALL,XSGE.AG2306,5000.0,1,0,SHFE.ag2306C5000,AG,367.5,ITM_1
116,2023-01-06,5178.0,CALL,XSGE.AG2306,5400.0,1,0,SHFE.ag2306C5400,AG,194.0,OTM_1
117,2023-01-06,5178.0,CALL,XSGE.AG2306,4950.0,1,0,SHFE.ag2306C4950,AG,395.5,ITM_2
118,2023-01-06,5178.0,CALL,XSGE.AG2306,5500.0,1,0,SHFE.ag2306C5500,AG,172.5,OTM_2
119,2023-01-06,5178.0,PUT,XSGE.AG2306,5300.0,1,0,SHFE.ag2306P5300,AG,351.5,ITM_0
120,2023-01-06,5178.0,PUT,XSGE.AG2306,5100.0,1,0,SHFE.ag2306P5100,AG,252.5,OTM_0
121,2023-01-06,5178.0,PUT,XSGE.AG2306,5200.0,1,0,SHFE.ag2306P5200,AG,299.0,ATM_0
122,2023-01-06,5178.0,PUT,XSGE.AG2306,5400.0,1,0,SHFE.ag2306P5400,AG,429.5,ITM_1
123,2023-01-06,5178.0,PUT,XSGE.AG2306,5000.0,1,0,SHFE.ag2306P5000,AG,199.5,OTM_1
124,2023-01-06,5178.0,PUT,XSGE.AG2306,5500.0,1,0,SHFE.ag2306P5500,AG,499.5,ITM_2
