品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,均线回望窗口,use_vix
A,虚值一档,1.2677969,0.056329466,0.044430985,0.023586766,2.388180972,10,TRUE
A,平值期权,1.306235306,0.061451989,0.047045114,0.024080513,2.551938484,10,TRUE
AG,虚值一档,3.635723712,0.091526642,0.025174257,0.004572432,20.0170602,10,TRUE
AG,平值期权,3.40660094,0.089562293,0.026290808,0.005410476,16.55349656,10,TRUE
AL,虚值一档,0.308235429,0.024679193,0.08006605,0.077417225,0.31878168,10,TRUE
AL,平值期权,-0.246346234,-0.019156689,0.077763271,0.121085937,-0.158207382,10,TRUE
AU,虚值一档,0.732480138,0.035167676,0.048011781,0.058710229,0.59900424,10,TRUE
AU,平值期权,1.031066866,0.042503193,0.041222538,0.052724436,0.806138406,10,TRUE
B,虚值一档,4.374783762,0.297646633,0.068036879,0.007697939,38.66575383,10,TRUE
B,平值期权,4.259326297,0.307120524,0.072105423,0.007448988,41.2298309,10,TRUE
C,虚值一档,0.807837037,0.024669394,0.030537587,0.019438551,1.269096322,10,TRUE
C,平值期权,1.015860845,0.030664961,0.030186182,0.017892008,1.71389156,10,TRUE
CU,虚值一档,0.010859125,0.000978552,0.090113321,0.081281129,0.012039102,10,TRUE
CU,平值期权,-0.024669967,-0.002314144,0.093804092,0.08592307,-0.026932742,10,TRUE
I,虚值一档,-0.221491467,-0.03575002,0.161405857,0.279980141,-0.127687699,10,TRUE
I,平值期权,-0.263742818,-0.042620227,0.161597679,0.291128776,-0.146396477,10,TRUE
L,虚值一档,0.364978561,0.031646173,0.086706936,0.117096261,0.270257758,10,TRUE
L,平值期权,0.386156583,0.033978887,0.087992511,0.115856528,0.293284185,10,TRUE
M,虚值一档,-0.421793237,-0.032256946,0.07647573,0.171942209,-0.187603415,10,TRUE
M,平值期权,-0.407575396,-0.031129456,0.076377171,0.169985561,-0.183129999,10,TRUE
P,虚值一档,-0.534693622,-0.099414769,0.185928475,0.30933487,-0.321382356,10,TRUE
P,平值期权,-0.601814424,-0.089322555,0.148422091,0.247859524,-0.360375723,10,TRUE
PG,虚值一档,0.734225328,0.087505794,0.119181116,0.134914344,0.648602597,10,TRUE
PG,平值期权,0.114786309,0.018479106,0.16098702,0.180569904,0.102337684,10,TRUE
PP,虚值一档,0.200620031,0.021808867,0.108707324,0.155094316,0.140616802,10,TRUE
PP,平值期权,0.010927958,0.00123054,0.112604774,0.132852955,0.009262423,10,TRUE
RB,虚值一档,1.180900972,0.020397088,0.01727248,0.004607808,4.426636346,10,TRUE
RB,平值期权,1.272941646,0.024597452,0.019323315,0.005227201,4.705664188,10,TRUE
RU,虚值一档,0.328254443,0.022443958,0.06837366,0.051111479,0.439117751,10,TRUE
RU,平值期权,0.405402058,0.025686917,0.063361585,0.054123505,0.474598181,10,TRUE
SC,虚值一档,-0.812648346,-0.135176492,0.166340697,0.298703523,-0.452544016,10,TRUE
SC,平值期权,-0.069209906,-0.010584332,0.152930877,0.191816083,-0.055179584,10,TRUE
V,虚值一档,-0.115232175,-0.012035382,0.104444635,0.197422184,-0.060962665,10,TRUE
V,平值期权,-0.117351036,-0.013603584,0.115922147,0.211645741,-0.064275255,10,TRUE
Y,虚值一档,1.950823046,0.078700408,0.040342156,0.019929828,3.948875323,10,TRUE
Y,平值期权,2.147162474,0.095295409,0.04438202,0.020313635,4.691204062,10,TRUE
ZN,虚值一档,0.337372054,0.036205124,0.107315125,0.160915812,0.224994198,10,TRUE
ZN,平值期权,0.351637223,0.042788593,0.121683913,0.173883844,0.246075726,10,TRUE
A,虚值一档,0.305401492,0.015095244,0.049427537,0.025481589,0.592398051,3,TRUE
A,平值期权,0.37232659,0.01783267,0.047895237,0.025842626,0.690048689,3,TRUE
AG,虚值一档,3.841146358,0.108021153,0.028122113,0.00474706,22.75538078,3,TRUE
