,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2022-12-30,5373.0,CALL,XSGE.AG2303,5300.0,0,1,SHFE.ag2303C5300,AG,229.5,ITM_0
1,2022-12-30,5373.0,CALL,XSGE.AG2303,5500.0,0,1,SHFE.ag2303C5500,AG,141.5,OTM_0
2,2022-12-30,5373.0,CALL,XSGE.AG2303,5400.0,0,1,SHFE.ag2303C5400,AG,181.5,ATM_0
3,2022-12-30,5373.0,CALL,XSGE.AG2303,5200.0,0,1,SHFE.ag2303C5200,AG,291.0,ITM_1
4,2022-12-30,5373.0,CALL,XSGE.AG2303,5600.0,0,1,SHFE.ag2303C5600,AG,110.0,OTM_1
5,2022-12-30,5373.0,CALL,XSGE.AG2303,5100.0,0,1,SHFE.ag2303C5100,AG,353.0,ITM_2
6,2022-12-30,5373.0,CALL,XSGE.AG2303,5700.0,0,1,SHFE.ag2303C5700,AG,88.0,OTM_2
7,2022-12-30,5373.0,PUT,XSGE.AG2303,5500.0,0,1,SHFE.ag2303P5500,AG,272.0,ITM_0
8,2022-12-30,5373.0,PUT,XSGE.AG2303,5300.0,0,1,SHFE.ag2303P5300,AG,157.0,OTM_0
9,2022-12-30,5373.0,PUT,XSGE.AG2303,5400.0,0,1,SHFE.ag2303P5400,AG,210.5,ATM_0
10,2022-12-30,5373.0,PUT,XSGE.AG2303,5600.0,0,1,SHFE.ag2303P5600,AG,338.0,ITM_1
11,2022-12-30,5373.0,PUT,XSGE.AG2303,5200.0,0,1,SHFE.ag2303P5200,AG,115.5,OTM_1
12,2022-12-30,5373.0,PUT,XSGE.AG2303,5700.0,0,1,SHFE.ag2303P5700,AG,416.0,ITM_2
13,2022-12-30,5373.0,PUT,XSGE.AG2303,5100.0,0,1,SHFE.ag2303P5100,AG,81.5,OTM_2
14,2023-01-03,5403.0,CALL,XSGE.AG2303,5300.0,0,1,SHFE.ag2303C5300,AG,243.0,ITM_0
15,2023-01-03,5403.0,CALL,XSGE.AG2303,5500.0,0,1,SHFE.ag2303C5500,AG,147.5,OTM_0
16,2023-01-03,5403.0,CALL,XSGE.AG2303,5400.0,0,1,SHFE.ag2303C5400,AG,189.0,ATM_0
17,2023-01-03,5403.0,CALL,XSGE.AG2303,5200.0,0,1,SHFE.ag2303C5200,AG,301.5,ITM_1
18,2023-01-03,5403.0,CALL,XSGE.AG2303,5600.0,0,1,SHFE.ag2303C5600,AG,115.5,OTM_1
19,2023-01-03,5403.0,CALL,XSGE.AG2303,5100.0,0,1,SHFE.ag2303C5100,AG,375.0,ITM_2
20,2023-01-03,5403.0,CALL,XSGE.AG2303,5700.0,0,1,SHFE.ag2303C5700,AG,87.5,OTM_2
21,2023-01-03,5403.0,PUT,XSGE.AG2303,5500.0,0,1,SHFE.ag2303P5500,AG,247.0,ITM_0
22,2023-01-03,5403.0,PUT,XSGE.AG2303,5300.0,0,1,SHFE.ag2303P5300,AG,140.0,OTM_0
23,2023-01-03,5403.0,PUT,XSGE.AG2303,5400.0,0,1,SHFE.ag2303P5400,AG,189.0,ATM_0
24,2023-01-03,5403.0,PUT,XSGE.AG2303,5600.0,0,1,SHFE.ag2303P5600,AG,311.0,ITM_1
25,2023-01-03,5403.0,PUT,XSGE.AG2303,5200.0,0,1,SHFE.ag2303P5200,AG,101.0,OTM_1
26,2023-01-03,5403.0,PUT,XSGE.AG2303,5700.0,0,1,SHFE.ag2303P5700,AG,385.5,ITM_2
27,2023-01-03,5403.0,PUT,XSGE.AG2303,5100.0,0,1,SHFE.ag2303P5100,AG,70.5,OTM_2
28,2023-01-04,5351.0,CALL,XSGE.AG2303,5300.0,0,1,SHFE.ag2303C5300,AG,205.5,ITM_0
29,2023-01-04,5351.0,CALL,XSGE.AG2303,5500.0,0,1,SHFE.ag2303C5500,AG,123.0,OTM_0
30,2023-01-04,5351.0,CALL,XSGE.AG2303,5400.0,0,1,SHFE.ag2303C5400,AG,160.5,ATM_0
31,2023-01-04,5351.0,CALL,XSGE.AG2303,5200.0,0,1,SHFE.ag2303C5200,AG,251.0,ITM_1
32,2023-01-04,5351.0,CALL,XSGE.AG2303,5600.0,0,1,SHFE.ag2303C5600,AG,95.0,OTM_1
33,2023-01-04,5351.0,CALL,XSGE.AG2303,5100.0,0,1,SHFE.ag2303C5100,AG,328.0,ITM_2
34,2023-01-04,5351.0,CALL,XSGE.AG2303,5700.0,0,1,SHFE.ag2303C5700,AG,71.5,OTM_2
35,2023-01-04,5351.0,PUT,XSGE.AG2303,5500.0,0,1,SHFE.ag2303P5500,AG,268.5,ITM_0
36,2023-01-04,5351.0,PUT,XSGE.AG2303,5300.0,0,1,SHFE.ag2303P5300,AG,155.0,OTM_0
37,2023-01-04,5351.0,PUT,XSGE.AG2303,5400.0,0,1,SHFE.ag2303P5400,AG,206.0,ATM_0
38,2023-01-04,5351.0,PUT,XSGE.AG2303,5600.0,0,1,SHFE.ag2303P5600,AG,342.5,ITM_1
39,2023-01-04,5351.0,PUT,XSGE.AG2303,5200.0,0,1,SHFE.ag2303P5200,AG,110.0,OTM_1
40,2023-01-04,5351.0,PUT,XSGE.AG2303,5700.0,0,1,SHFE.ag2303P5700,AG,424.5,ITM_2
41,2023-01-04,5351.0,PUT,XSGE.AG2303,5100.0,0,1,SHFE.ag2303P5100,AG,78.0,OTM_2
42,2023-01-05,5220.0,CALL,XSGE.AG2303,5100.0,0,1,SHFE.ag2303C5100,AG,241.0,ITM_0
43,2023-01-05,5220.0,CALL,XSGE.AG2303,5300.0,0,1,SHFE.ag2303C5300,AG,142.0,OTM_0
44,2023-01-05,5220.0,CALL,XSGE.AG2303,5200.0,0,1,SHFE.ag2303C5200,AG,183.5,ATM_0
45,2023-01-05,5220.0,CALL,XSGE.AG2303,5000.0,0,1,SHFE.ag2303C5000,AG,304.5,ITM_1
46,2023-01-05,5220.0,CALL,XSGE.AG2303,5400.0,0,1,SHFE.ag2303C5400,AG,106.5,OTM_1
47,2023-01-05,5220.0,CALL,XSGE.AG2303,4950.0,0,1,SHFE.ag2303C4950,AG,359.5,ITM_2
48,2023-01-05,5220.0,CALL,XSGE.AG2303,5500.0,0,1,SHFE.ag2303C5500,AG,80.0,OTM_2
49,2023-01-05,5220.0,PUT,XSGE.AG2303,5300.0,0,1,SHFE.ag2303P5300,AG,210.5,ITM_0
50,2023-01-05,5220.0,PUT,XSGE.AG2303,5100.0,0,1,SHFE.ag2303P5100,AG,109.0,OTM_0
51,2023-01-05,5220.0,PUT,XSGE.AG2303,5200.0,0,1,SHFE.ag2303P5200,AG,155.0,ATM_0
52,2023-01-05,5220.0,PUT,XSGE.AG2303,5400.0,0,1,SHFE.ag2303P5400,AG,281.5,ITM_1
53,2023-01-05,5220.0,PUT,XSGE.AG2303,5000.0,0,1,SHFE.ag2303P5000,AG,74.5,OTM_1
54,2023-01-05,5220.0,PUT,XSGE.AG2303,5500.0,0,1,SHFE.ag2303P5500,AG,346.5,ITM_2
55,2023-01-05,5220.0,PUT,XSGE.AG2303,4950.0,0,1,SHFE.ag2303P4950,AG,59.0,OTM_2
56,2023-01-06,5166.0,CALL,XSGE.AG2303,5100.0,0,1,SHFE.ag2303C5100,AG,196.0,ITM_0
57,2023-01-06,5166.0,CALL,XSGE.AG2303,5300.0,0,1,SHFE.ag2303C5300,AG,110.0,OTM_0
58,2023-01-06,5166.0,CALL,XSGE.AG2303,5200.0,0,1,SHFE.ag2303C5200,AG,149.0,ATM_0
59,2023-01-06,5166.0,CALL,XSGE.AG2303,5000.0,0,1,SHFE.ag2303C5000,AG,257.5,ITM_1
60,2023-01-06,5166.0,CALL,XSGE.AG2303,5400.0,0,1,SHFE.ag2303C5400,AG,82.5,OTM_1
61,2023-01-06,5166.0,CALL,XSGE.AG2303,4950.0,0,1,SHFE.ag2303C4950,AG,291.5,ITM_2
62,2023-01-06,5166.0,CALL,XSGE.AG2303,5500.0,0,1,SHFE.ag2303C5500,AG,60.0,OTM_2
63,2023-01-06,5166.0,PUT,XSGE.AG2303,5300.0,0,1,SHFE.ag2303P5300,AG,242.0,ITM_0
