品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,0.0225949368751518,0.0013333797159786,0.0590123231300085,0.0322103138293894,0.041396048577521,inf,20,"(0.5, 0.5)","(2, 10)",True,True
A,平值期权,0.0755937382863279,0.0054400736039944,0.0719646061607509,0.0342645136896333,0.1587669871304886,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AG,虚值一档,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AG,平值期权,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AL,虚值一档,0.2933085099766809,0.0333662696873996,0.1137582734645251,0.1651408378939793,0.2020473561410706,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AL,平值期权,0.3708008507256576,0.0419788431392777,0.113211291336374,0.14888033647517,0.2819636503594208,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AU,虚值一档,2.282873237346496,0.1071094990442335,0.0469187238660402,0.025714242587936,4.165376393177696,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AU,平值期权,2.430125266282447,0.1193897445707002,0.0491290495297553,0.0249303624646883,4.788929352303043,inf,20,"(0.5, 0.5)","(2, 10)",True,True
B,虚值一档,-0.3134640314810307,-0.0269516482319424,0.0859800344703133,0.0253472628851268,-1.0632961970721078,inf,20,"(0.5, 0.5)","(2, 10)",True,True
B,平值期权,-0.5505748578088923,-0.0492446895719239,0.089442314470918,0.0312322108460793,-1.5767276231136798,inf,20,"(0.5, 0.5)","(2, 10)",True,True
C,虚值一档,-0.7333998054868709,-0.0478405215236127,0.0652311620015409,0.1522979505622016,-0.3141245259506868,inf,20,"(0.5, 0.5)","(2, 10)",True,True
C,平值期权,-0.7565908561380814,-0.0523639402198405,0.0692103794210855,0.166379760086057,-0.3147254220871351,inf,20,"(0.5, 0.5)","(2, 10)",True,True
CU,虚值一档,-0.2266244240331172,-0.0274446011751638,0.1211016918951032,0.1652084717915906,-0.1661210280413766,inf,20,"(0.5, 0.5)","(2, 10)",True,True
CU,平值期权,-0.2347820368721664,-0.0302254059886767,0.1287381538696412,0.1703110306291717,-0.1774718048327021,inf,20,"(0.5, 0.5)","(2, 10)",True,True
I,虚值一档,1.0481611888466844,0.2425889121634931,0.2314423723610862,0.1651018575229573,1.4693287877137375,inf,20,"(0.5, 0.5)","(2, 10)",True,True
I,平值期权,1.0978924811899895,0.2512785236255563,0.2288735262611501,0.1603244334475363,1.5673127184808255,inf,20,"(0.5, 0.5)","(2, 10)",True,True
L,虚值一档,1.226936710406528,0.1205283148985754,0.0982351525358142,0.1154152407668237,1.0443015506252054,inf,20,"(0.5, 0.5)","(2, 10)",True,True
L,平值期权,1.1647688171669843,0.1153979806717323,0.0990737208714169,0.1164197839979869,0.9912231126775478,inf,20,"(0.5, 0.5)","(2, 10)",True,True
M,虚值一档,-0.9349348327033996,-0.1127279638576002,0.120573070886281,0.2795654085430878,-0.4032257225422297,inf,20,"(0.5, 0.5)","(2, 10)",True,True
M,平值期权,-1.0156349778558171,-0.1273173704329649,0.1253574101019582,0.3045420692815235,-0.4180616843293028,inf,20,"(0.5, 0.5)","(2, 10)",True,True
P,虚值一档,-0.888810448676037,-0.19004909495421,0.2138241007824617,0.4546631350943771,-0.4179997899208616,inf,20,"(0.5, 0.5)","(2, 10)",True,True
P,平值期权,-0.8379131170986303,-0.178908496667516,0.2135167632737474,0.4571702694806051,-0.3913388700248935,inf,20,"(0.5, 0.5)","(2, 10)",True,True
PG,虚值一档,-0.0283634684949595,-0.0052298287708032,0.1843860799934484,0.3040550006855883,-0.0172002721843448,inf,20,"(0.5, 0.5)","(2, 10)",True,True
PG,平值期权,-0.0180275721888012,-0.0034535624409939,0.191571133640463,0.3052649233064211,-0.011313328775502,inf,20,"(0.5, 0.5)","(2, 10)",True,True
PP,虚值一档,0.7431921946269432,0.0780271957048845,0.1049892561695316,0.0832233471390773,0.9375637773194913,inf,20,"(0.5, 0.5)","(2, 10)",True,True
