品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,0.6669615575485648,0.0429475063748839,0.0643927762984401,0.0385030296568053,1.1154318701072163,inf,20,"(0.5, 0.5)","(2, 10)",True,True
A,平值期权,0.37418008119675,0.026205338077751,0.0700340274499322,0.0616201091246827,0.4252725035706594,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AG,虚值一档,5.123841316946389,0.1880369349466904,0.0366984305944027,0.005352763584823,35.12894451005464,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AG,平值期权,5.605849633401979,0.2061789634472394,0.0367792532676473,0.0043724292585569,47.15432800742094,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AL,虚值一档,-0.6884660777040523,-0.083278894457683,0.1209629597661625,0.2491335087635636,-0.3342741603527832,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AL,平值期权,-0.769649275245818,-0.0876123600414049,0.1138341357021643,0.2786217815242868,-0.3144490698541022,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AU,虚值一档,1.265512437406574,0.0675103348233757,0.0533462436463487,0.0709665307362842,0.9512982264026424,inf,20,"(0.5, 0.5)","(2, 10)",True,True
AU,平值期权,1.2373661511754064,0.0683591512826017,0.0552456936191972,0.0638399819824527,1.0707890127755852,inf,20,"(0.5, 0.5)","(2, 10)",True,True
B,虚值一档,1.6324808992999384,0.1522372127255957,0.0932551264709315,0.0245138852314193,6.210244165232267,inf,20,"(0.5, 0.5)","(2, 10)",True,True
B,平值期权,1.5501020702378876,0.1457743999220604,0.0940418071306033,0.028568765337983,5.102579624897159,inf,20,"(0.5, 0.5)","(2, 10)",True,True
C,虚值一档,-0.0340512447528032,-0.0015918925320446,0.0467499071943207,0.0514095328093122,-0.0309649289743457,inf,20,"(0.5, 0.5)","(2, 10)",True,True
C,平值期权,-0.0010811914787032,-5.465349134079542e-05,0.0505493175051161,0.0560324852649976,-0.0009753893849669,inf,20,"(0.5, 0.5)","(2, 10)",True,True
CU,虚值一档,0.8324057483043569,0.0752071250962181,0.0903491179024388,0.0694834515062376,1.082374629727003,inf,20,"(0.5, 0.5)","(2, 10)",True,True
CU,平值期权,0.7844991846714061,0.0764911422558068,0.0975031507366649,0.0725102474443456,1.0549011340020142,inf,20,"(0.5, 0.5)","(2, 10)",True,True
I,虚值一档,-0.2254595075684577,-0.0440872723952747,0.1955440818209372,0.2856886716343249,-0.1543192879964993,inf,20,"(0.5, 0.5)","(2, 10)",True,True
I,平值期权,-0.4185022376089065,-0.0815876235782451,0.1949514632093541,0.3275629130095624,-0.2490746673017386,inf,20,"(0.5, 0.5)","(2, 10)",True,True
L,虚值一档,-0.5452166124119112,-0.0551706897927477,0.1011904049450831,0.1572110158235098,-0.3509339946933753,inf,20,"(0.5, 0.5)","(2, 10)",True,True
L,平值期权,-0.4441744803737102,-0.048192258938212,0.1084984866705198,0.1413156296892875,-0.3410256816190325,inf,20,"(0.5, 0.5)","(2, 10)",True,True
M,虚值一档,-0.4659988224980313,-0.0405267089216955,0.0869674062789435,0.1939152482081914,-0.2089918626625239,inf,20,"(0.5, 0.5)","(2, 10)",True,True
