,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-04,58220.0,CALL,XSGE.CU2103,57000.0,0,1,SHFE.cu2103C57000,CU,2216.0,ITM_0
1,2021-01-04,58220.0,CALL,XSGE.CU2103,59000.0,0,1,SHFE.cu2103C59000,CU,1262.0,OTM_0
2,2021-01-04,58220.0,CALL,XSGE.CU2103,58000.0,0,1,SHFE.cu2103C58000,CU,1692.0,ATM_0
3,2021-01-04,58220.0,CALL,XSGE.CU2103,56000.0,0,1,SHFE.cu2103C56000,CU,2850.0,ITM_1
4,2021-01-04,58220.0,CALL,XSGE.CU2103,60000.0,0,1,SHFE.cu2103C60000,CU,964.0,OTM_1
5,2021-01-04,58220.0,CALL,XSGE.CU2103,55000.0,0,1,SHFE.cu2103C55000,CU,3712.0,ITM_2
6,2021-01-04,58220.0,CALL,XSGE.CU2103,61000.0,0,1,SHFE.cu2103C61000,CU,760.0,OTM_2
7,2021-01-04,58220.0,PUT,XSGE.CU2103,59000.0,0,1,SHFE.cu2103P59000,CU,2034.0,ITM_0
8,2021-01-04,58220.0,PUT,XSGE.CU2103,57000.0,0,1,SHFE.cu2103P57000,CU,982.0,OTM_0
9,2021-01-04,58220.0,PUT,XSGE.CU2103,58000.0,0,1,SHFE.cu2103P58000,CU,1412.0,ATM_0
10,2021-01-04,58220.0,PUT,XSGE.CU2103,60000.0,0,1,SHFE.cu2103P60000,CU,2726.0,ITM_1
11,2021-01-04,58220.0,PUT,XSGE.CU2103,56000.0,0,1,SHFE.cu2103P56000,CU,612.0,OTM_1
12,2021-01-04,58220.0,PUT,XSGE.CU2103,61000.0,0,1,SHFE.cu2103P61000,CU,3536.0,ITM_2
13,2021-01-04,58220.0,PUT,XSGE.CU2103,55000.0,0,1,SHFE.cu2103P55000,CU,420.0,OTM_2
14,2021-01-05,58180.0,CALL,XSGE.CU2103,57000.0,0,1,SHFE.cu2103C57000,CU,2080.0,ITM_0
15,2021-01-05,58180.0,CALL,XSGE.CU2103,59000.0,0,1,SHFE.cu2103C59000,CU,1180.0,OTM_0
16,2021-01-05,58180.0,CALL,XSGE.CU2103,58000.0,0,1,SHFE.cu2103C58000,CU,1590.0,ATM_0
17,2021-01-05,58180.0,CALL,XSGE.CU2103,56000.0,0,1,SHFE.cu2103C56000,CU,2750.0,ITM_1
18,2021-01-05,58180.0,CALL,XSGE.CU2103,60000.0,0,1,SHFE.cu2103C60000,CU,936.0,OTM_1
19,2021-01-05,58180.0,CALL,XSGE.CU2103,55000.0,0,1,SHFE.cu2103C55000,CU,3508.0,ITM_2
20,2021-01-05,58180.0,CALL,XSGE.CU2103,61000.0,0,1,SHFE.cu2103C61000,CU,722.0,OTM_2
21,2021-01-05,58180.0,PUT,XSGE.CU2103,59000.0,0,1,SHFE.cu2103P59000,CU,2052.0,ITM_0
22,2021-01-05,58180.0,PUT,XSGE.CU2103,57000.0,0,1,SHFE.cu2103P57000,CU,958.0,OTM_0
23,2021-01-05,58180.0,PUT,XSGE.CU2103,58000.0,0,1,SHFE.cu2103P58000,CU,1468.0,ATM_0
24,2021-01-05,58180.0,PUT,XSGE.CU2103,60000.0,0,1,SHFE.cu2103P60000,CU,2786.0,ITM_1
25,2021-01-05,58180.0,PUT,XSGE.CU2103,56000.0,0,1,SHFE.cu2103P56000,CU,624.0,OTM_1
26,2021-01-05,58180.0,PUT,XSGE.CU2103,61000.0,0,1,SHFE.cu2103P61000,CU,3576.0,ITM_2
27,2021-01-05,58180.0,PUT,XSGE.CU2103,55000.0,0,1,SHFE.cu2103P55000,CU,414.0,OTM_2
28,2021-01-06,59080.0,CALL,XSGE.CU2103,58000.0,0,1,SHFE.cu2103C58000,CU,2182.0,ITM_0
29,2021-01-06,59080.0,CALL,XSGE.CU2103,60000.0,0,1,SHFE.cu2103C60000,CU,1246.0,OTM_0
30,2021-01-06,59080.0,CALL,XSGE.CU2103,59000.0,0,1,SHFE.cu2103C59000,CU,1612.0,ATM_0
31,2021-01-06,59080.0,CALL,XSGE.CU2103,57000.0,0,1,SHFE.cu2103C57000,CU,2860.0,ITM_1
32,2021-01-06,59080.0,CALL,XSGE.CU2103,61000.0,0,1,SHFE.cu2103C61000,CU,988.0,OTM_1
33,2021-01-06,59080.0,CALL,XSGE.CU2103,56000.0,0,1,SHFE.cu2103C56000,CU,3540.0,ITM_2
34,2021-01-06,59080.0,CALL,XSGE.CU2103,62000.0,0,1,SHFE.cu2103C62000,CU,754.0,OTM_2
35,2021-01-06,59080.0,PUT,XSGE.CU2103,60000.0,0,1,SHFE.cu2103P60000,CU,2118.0,ITM_0
36,2021-01-06,59080.0,PUT,XSGE.CU2103,58000.0,0,1,SHFE.cu2103P58000,CU,1084.0,OTM_0
37,2021-01-06,59080.0,PUT,XSGE.CU2103,59000.0,0,1,SHFE.cu2103P59000,CU,1564.0,ATM_0
38,2021-01-06,59080.0,PUT,XSGE.CU2103,61000.0,0,1,SHFE.cu2103P61000,CU,2870.0,ITM_1
39,2021-01-06,59080.0,PUT,XSGE.CU2103,57000.0,0,1,SHFE.cu2103P57000,CU,720.0,OTM_1
40,2021-01-06,59080.0,PUT,XSGE.CU2103,62000.0,0,1,SHFE.cu2103P62000,CU,3646.0,ITM_2
41,2021-01-06,59080.0,PUT,XSGE.CU2103,56000.0,0,1,SHFE.cu2103P56000,CU,450.0,OTM_2
42,2021-01-07,59520.0,CALL,XSGE.CU2103,58000.0,0,1,SHFE.cu2103C58000,CU,2392.0,ITM_0
43,2021-01-07,59520.0,CALL,XSGE.CU2103,60000.0,0,1,SHFE.cu2103C60000,CU,1430.0,OTM_0
44,2021-01-07,59520.0,CALL,XSGE.CU2103,59000.0,0,1,SHFE.cu2103C59000,CU,1778.0,ATM_0
45,2021-01-07,59520.0,CALL,XSGE.CU2103,57000.0,0,1,SHFE.cu2103C57000,CU,3134.0,ITM_1
46,2021-01-07,59520.0,CALL,XSGE.CU2103,61000.0,0,1,SHFE.cu2103C61000,CU,1056.0,OTM_1
47,2021-01-07,59520.0,CALL,XSGE.CU2103,56000.0,0,1,SHFE.cu2103C56000,CU,3754.0,ITM_2
48,2021-01-07,59520.0,CALL,XSGE.CU2103,62000.0,0,1,SHFE.cu2103C62000,CU,784.0,OTM_2
49,2021-01-07,59520.0,PUT,XSGE.CU2103,60000.0,0,1,SHFE.cu2103P60000,CU,1878.0,ITM_0
50,2021-01-07,59520.0,PUT,XSGE.CU2103,58000.0,0,1,SHFE.cu2103P58000,CU,922.0,OTM_0
51,2021-01-07,59520.0,PUT,XSGE.CU2103,59000.0,0,1,SHFE.cu2103P59000,CU,1358.0,ATM_0
52,2021-01-07,59520.0,PUT,XSGE.CU2103,61000.0,0,1,SHFE.cu2103P61000,CU,2532.0,ITM_1
53,2021-01-07,59520.0,PUT,XSGE.CU2103,57000.0,0,1,SHFE.cu2103P57000,CU,632.0,OTM_1
54,2021-01-07,59520.0,PUT,XSGE.CU2103,62000.0,0,1,SHFE.cu2103P62000,CU,3300.0,ITM_2
55,2021-01-07,59520.0,PUT,XSGE.CU2103,56000.0,0,1,SHFE.cu2103P56000,CU,422.0,OTM_2
56,2021-01-08,60420.0,CALL,XSGE.CU2103,59000.0,0,1,SHFE.cu2103C59000,CU,2410.0,ITM_0
57,2021-01-08,60420.0,CALL,XSGE.CU2103,61000.0,0,1,SHFE.cu2103C61000,CU,1460.0,OTM_0
58,2021-01-08,60420.0,CALL,XSGE.CU2103,60000.0,0,1,SHFE.cu2103C60000,CU,1914.0,ATM_0
59,2021-01-08,60420.0,CALL,XSGE.CU2103,58000.0,0,1,SHFE.cu2103C58000,CU,2958.0,ITM_1
60,2021-01-08,60420.0,CALL,XSGE.CU2103,62000.0,0,1,SHFE.cu2103C62000,CU,1160.0,OTM_1
61,2021-01-08,60420.0,CALL,XSGE.CU2103,57000.0,0,1,SHFE.cu2103C57000,CU,3838.0,ITM_2
62,2021-01-08,60420.0,CALL,XSGE.CU2103,63000.0,0,1,SHFE.cu2103C63000,CU,934.0,OTM_2
63,2021-01-08,60420.0,PUT,XSGE.CU2103,61000.0,0,1,SHFE.cu2103P61000,CU,2126.0,ITM_0
64,2021-01-08,60420.0,PUT,XSGE.CU2103,59000.0,0,1,SHFE.cu2103P59000,CU,1034.0,OTM_0
65,2021-01-08,60420.0,PUT,XSGE.CU2103,60000.0,0,1,SHFE.cu2103P60000,CU,1530.0,ATM_0
66,2021-01-08,60420.0,PUT,XSGE.CU2103,62000.0,0,1,SHFE.cu2103P62000,CU,2830.0,ITM_1
67,2021-01-08,60420.0,PUT,XSGE.CU2103,58000.0,0,1,SHFE.cu2103P58000,CU,678.0,OTM_1
68,2021-01-08,60420.0,PUT,XSGE.CU2103,63000.0,0,1,SHFE.cu2103P63000,CU,3456.0,ITM_2
69,2021-01-08,60420.0,PUT,XSGE.CU2103,57000.0,0,1,SHFE.cu2103P57000,CU,446.0,OTM_2
70,2021-01-11,58580.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1250.0,ITM_0
71,2021-01-11,58580.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,480.0,OTM_0
72,2021-01-11,58580.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,772.0,ATM_0
73,2021-01-11,58580.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1960.0,ITM_1
74,2021-01-11,58580.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,300.0,OTM_1
75,2021-01-11,58580.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2804.0,ITM_2
76,2021-01-11,58580.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,194.0,OTM_2
77,2021-01-11,58580.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1862.0,ITM_0
78,2021-01-11,58580.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,550.0,OTM_0
79,2021-01-11,58580.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,1186.0,ATM_0
80,2021-01-11,58580.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2608.0,ITM_1
81,2021-01-11,58580.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,398.0,OTM_1
82,2021-01-11,58580.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3552.0,ITM_2
83,2021-01-11,58580.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,178.0,OTM_2
84,2021-01-12,58570.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1266.0,ITM_0
85,2021-01-12,58570.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,468.0,OTM_0
86,2021-01-12,58570.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,748.0,ATM_0
87,2021-01-12,58570.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1882.0,ITM_1
88,2021-01-12,58570.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,292.0,OTM_1
89,2021-01-12,58570.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2838.0,ITM_2
90,2021-01-12,58570.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,162.0,OTM_2
91,2021-01-12,58570.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1740.0,ITM_0
92,2021-01-12,58570.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,568.0,OTM_0
93,2021-01-12,58570.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,1076.0,ATM_0
94,2021-01-12,58570.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2574.0,ITM_1
95,2021-01-12,58570.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,250.0,OTM_1
96,2021-01-12,58570.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3504.0,ITM_2
97,2021-01-12,58570.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,106.0,OTM_2
98,2021-01-13,58680.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1204.0,ITM_0
99,2021-01-13,58680.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,428.0,OTM_0
100,2021-01-13,58680.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,716.0,ATM_0
101,2021-01-13,58680.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1922.0,ITM_1
102,2021-01-13,58680.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,252.0,OTM_1
103,2021-01-13,58680.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2832.0,ITM_2
104,2021-01-13,58680.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,138.0,OTM_2
105,2021-01-13,58680.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1732.0,ITM_0
106,2021-01-13,58680.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,500.0,OTM_0
107,2021-01-13,58680.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,1046.0,ATM_0
108,2021-01-13,58680.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2596.0,ITM_1
109,2021-01-13,58680.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,232.0,OTM_1
110,2021-01-13,58680.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3500.0,ITM_2
111,2021-01-13,58680.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,106.0,OTM_2
112,2021-01-14,58650.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1088.0,ITM_0
113,2021-01-14,58650.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,342.0,OTM_0
114,2021-01-14,58650.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,600.0,ATM_0
115,2021-01-14,58650.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1806.0,ITM_1
116,2021-01-14,58650.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,208.0,OTM_1
117,2021-01-14,58650.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2630.0,ITM_2
118,2021-01-14,58650.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,114.0,OTM_2
119,2021-01-14,58650.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1750.0,ITM_0
120,2021-01-14,58650.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,598.0,OTM_0
121,2021-01-14,58650.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,1016.0,ATM_0
122,2021-01-14,58650.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2614.0,ITM_1
123,2021-01-14,58650.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,210.0,OTM_1
124,2021-01-14,58650.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3574.0,ITM_2
125,2021-01-14,58650.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,110.0,OTM_2
126,2021-01-15,58640.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1094.0,ITM_0
127,2021-01-15,58640.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,302.0,OTM_0
128,2021-01-15,58640.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,580.0,ATM_0
129,2021-01-15,58640.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1972.0,ITM_1
130,2021-01-15,58640.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,186.0,OTM_1
131,2021-01-15,58640.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2736.0,ITM_2
132,2021-01-15,58640.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,100.0,OTM_2
133,2021-01-15,58640.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1658.0,ITM_0
134,2021-01-15,58640.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,438.0,OTM_0
135,2021-01-15,58640.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,948.0,ATM_0
136,2021-01-15,58640.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2510.0,ITM_1
137,2021-01-15,58640.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,184.0,OTM_1
138,2021-01-15,58640.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3434.0,ITM_2
139,2021-01-15,58640.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,76.0,OTM_2
140,2021-01-18,59160.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1412.0,ITM_0
141,2021-01-18,59160.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,416.0,OTM_0
142,2021-01-18,59160.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,760.0,ATM_0
143,2021-01-18,59160.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,2296.0,ITM_1
144,2021-01-18,59160.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,234.0,OTM_1
145,2021-01-18,59160.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,3144.0,ITM_2
146,2021-01-18,59160.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,100.0,OTM_2
147,2021-01-18,59160.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1216.0,ITM_0
148,2021-01-18,59160.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,246.0,OTM_0
149,2021-01-18,59160.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,622.0,ATM_0
150,2021-01-18,59160.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,1956.0,ITM_1
151,2021-01-18,59160.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,90.0,OTM_1
152,2021-01-18,59160.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,2838.0,ITM_2
153,2021-01-18,59160.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,36.0,OTM_2
154,2021-01-19,58790.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1062.0,ITM_0
155,2021-01-19,58790.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,162.0,OTM_0
156,2021-01-19,58790.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,446.0,ATM_0
157,2021-01-19,58790.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,1768.0,ITM_1
158,2021-01-19,58790.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,50.0,OTM_1
159,2021-01-19,58790.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,2752.0,ITM_2
160,2021-01-19,58790.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,14.0,OTM_2
161,2021-01-19,58790.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1380.0,ITM_0
162,2021-01-19,58790.0,PUT,XSGE.CU2102,58000.0,0,1,SHFE.cu2102P58000,CU,258.0,OTM_0
163,2021-01-19,58790.0,PUT,XSGE.CU2102,59000.0,0,1,SHFE.cu2102P59000,CU,698.0,ATM_0
164,2021-01-19,58790.0,PUT,XSGE.CU2102,61000.0,0,1,SHFE.cu2102P61000,CU,2392.0,ITM_1
165,2021-01-19,58790.0,PUT,XSGE.CU2102,57000.0,0,1,SHFE.cu2102P57000,CU,106.0,OTM_1
166,2021-01-19,58790.0,PUT,XSGE.CU2102,62000.0,0,1,SHFE.cu2102P62000,CU,3374.0,ITM_2
167,2021-01-19,58790.0,PUT,XSGE.CU2102,56000.0,0,1,SHFE.cu2102P56000,CU,42.0,OTM_2
168,2021-01-20,59020.0,CALL,XSGE.CU2102,58000.0,0,1,SHFE.cu2102C58000,CU,1132.0,ITM_0
169,2021-01-20,59020.0,CALL,XSGE.CU2102,60000.0,0,1,SHFE.cu2102C60000,CU,192.0,OTM_0
170,2021-01-20,59020.0,CALL,XSGE.CU2102,59000.0,0,1,SHFE.cu2102C59000,CU,588.0,ATM_0
171,2021-01-20,59020.0,CALL,XSGE.CU2102,57000.0,0,1,SHFE.cu2102C57000,CU,2170.0,ITM_1
172,2021-01-20,59020.0,CALL,XSGE.CU2102,61000.0,0,1,SHFE.cu2102C61000,CU,68.0,OTM_1
173,2021-01-20,59020.0,CALL,XSGE.CU2102,56000.0,0,1,SHFE.cu2102C56000,CU,3138.0,ITM_2
174,2021-01-20,59020.0,CALL,XSGE.CU2102,62000.0,0,1,SHFE.cu2102C62000,CU,10.0,OTM_2
175,2021-01-20,59020.0,PUT,XSGE.CU2102,60000.0,0,1,SHFE.cu2102P60000,CU,1116.0,ITM_0
