品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,-0.5990652203378151,-0.0314661245436715,0.0525253736578593,0.0468818023628804,-0.6711799239311133,inf,20,"(0.5, 0.5)","(2, 5)",False,True
A,平值期权,-0.5747214841751609,-0.0396003187656819,0.0689034947467054,0.0560295920215274,-0.7067750689754595,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AG,虚值一档,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AG,平值期权,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AL,虚值一档,-0.2696003483683675,-0.0343759856997786,0.1275072005945969,0.2472428211112914,-0.139037346141205,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AL,平值期权,-0.2658012869328077,-0.0355486000100052,0.1337412637095003,0.2637178025717129,-0.1347978773649096,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AU,虚值一档,0.7449228958258214,0.0355092046714695,0.0476682954309037,0.0851984535903864,0.4167822674597972,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AU,平值期权,0.7244634755205248,0.0417827158055381,0.0576740128624391,0.0966561416662586,0.4322820576659111,inf,20,"(0.5, 0.5)","(2, 5)",False,True
B,虚值一档,-1.5588736993616832,-0.1233289620323755,0.0791141463756014,0.0483917085651898,-2.5485556449455737,inf,20,"(0.5, 0.5)","(2, 5)",False,True
B,平值期权,-1.925510227757272,-0.1601855722337563,0.0831912341594423,0.0548164936983407,-2.922214855902121,inf,20,"(0.5, 0.5)","(2, 5)",False,True
C,虚值一档,-0.8144071210285283,-0.0502459400446104,0.061696341727899,0.1537341417544061,-0.3268365730032795,inf,20,"(0.5, 0.5)","(2, 5)",False,True
C,平值期权,-0.7715677688668166,-0.0528194109317541,0.0684572542595043,0.1663172589642644,-0.3175822597166726,inf,20,"(0.5, 0.5)","(2, 5)",False,True
CU,虚值一档,0.1584368781491591,0.015254966795929,0.0962841920021135,0.1012066393346268,0.1507308897540852,inf,20,"(0.5, 0.5)","(2, 5)",False,True
CU,平值期权,0.1428412209640543,0.0159021394558055,0.111327383989579,0.1261958347532962,0.126011603210939,inf,20,"(0.5, 0.5)","(2, 5)",False,True
I,虚值一档,1.654985351314571,0.290784842876802,0.1757023665773409,0.0967030993776665,3.0069857610371327,inf,20,"(0.5, 0.5)","(2, 5)",False,True
I,平值期权,1.6881322224971869,0.3087506699614387,0.1828948383585239,0.10587692274139,2.9161281039077656,inf,20,"(0.5, 0.5)","(2, 5)",False,True
L,虚值一档,0.3067586229651023,0.029066400593129,0.0947533285688131,0.0971636090817065,0.2991490421963082,inf,20,"(0.5, 0.5)","(2, 5)",False,True
L,平值期权,0.1397286457887343,0.0142968323217415,0.1023185492211663,0.1166081319958604,0.1226057915261782,inf,20,"(0.5, 0.5)","(2, 5)",False,True
M,虚值一档,-0.5937296259491726,-0.0507035934383655,0.0853984561698562,0.236206153284303,-0.2146582243238074,inf,20,"(0.5, 0.5)","(2, 5)",False,True
M,平值期权,-0.641459771873268,-0.0646774345876786,0.100828512439369,0.2713499430765433,-0.2383543326170302,inf,20,"(0.5, 0.5)","(2, 5)",False,True
P,虚值一档,0.0709100585322368,0.0117291999745489,0.1654095373397087,0.1762069250148158,0.0665649206100313,inf,20,"(0.5, 0.5)","(2, 5)",False,True
P,平值期权,0.1855110800760483,0.0323115642187717,0.1741759263410356,0.1888969407165572,0.1710539307635254,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PG,虚值一档,0.1141899952143338,0.0201541270984966,0.1764964352670958,0.2160019070942527,0.0933053201687815,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PG,平值期权,0.0885689352810258,0.016492057096605,0.1862058863446466,0.2101727986428303,0.0784690369215277,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PP,虚值一档,0.6472687584715485,0.0634788639925258,0.0980718799752114,0.1085650451027362,0.584708125276005,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PP,平值期权,0.5488003017127351,0.0591935892076384,0.1078599793456797,0.1188334725199063,0.4981221868924396,inf,20,"(0.5, 0.5)","(2, 5)",False,True
