品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,-0.4561493266390042,-0.0243731336961654,0.053432357065506,0.0459278883416175,-0.5306826544010674,inf,20,"(0.5, 0.5)","(2, 5)",False,True
A,平值期权,-0.7368856044328415,-0.0429665549149465,0.0583083108917789,0.064039081000815,-0.6709427156582676,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AG,虚值一档,0.948961883692456,0.0588205953688736,0.0619841496056721,0.0177336873065668,3.316884658674005,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AG,平值期权,1.0239462886095363,0.071993784693908,0.0703101183087168,0.0203834042533047,3.5319804189349635,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AL,虚值一档,-0.9778422469854586,-0.1014527345265544,0.1037516376893287,0.2695980753895207,-0.3763110488825763,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AL,平值期权,-0.9633008189261046,-0.1083126814912219,0.1124391045488467,0.2981823294739349,-0.3632431260508008,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AU,虚值一档,0.7377607193811445,0.0362582243566011,0.0491463199437016,0.056963491796432,0.6365168849932104,inf,20,"(0.5, 0.5)","(2, 5)",False,True
AU,平值期权,0.583637126860936,0.0333628599348442,0.0571637039512629,0.0692825678275625,0.4815476819202351,inf,20,"(0.5, 0.5)","(2, 5)",False,True
B,虚值一档,0.6548593580438259,0.0468884729034133,0.0716008289833057,0.0323644261706563,1.4487657731415426,inf,20,"(0.5, 0.5)","(2, 5)",False,True
B,平值期权,0.413184290756412,0.034077485287884,0.0824752684219886,0.0406712824750687,0.8378758478730872,inf,20,"(0.5, 0.5)","(2, 5)",False,True
C,虚值一档,-0.0414783226038509,-0.0019212620795446,0.0463196667303579,0.0567410106370057,-0.0338602019593148,inf,20,"(0.5, 0.5)","(2, 5)",False,True
C,平值期权,0.0439683316458103,0.002388642131257,0.0543264218096539,0.0644900248485864,0.0370389395393357,inf,20,"(0.5, 0.5)","(2, 5)",False,True
CU,虚值一档,0.0271773498101998,0.0022831315570047,0.0840086164747338,0.082462697755025,0.0276868404643678,inf,20,"(0.5, 0.5)","(2, 5)",False,True
