,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-01-08,7025.0,CALL,XDCE.V2103,7000.0,0,1,DCE.v2103-C-7000,V,283.5,ITM_0
1,2021-01-08,7025.0,CALL,XDCE.V2103,7200.0,0,1,DCE.v2103-C-7200,V,192.5,OTM_0
2,2021-01-08,7025.0,CALL,XDCE.V2103,7100.0,0,1,DCE.v2103-C-7100,V,233.5,ATM_0
3,2021-01-08,7025.0,CALL,XDCE.V2103,6900.0,0,1,DCE.v2103-C-6900,V,342.0,ITM_1
4,2021-01-08,7025.0,CALL,XDCE.V2103,7300.0,0,1,DCE.v2103-C-7300,V,159.0,OTM_1
5,2021-01-08,7025.0,CALL,XDCE.V2103,6800.0,0,1,DCE.v2103-C-6800,V,406.5,ITM_2
6,2021-01-08,7025.0,CALL,XDCE.V2103,7400.0,0,1,DCE.v2103-C-7400,V,98.5,OTM_2
7,2021-01-08,7025.0,PUT,XDCE.V2103,7200.0,0,1,DCE.v2103-P-7200,V,252.5,ITM_0
8,2021-01-08,7025.0,PUT,XDCE.V2103,7000.0,0,1,DCE.v2103-P-7000,V,144.0,OTM_0
9,2021-01-08,7025.0,PUT,XDCE.V2103,7100.0,0,1,DCE.v2103-P-7100,V,187.5,ATM_0
10,2021-01-08,7025.0,PUT,XDCE.V2103,7300.0,0,1,DCE.v2103-P-7300,V,316.0,ITM_1
11,2021-01-08,7025.0,PUT,XDCE.V2103,6900.0,0,1,DCE.v2103-P-6900,V,99.0,OTM_1
12,2021-01-08,7025.0,PUT,XDCE.V2103,7400.0,0,1,DCE.v2103-P-7400,V,390.5,ITM_2
13,2021-01-08,7025.0,PUT,XDCE.V2103,6800.0,0,1,DCE.v2103-P-6800,V,75.5,OTM_2
14,2021-01-11,6935.0,CALL,XDCE.V2103,6900.0,0,1,DCE.v2103-C-6900,V,190.0,ITM_0
15,2021-01-11,6935.0,CALL,XDCE.V2103,7100.0,0,1,DCE.v2103-C-7100,V,106.5,OTM_0
16,2021-01-11,6935.0,CALL,XDCE.V2103,7000.0,0,1,DCE.v2103-C-7000,V,151.0,ATM_0
17,2021-01-11,6935.0,CALL,XDCE.V2103,6800.0,0,1,DCE.v2103-C-6800,V,237.5,ITM_1
18,2021-01-11,6935.0,CALL,XDCE.V2103,7200.0,0,1,DCE.v2103-C-7200,V,79.0,OTM_1
19,2021-01-11,6935.0,CALL,XDCE.V2103,6700.0,0,1,DCE.v2103-C-6700,V,303.0,ITM_2
20,2021-01-11,6935.0,CALL,XDCE.V2103,7300.0,0,1,DCE.v2103-C-7300,V,60.0,OTM_2
21,2021-01-11,6935.0,PUT,XDCE.V2103,7100.0,0,1,DCE.v2103-P-7100,V,266.0,ITM_0
22,2021-01-11,6935.0,PUT,XDCE.V2103,6900.0,0,1,DCE.v2103-P-6900,V,139.5,OTM_0
23,2021-01-11,6935.0,PUT,XDCE.V2103,7000.0,0,1,DCE.v2103-P-7000,V,200.0,ATM_0
24,2021-01-11,6935.0,PUT,XDCE.V2103,7200.0,0,1,DCE.v2103-P-7200,V,339.5,ITM_1
25,2021-01-11,6935.0,PUT,XDCE.V2103,6800.0,0,1,DCE.v2103-P-6800,V,102.5,OTM_1
26,2021-01-11,6935.0,PUT,XDCE.V2103,7300.0,0,1,DCE.v2103-P-7300,V,420.0,ITM_2
27,2021-01-11,6935.0,PUT,XDCE.V2103,6700.0,0,1,DCE.v2103-P-6700,V,68.0,OTM_2
28,2021-01-12,7035.0,CALL,XDCE.V2103,6900.0,0,1,DCE.v2103-C-6900,V,225.5,ITM_0
29,2021-01-12,7035.0,CALL,XDCE.V2103,7100.0,0,1,DCE.v2103-C-7100,V,137.0,OTM_0
30,2021-01-12,7035.0,CALL,XDCE.V2103,7000.0,0,1,DCE.v2103-C-7000,V,171.5,ATM_0
