品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,0.0427758588168902,0.0020615320384149,0.0481938199590508,0.035583991099536,0.0579342556783032,inf,20,"(0.5, 0.5)","(2, 10)",True,False
A,平值期权,-0.0367090551803642,-0.0023734661055176,0.0646561480227695,0.0414085549552745,-0.057318254840847,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AG,虚值一档,0.2660486639912822,0.010876109806204,0.0408801519355136,0.0116042058076601,0.9372558524448498,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AG,平值期权,0.3946261277541779,0.0158011592714159,0.0400408339948004,0.0114093126057366,1.3849352557375878,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AL,虚值一档,0.2152159542768764,0.0257338463934142,0.1195722058798091,0.1464857191308975,0.1756747793989314,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AL,平值期权,0.0701290109695332,0.0091943636136361,0.1311064206741848,0.1815145548455234,0.0506535887519374,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AU,虚值一档,1.264479548842515,0.0615538006393966,0.0486791587066331,0.0686719182292496,0.8963460207112558,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AU,平值期权,1.2078119283404742,0.0704793391954843,0.0583529087118078,0.0839328443872161,0.839711077469681,inf,20,"(0.5, 0.5)","(2, 10)",True,False
B,虚值一档,1.3596513715802534,0.1006206338860797,0.0740047309106403,0.0254488810883259,3.953833315376559,inf,20,"(0.5, 0.5)","(2, 10)",True,False
B,平值期权,1.3400060467593744,0.120222686263533,0.0897180177315434,0.0315544702444489,3.810004900484195,inf,20,"(0.5, 0.5)","(2, 10)",True,False
C,虚值一档,-0.7484862153771065,-0.0476294845404581,0.0636344177914635,0.1038256058500287,-0.4587450672742204,inf,20,"(0.5, 0.5)","(2, 10)",True,False
C,平值期权,-0.6770540339972692,-0.0486066921788708,0.071791451993722,0.105871980475376,-0.4591081791482672,inf,20,"(0.5, 0.5)","(2, 10)",True,False
CU,虚值一档,1.214437056591662,0.1093405694916657,0.090033953508082,0.073034269732673,1.4971132030467955,inf,20,"(0.5, 0.5)","(2, 10)",True,False
CU,平值期权,1.29899014372149,0.1359276715073178,0.1046410337786684,0.0807267225218058,1.6838001997492371,inf,20,"(0.5, 0.5)","(2, 10)",True,False
I,虚值一档,1.7186730163385688,0.3173277080418536,0.1846353000397266,0.1716751409644356,1.848419673688176,inf,20,"(0.5, 0.5)","(2, 10)",True,False
I,平值期权,1.672215135981279,0.3259172564595945,0.1949015108443817,0.1781323361564195,1.8296355591126572,inf,20,"(0.5, 0.5)","(2, 10)",True,False
L,虚值一档,0.4236969470374658,0.0425540406006762,0.1004350890376215,0.086408232255412,0.4924766945224826,inf,20,"(0.5, 0.5)","(2, 10)",True,False
L,平值期权,0.4144661449127282,0.0444871285694275,0.1073359769319516,0.0960491038822057,0.4631706780313783,inf,20,"(0.5, 0.5)","(2, 10)",True,False
M,虚值一档,-0.9871071640462356,-0.0955147941817691,0.0967623350946476,0.2816222285866587,-0.3391592867548736,inf,20,"(0.5, 0.5)","(2, 10)",True,False
M,平值期权,-1.0304816527668497,-0.114302056353971,0.1109210009193946,0.3242233450462238,-0.3525411050758088,inf,20,"(0.5, 0.5)","(2, 10)",True,False
P,虚值一档,0.2195499755342125,0.0387581771945826,0.1765346459286804,0.1705373845028553,0.2272708550536829,inf,20,"(0.5, 0.5)","(2, 10)",True,False
P,平值期权,0.2238343544237996,0.0413004918468106,0.184513641586107,0.1547491725430632,0.2668866732409676,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PG,虚值一档,-0.1036506701131681,-0.01879173773623,0.1812987577959003,0.2315873413784285,-0.0811431990383409,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PG,平值期权,-0.1105469469788073,-0.0213186190451466,0.192846746362282,0.2408197757867352,-0.088525200953704,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PP,虚值一档,0.8402767811159797,0.0835092340782119,0.0993830080218359,0.0548706727066993,1.5219283810241315,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PP,平值期权,0.7199373118010514,0.0793879739301066,0.1102706758335715,0.0640790559998606,1.23890673311853,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RB,虚值一档,3.264778695840972,0.1198530459644446,0.0367109250367035,0.0072410407461953,16.551908788445736,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RB,平值期权,3.31454935143728,0.1345255353474561,0.0405863727113075,0.0084683357879233,15.885711043638793,inf,20,"(0.5, 0.5)","(2, 10)",True,False
