品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
A,虚值一档,0.2936084069032357,0.0149215370719085,0.0508212187426437,0.0372994981704087,0.4000465905395576,inf,20,"(0.5, 0.5)","(2, 10)",True,False
A,平值期权,-0.3554768568678517,-0.0230421299600951,0.0648203378501824,0.0596083244108246,-0.3865589275968767,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AG,虚值一档,3.4699581975650764,0.1908573102435786,0.0550027693064159,0.0140796410696525,13.55555225445024,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AG,平值期权,3.400898531194148,0.2040874959227827,0.0600098750523797,0.0162536461336733,12.556413142277458,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AL,虚值一档,-1.324870704912677,-0.1470641479360618,0.1110026415338052,0.313210479701429,-0.4695377628368379,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AL,平值期权,-1.352681847286148,-0.1686955485066079,0.1247119186563031,0.3578797234194251,-0.471374982898658,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AU,虚值一档,0.932762172052979,0.0459261934459549,0.0492367666935644,0.0521000062159009,0.8815007287261761,inf,20,"(0.5, 0.5)","(2, 10)",True,False
AU,平值期权,0.8369420127442005,0.0483398030986853,0.0577576491114201,0.0601500930783948,0.8036530057515135,inf,20,"(0.5, 0.5)","(2, 10)",True,False
B,虚值一档,1.7686900495944775,0.1679156582892327,0.0949378656411462,0.0256750677584756,6.540027853823367,inf,20,"(0.5, 0.5)","(2, 10)",True,False
B,平值期权,2.048789281380844,0.2215502194399192,0.108137142971872,0.028978687516951,7.645281357560565,inf,20,"(0.5, 0.5)","(2, 10)",True,False
C,虚值一档,0.6525487107218685,0.0329825439172258,0.0505441867791594,0.0544433243303627,0.6058142907859075,inf,20,"(0.5, 0.5)","(2, 10)",True,False
C,平值期权,0.8257232781225778,0.0477637258571173,0.0578447127780099,0.0548327492090005,0.8710802676528419,inf,20,"(0.5, 0.5)","(2, 10)",True,False
CU,虚值一档,-0.2155680666509581,-0.0179634672511825,0.0833308361960144,0.1129455379657256,-0.1590453910329214,inf,20,"(0.5, 0.5)","(2, 10)",True,False
CU,平值期权,-0.3899813509488636,-0.0405172461551375,0.1038953428325613,0.1523604022595733,-0.2659302912977951,inf,20,"(0.5, 0.5)","(2, 10)",True,False
I,虚值一档,0.8858285643915537,0.1898941745220759,0.2143689898423043,0.1228342526172343,1.5459382906314254,inf,20,"(0.5, 0.5)","(2, 10)",True,False
I,平值期权,0.8627403755364167,0.200790856380352,0.2327361302124158,0.12429422186073,1.6154480343047273,inf,20,"(0.5, 0.5)","(2, 10)",True,False
L,虚值一档,-1.212197352736761,-0.1389060785170175,0.1145903166703105,0.2756354012673526,-0.5039486142866155,inf,20,"(0.5, 0.5)","(2, 10)",True,False
L,平值期权,-1.2062033198487878,-0.1542231464663717,0.1278583336063985,0.3113505813767695,-0.4953359835861178,inf,20,"(0.5, 0.5)","(2, 10)",True,False
M,虚值一档,0.0254375643890346,0.002234266878156,0.0878333650182006,0.1030962857288264,0.0216716524980622,inf,20,"(0.5, 0.5)","(2, 10)",True,False
M,平值期权,-0.1537180795814581,-0.0178276286537446,0.1159761343772022,0.1316018016440152,-0.1354664482631374,inf,20,"(0.5, 0.5)","(2, 10)",True,False
P,虚值一档,-0.4750755028990016,-0.0761534626733604,0.1602975994524185,0.2161984937927595,-0.3522386365298111,inf,20,"(0.5, 0.5)","(2, 10)",True,False
P,平值期权,-0.3440811290443286,-0.0597888198303352,0.1737637283288283,0.1833872860457563,-0.3260248903809914,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PG,虚值一档,0.71336571552465,0.1277153006298508,0.1790320138050392,0.1315175141624519,0.9710896791441436,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PG,平值期权,0.7687021600978,0.160053248049251,0.2082123042673483,0.120133854699146,1.33229095536871,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PP,虚值一档,0.223544283754113,0.0233534506103488,0.1044690126634437,0.1337821769698407,0.1745632425731388,inf,20,"(0.5, 0.5)","(2, 10)",True,False
PP,平值期权,0.1049507305471867,0.0119187487395469,0.113565181275114,0.1721113507491615,0.0692502190452129,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RB,虚值一档,0.3213769580565423,0.0178940442246495,0.0556793005100922,0.0143139348845217,1.250113568980893,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RB,平值期权,0.2474993585655706,0.014727905449579,0.0595068429063308,0.0153898235904523,0.9569898812040988,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RU,虚值一档,0.265438234638239,0.0267125502592581,0.1006356536979844,0.1077483871507413,0.2479160103054442,inf,20,"(0.5, 0.5)","(2, 10)",True,False
RU,平值期权,0.1543082693116921,0.0177301915799311,0.1149011109969575,0.1461916709460053,0.1212804495987985,inf,20,"(0.5, 0.5)","(2, 10)",True,False
SC,虚值一档,0.5405162521594526,0.099921771477042,0.1848635838012971,0.1535528171988474,0.650732258123572,inf,20,"(0.5, 0.5)","(2, 10)",True,False
SC,平值期权,0.6421332712722552,0.1348450508437362,0.2099954275481917,0.1481874124140815,0.9099629222685756,inf,20,"(0.5, 0.5)","(2, 10)",True,False
V,虚值一档,-1.3199022078956817,-0.2077878239794715,0.1574266811105251,0.4601613264504542,-0.4515542963644601,inf,20,"(0.5, 0.5)","(2, 10)",True,False
V,平值期权,-1.2675622172630856,-0.2190887431427034,0.1728425951475256,0.4774120151322464,-0.4589091522592165,inf,20,"(0.5, 0.5)","(2, 10)",True,False
Y,虚值一档,0.989608152660182,0.0929707682170758,0.0939470516357,0.0591049048160559,1.5729789009290525,inf,20,"(0.5, 0.5)","(2, 10)",True,False
Y,平值期权,0.6621529595123116,0.0715465441820412,0.10805138473554,0.0775949095720375,0.9220520337821764,inf,20,"(0.5, 0.5)","(2, 10)",True,False
ZN,虚值一档,1.1938585507719166,0.1202905632299672,0.1007578017950205,0.0973584071813497,1.2355436650262963,inf,20,"(0.5, 0.5)","(2, 10)",True,False
ZN,平值期权,1.049585867969346,0.1273615174816568,0.1213445429939578,0.111501970053307,1.1422355804186026,inf,20,"(0.5, 0.5)","(2, 10)",True,False
A,虚值一档,0.7169966522004906,0.0364634286576188,0.0508557864889761,0.0380332022071245,0.9587262323861946,inf,20,"(0.5, 0.5)","(2, 5)",True,False
A,平值期权,0.192103688589895,0.0132533050953878,0.0689903728172606,0.0652703917144696,0.2030523296591416,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AG,虚值一档,2.8286992854965898,0.2530787358725866,0.0894682362208599,0.0326413215934269,7.753323809154526,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AG,平值期权,2.9484812689763173,0.2924141243803568,0.0991744894081962,0.0348395863557715,8.393157180292274,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AL,虚值一档,-1.16177473469807,-0.1371369584497265,0.1180409199425107,0.3226959749626262,-0.4249726339648624,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AL,平值期权,-1.0579362514368833,-0.1342142861244732,0.1268642472003243,0.3266374667006897,-0.4108967886634354,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AU,虚值一档,0.802881070389549,0.0412469862122554,0.0513737186408478,0.050597677647404,0.8151952447242726,inf,20,"(0.5, 0.5)","(2, 5)",True,False
AU,平值期权,0.5619294459561082,0.0334435361235376,0.0595155430351836,0.0556050675056879,0.6014476310116279,inf,20,"(0.5, 0.5)","(2, 5)",True,False
B,虚值一档,1.6769518156001193,0.1573860263113787,0.0938524439684369,0.0484357250422037,3.2493789692265955,inf,20,"(0.5, 0.5)","(2, 5)",True,False
B,平值期权,2.038536627097437,0.2243741618393736,0.1100662891492157,0.0551387604718938,4.06926379771894,inf,20,"(0.5, 0.5)","(2, 5)",True,False
C,虚值一档,-0.1723159474933947,-0.0093532497680212,0.0542796526037139,0.094964012455316,-0.0984925713034957,inf,20,"(0.5, 0.5)","(2, 5)",True,False
C,平值期权,0.0285080261980106,0.0017698332019932,0.062081927022951,0.0962176679078127,0.0183940563149895,inf,20,"(0.5, 0.5)","(2, 5)",True,False
CU,虚值一档,0.3490460235878643,0.0297589820239469,0.0852580462543382,0.0930758448093092,0.3197283042116485,inf,20,"(0.5, 0.5)","(2, 5)",True,False
CU,平值期权,0.4464171944528891,0.0457004657663929,0.1023716521994668,0.1293489127386409,0.3533115570807629,inf,20,"(0.5, 0.5)","(2, 5)",True,False
I,虚值一档,0.7584695991396908,0.1651087401596062,0.2176866948218941,0.1935903230692718,0.852877031981221,inf,20,"(0.5, 0.5)","(2, 5)",True,False
I,平值期权,0.8413391512510104,0.1961895143388164,0.2331871921651296,0.1914969283249967,1.0245047586656622,inf,20,"(0.5, 0.5)","(2, 5)",True,False
L,虚值一档,-0.9397028799578222,-0.1016919288770345,0.1082171088819041,0.2161710235113292,-0.4704234972163372,inf,20,"(0.5, 0.5)","(2, 5)",True,False
L,平值期权,-0.9413427797163306,-0.1156095048969238,0.1228133974021261,0.2515890511597509,-0.4595172340131586,inf,20,"(0.5, 0.5)","(2, 5)",True,False
M,虚值一档,-0.3900746354092907,-0.0364527150960077,0.0934506163359206,0.160274869524832,-0.2274387444774053,inf,20,"(0.5, 0.5)","(2, 5)",True,False
M,平值期权,-0.5321107017372032,-0.0581692480194938,0.1093179442352622,0.1964595006423667,-0.2960877322262192,inf,20,"(0.5, 0.5)","(2, 5)",True,False
P,虚值一档,0.0369513794471584,0.0063636893711247,0.172217910842138,0.1823351612756115,0.0349010543364458,inf,20,"(0.5, 0.5)","(2, 5)",True,False
P,平值期权,0.2048930058897963,0.0384598952679056,0.1877072138255008,0.1754579990691799,0.2191971609840458,inf,20,"(0.5, 0.5)","(2, 5)",True,False
PG,虚值一档,1.366336000161501,0.2309990148366258,0.1690645747527121,0.0994772280248844,2.322129591094365,inf,20,"(0.5, 0.5)","(2, 5)",True,False
PG,平值期权,1.1937390357058058,0.2494079023701028,0.2089300047247251,0.1166526572076457,2.138038758312623,inf,20,"(0.5, 0.5)","(2, 5)",True,False
PP,虚值一档,0.6674936238966259,0.0703772987960911,0.1054351626390822,0.099865479308596,0.7047209835003849,inf,20,"(0.5, 0.5)","(2, 5)",True,False
PP,平值期权,0.4163590242813982,0.0491307144511935,0.1180008396263036,0.1224937389702225,0.4010875565088018,inf,20,"(0.5, 0.5)","(2, 5)",True,False
RB,虚值一档,2.522328452737902,0.1689309694302487,0.0669742155296547,0.0151575830580842,11.144980620122688,inf,20,"(0.5, 0.5)","(2, 5)",True,False
RB,平值期权,2.266811026193519,0.1614885769637438,0.0712404232632127,0.0162506253054468,9.937376188817574,inf,20,"(0.5, 0.5)","(2, 5)",True,False
RU,虚值一档,0.0070827828461469,0.0007450120094312,0.1051863406819677,0.139781212084866,0.0053298436772667,inf,20,"(0.5, 0.5)","(2, 5)",True,False
RU,平值期权,-0.0079654497092262,-0.0009481241337759,0.1190295800471561,0.154584853784115,-0.0061333572505107,inf,20,"(0.5, 0.5)","(2, 5)",True,False
SC,虚值一档,1.112324821563535,0.206429025321851,0.1855834027255499,0.1506981147976864,1.3698182329552282,inf,20,"(0.5, 0.5)","(2, 5)",True,False
SC,平值期权,1.1293829768716928,0.2532276144183902,0.2242176654015203,0.1708554384406591,1.482116207300831,inf,20,"(0.5, 0.5)","(2, 5)",True,False
V,虚值一档,-0.0755433641885956,-0.0106435432150527,0.1408931589077882,0.1869772457239659,-0.0569242699764962,inf,20,"(0.5, 0.5)","(2, 5)",True,False
V,平值期权,-0.0164080442952286,-0.0026352173051161,0.1606052042340289,0.1642455612282789,-0.0160443745657978,inf,20,"(0.5, 0.5)","(2, 5)",True,False
Y,虚值一档,2.597255539969238,0.2475245368235968,0.0953023424204645,0.0384540716313149,6.436887599232168,inf,20,"(0.5, 0.5)","(2, 5)",True,False
Y,平值期权,2.383480643666785,0.257287411508721,0.1079460880844016,0.0448464596582707,5.737072970068248,inf,20,"(0.5, 0.5)","(2, 5)",True,False
ZN,虚值一档,1.2071696533069995,0.1222442061663905,0.1012651418394314,0.1032999648238445,1.1833905885142486,inf,20,"(0.5, 0.5)","(2, 5)",True,False
ZN,平值期权,1.1884300221961086,0.1403813888583928,0.1181233949298765,0.1200788298153759,1.169076922836711,inf,20,"(0.5, 0.5)","(2, 5)",True,False
