品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数
A,虚值一档,0.191838942,0.004912531,0.02560758,0.022391255,0.219395072,1
A,平值期权,-0.725204588,-0.028556932,0.03937776,0.038149176,-0.748559601,1
AG,虚值一档,-0.675441455,-0.034623652,0.051260775,0.023582871,-1.468169487,1
AG,平值期权,-1.0338086,-0.055784651,0.053960328,0.026343477,-2.117588721,1
AL,虚值一档,0.658428301,0.033860427,0.051426141,0.069661852,0.486068422,1
AL,平值期权,0.613057504,0.036362997,0.05931417,0.076127482,0.477659261,1
AU,虚值一档,-0.812815419,-0.027139982,0.033390093,0.083755457,-0.324038376,1
AU,平值期权,-1.020578872,-0.038535965,0.037758929,0.103725207,-0.371519768,1
B,虚值一档,1.075381163,0.061094231,0.056811699,0.015161196,4.029644458,1
B,平值期权,0.762359957,0.049308293,0.064678492,0.016915618,2.91495663,1
C,虚值一档,-0.468656258,-0.014396069,0.030717758,0.076597206,-0.187945097,1
C,平值期权,-0.52669545,-0.018577427,0.035271667,0.089946223,-0.206539263,1
CU,虚值一档,-0.083114811,-0.003583178,0.04311118,0.056036572,-0.063943555,1
CU,平值期权,-0.072587083,-0.004024765,0.055447399,0.075441314,-0.053349613,1
I,虚值一档,-0.295126614,-0.034626514,0.117327657,0.209238331,-0.165488389,1
I,平值期权,-0.02890357,-0.003634523,0.125746524,0.192910367,-0.018840478,1
L,虚值一档,1.064321036,0.066608838,0.062583409,0.077481325,0.85967603,1
L,平值期权,1.277917578,0.087030414,0.068103308,0.07754536,1.122316199,1
M,虚值一档,0.256827466,0.013937907,0.054269535,0.053622335,0.259927273,1
M,平值期权,0.373969183,0.023918895,0.063959536,0.067149754,0.356202279,1
P,虚值一档,-0.247187098,-0.023815586,0.096346396,0.164811557,-0.144501919,1
P,平值期权,-0.436051416,-0.046543064,0.10673756,0.17933982,-0.259524427,1
PG,虚值一档,0.266022136,0.0276541,0.103954131,0.158874242,0.174062829,1
PG,平值期权,0.816769572,0.091601448,0.112150906,0.14101521,0.649585585,1
PP,虚值一档,0.572867227,0.033164802,0.057892651,0.055309524,0.599621907,1
PP,平值期权,0.872040741,0.059215361,0.067904351,0.06685348,0.885748374,1
RB,虚值一档,2.432985999,0.075171794,0.030896928,0.004261637,17.63918078,1
RB,平值期权,2.217396874,0.081226102,0.036631287,0.004387453,18.5132679,1
RU,虚值一档,-0.083939407,-0.004424013,0.052704837,0.127232734,-0.034771027,1
RU,平值期权,-0.032296407,-0.002007617,0.062162241,0.123884701,-0.016205528,1
SC,虚值一档,-0.855481036,-0.081271566,0.095001014,0.153014102,-0.531137754,1
SC,平值期权,-0.724147639,-0.084284903,0.116391877,0.167662661,-0.50270527,1
V,虚值一档,-0.388807403,-0.028672058,0.073743601,0.166745084,-0.171951443,1
V,平值期权,-0.39325864,-0.034942583,0.088853947,0.187778747,-0.186083799,1
Y,虚值一档,0.868686057,0.047437471,0.054608303,0.029949472,1.583916758,1
Y,平值期权,1.129263432,0.067323836,0.059617477,0.027974524,2.406612367,1
ZN,虚值一档,0.254851794,0.014045252,0.05511145,0.064016431,0.219400734,1
ZN,平值期权,0.101872243,0.006311994,0.061959904,0.076728918,0.082263566,1
A,虚值一档,1.534783755,0.060763255,0.039590759,0.025224238,2.40892328,3
A,平值期权,0.725116227,0.039226633,0.054097028,0.042159144,0.930441864,3
AG,虚值一档,1.656077306,0.098082526,0.059225814,0.025505936,3.845478376,3
AG,平值期权,0.873401585,0.056718276,0.064939515,0.031889858,1.77856781,3
AL,虚值一档,0.293505346,0.020903472,0.071220074,0.108511264,0.192638732,3
AL,平值期权,0.183522204,0.014385196,0.078383954,0.12233768,0.11758598,3
AU,虚值一档,-0.269915813,-0.011297837,0.04185689,0.071758682,-0.157442087,3
AU,平值期权,-0.352596273,-0.016828712,0.04772799,0.080916997,-0.207974989,3
B,虚值一档,-0.856519234,-0.077768181,0.090795603,0.032037942,-2.427377513,3
B,平值期权,-1.19525379,-0.128798353,0.107758163,0.045585791,-2.825405671,3
C,虚值一档,-0.84093527,-0.034067194,0.040511078,0.112383251,-0.303134085,3
C,平值期权,-0.873214883,-0.04045755,0.046331723,0.133870179,-0.302214807,3
CU,虚值一档,0.994406696,0.056133515,0.056449253,0.036321834,1.545448274,3
CU,平值期权,0.752276569,0.053087851,0.070569592,0.047053706,1.128239535,3
I,虚值一档,0.249233499,0.036590317,0.14681139,0.219443972,0.166741042,3
I,平值期权,0.444933977,0.070176656,0.157723751,0.24131423,0.290810268,3
L,虚值一档,1.032397698,0.079042092,0.07656167,0.056605019,1.396379564,3
L,平值期权,0.91998053,0.073884671,0.080311125,0.06500812,1.136545275,3
M,虚值一档,1.030850512,0.064192505,0.0622714,0.059380762,1.081032016,3
M,平值期权,1.12212153,0.082323753,0.073364383,0.06994375,1.176999417,3
P,虚值一档,-1.027663457,-0.116964778,0.113816228,0.223007653,-0.524487732,3
P,平值期权,-0.927968736,-0.116114187,0.125127261,0.238999359,-0.485834719,3
PG,虚值一档,-0.363645398,-0.05082948,0.139777597,0.267303628,-0.19015634,3
PG,平值期权,-0.351059137,-0.052090406,0.148380717,0.282336183,-0.184497806,3
PP,虚值一档,1.007894786,0.07117954,0.070621995,0.057646154,1.234766495,3
PP,平值期权,0.55523452,0.047637618,0.085797292,0.100403336,0.474462504,3
RB,虚值一档,-1.47511295,-0.086118542,0.058380981,0.02934291,-2.934901236,3
RB,平值期权,-1.628720722,-0.107302026,0.065881169,0.03466558,-3.095347735,3
RU,虚值一档,0.683257175,0.048184258,0.070521408,0.055509829,0.868031097,3
RU,平值期权,0.551636657,0.045250604,0.082029727,0.068022474,0.665230208,3
SC,虚值一档,-0.354470435,-0.045764725,0.129107311,0.155843405,-0.293658399,3
SC,平值期权,-0.440632358,-0.069092936,0.156804046,0.188718654,-0.366116092,3
V,虚值一档,0.093113543,0.008679471,0.093213841,0.098176021,0.08840724,3
V,平值期权,0.042172092,0.004314106,0.102297661,0.111654931,0.038637849,3
Y,虚值一档,-1.205280771,-0.08108426,0.067274167,0.075131176,-1.079235869,3
Y,平值期权,-0.777089524,-0.060284368,0.077577121,0.072995645,-0.825862536,3
ZN,虚值一档,0.275175438,0.019622788,0.071310102,0.05443626,0.36047275,3
ZN,平值期权,0.306715123,0.02558653,0.083421154,0.053399015,0.479157329,3
A,虚值一档,4.100772396,0.162368779,0.039594682,0.012547257,12.9405797,5
A,平值期权,3.46395423,0.172843397,0.049897714,0.012932874,13.36465527,5
AG,虚值一档,-0.66091781,-0.0444878,0.067312152,0.02234186,-1.991230857,5
AG,平值期权,-1.191554521,-0.084833802,0.071195904,0.024008124,-3.533545647,5
AL,虚值一档,0.318507334,0.025909448,0.081346472,0.092291282,0.280735596,5
AL,平值期权,0.387357812,0.034105582,0.088046714,0.097452773,0.349970365,5
AU,虚值一档,0.101872824,0.004404046,0.043230821,0.039952682,0.110231545,5
AU,平值期权,0.106574895,0.005814796,0.054560651,0.047426685,0.122605988,5
B,虚值一档,-1.184326505,-0.101924906,0.086061492,0.040431284,-2.520941602,5
B,平值期权,-1.977180401,-0.199227589,0.100763486,0.064259195,-3.100374782,5
C,虚值一档,-0.081610988,-0.003377506,0.041385426,0.063966561,-0.052801112,5
C,平值期权,-0.253562883,-0.011798993,0.046532808,0.084002626,-0.140459811,5
CU,虚值一档,0.224073816,0.014956678,0.06674889,0.066150206,0.226101765,5
CU,平值期权,0.164034774,0.013079804,0.079737997,0.07321766,0.178642753,5
I,虚值一档,-0.98685353,-0.170629566,0.172902626,0.527747217,-0.323316847,5
I,平值期权,-0.918949079,-0.169540362,0.184493751,0.545978986,-0.310525435,5
L,虚值一档,0.092228332,0.008160613,0.08848271,0.100852749,0.080916116,5
L,平值期权,0.203949271,0.018516448,0.090789481,0.118480032,0.156283284,5
M,虚值一档,0.33646751,0.023729151,0.070524344,0.09900969,0.239664931,5
M,平值期权,0.466263048,0.03711965,0.079610963,0.109412599,0.339263035,5
P,虚值一档,0.835736684,0.104804563,0.125403809,0.144078457,0.727413144,5
P,平值期权,0.771330922,0.104578436,0.135581802,0.156504554,0.668213376,5
PG,虚值一档,-0.493772365,-0.077388332,0.156728764,0.315170144,-0.245544618,5
PG,平值期权,-0.68023826,-0.114465101,0.168272071,0.358710603,-0.319101526,5
PP,虚值一档,1.596353657,0.131063011,0.082101488,0.035138585,3.72988874,5
PP,平值期权,1.288482301,0.128890071,0.100032473,0.035793671,3.600917871,5
RB,虚值一档,0.422688253,0.023785289,0.05627147,0.018781407,1.266427471,5
RB,平值期权,0.000121848,7.63E-06,0.062659643,0.021997023,0.00034709,5
RU,虚值一档,0.467083345,0.032991996,0.070634066,0.075906503,0.434639911,5
RU,平值期权,0.358766308,0.028921997,0.080615142,0.085981862,0.336373234,5
SC,虚值一档,0.627895438,0.077865423,0.124010174,0.099488795,0.7826552,5
SC,平值期权,0.666885511,0.09412477,0.141140823,0.127480587,0.738345909,5
V,虚值一档,-0.054357069,-0.005319005,0.097853051,0.157613197,-0.033747206,5
V,平值期权,-0.083392263,-0.009491295,0.113815054,0.158335597,-0.059944164,5
Y,虚值一档,0.13412679,0.010583525,0.078906868,0.041425151,0.255485491,5
Y,平值期权,-0.065824091,-0.005686217,0.08638505,0.050565508,-0.112452493,5
ZN,虚值一档,0.171709052,0.013802175,0.080381175,0.10140363,0.136111255,5
ZN,平值期权,0.170878124,0.015605193,0.091323524,0.113428579,0.137577255,5
