品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数
A,虚值一档,-1.2284752247448083,-0.0456863860971031,0.0371895054754511,0.0434468918816841,-1.0515455563891118,1
A,平值期权,-2.2808450186799445,-0.1222747469116926,0.0536094061237268,0.0738156594841867,-1.656487901972711,1
AG,虚值一档,1.4522916761634306,0.1005784288024959,0.0692549784959158,0.0335665489544523,2.9963887243509757,1
AG,平值期权,0.9855243156643037,0.0739153413885864,0.0750010326622565,0.0418070431668423,1.7680116982587657,1
AL,虚值一档,0.4063635487745198,0.0335914326229302,0.0826634985451642,0.0872710140112427,0.3849093883405877,1
AL,平值期权,0.371738352175774,0.0344168337775445,0.0925834893712304,0.0989249773893109,0.3479084320848509,1
AU,虚值一档,-0.1950667054019348,-0.0089495748460436,0.0458795611870466,0.0693755560637122,-0.1290018466709609,1
AU,平值期权,-0.1244711018581526,-0.0063918117282446,0.0513517726831784,0.0789495187970891,-0.0809607433412281,1
B,虚值一档,0.7586446271015954,0.0559664680176285,0.0737716527848468,0.0158357810498016,3.534177938026587,1
B,平值期权,-0.0941605545355216,-0.0083985247733638,0.0891936630449166,0.0249707542915067,-0.3363344444993553,1
C,虚值一档,-0.5106882810047527,-0.0213706550429347,0.0418467700118144,0.0889457919066947,-0.2402660607637609,1
C,平值期权,-0.5216272871573906,-0.0248825149747119,0.0477017126736395,0.0996562577643513,-0.2496834171071272,1
CU,虚值一档,-1.138978420042746,-0.0794860903598245,0.0697871785462286,0.1654776425674383,-0.4803433812965458,1
CU,平值期权,-1.1724981024983123,-0.1021019949412641,0.0870807336265272,0.2120581142164243,-0.4814811982957648,1
I,虚值一档,-0.1786921981946335,-0.0291691874834487,0.1632370510752647,0.3432243035630039,-0.0849857867891172,1
I,平值期权,0.1418134159183703,0.024266822561671,0.1711179609102665,0.3135896239911524,0.0773840098815123,1
L,虚值一档,0.2209549367977979,0.0202100071681767,0.0914666468243319,0.151896503215147,0.1330511680018808,1
L,平值期权,0.5491334882203953,0.0555506548966392,0.1011605667624916,0.1500760217211202,0.3701501029915797,1
M,虚值一档,0.4320809540821603,0.0355414464631963,0.082256452471261,0.1066037877780217,0.333397595001065,1
M,平值期权,0.3385076885747583,0.0290530490654479,0.0858268513420537,0.1009307622411921,0.2878512796328688,1
P,虚值一档,0.6032526312910699,0.0932710938116271,0.1546136543358462,0.1992784919993534,0.468043956353954,1
P,平值期权,0.2630687821928551,0.0363305205818968,0.1381027436211077,0.1998502855914661,0.1817886848366268,1
PG,虚值一档,-0.0651220268046398,-0.0091765325219109,0.1409128826631835,0.1618402703249056,-0.0567011690198513,1
PG,平值期权,0.1199757381563853,0.0187467354261298,0.1562543870469371,0.1633363467190773,0.1147738136838114,1
PP,虚值一档,-0.2156253130425097,-0.0188566666230741,0.087451080566578,0.1134025019111777,-0.1662808695159439,1
PP,平值期权,-0.1368358431651137,-0.0135443195229087,0.0989822491652673,0.092972877854028,-0.1456803299578827,1
RB,虚值一档,1.4217348767712743,0.07754194226982,0.0545403672208674,0.0155967558057448,4.971671239557312,1
RB,平值期权,1.369760920504199,0.0837219084019325,0.0611215484021219,0.015231216680216,5.496731492939718,1
RU,虚值一档,0.6866060662934946,0.049246281383293,0.0717242153847245,0.1327904518160687,0.3708570963483525,1
RU,平值期权,0.6235375425982955,0.0522289513053571,0.0837623202088487,0.1475357700475346,0.3540087348886947,1
SC,虚值一档,-0.1322115561832043,-0.0201391319281093,0.1523250501658322,0.1522695276324668,-0.132259764913169,1
SC,平值期权,-0.1527332430288677,-0.0262116473938738,0.1716171730139957,0.1778414360330593,-0.1473877403295445,1
V,虚值一档,-0.7363785690628101,-0.0875595425663365,0.1189056094853136,0.2729607180564631,-0.3207770817346124,1
V,平值期权,-0.4765450938284274,-0.065030510949247,0.1364624498110147,0.2635810690168049,-0.2467192017690048,1
Y,虚值一档,1.792655703757226,0.1497426827198899,0.0835312003336972,0.021724505881573,6.892800394917304,1
Y,平值期权,1.2108268567124787,0.1125008355571611,0.0929124052158974,0.0342113391982606,3.288407825990065,1
ZN,虚值一档,0.0554118688546811,0.0048781080038918,0.0880336307855784,0.1089361468784093,0.0447795166588429,1
ZN,平值期权,-0.0704446595860899,-0.0072575241864959,0.1030244766478935,0.1419723454182586,-0.0511192807663693,1
A,虚值一档,-0.2124534187770759,-0.0115383656651148,0.0543100964509395,0.0450998150959508,-0.2558406423744028,3
A,平值期权,-1.3194163656030546,-0.0866624229260982,0.065682391991923,0.0732539317286619,-1.183041249541423,3
AG,虚值一档,5.470379318278624,0.2685666033120191,0.0490946948440368,0.0071966352405707,37.31835702857133,3
AG,平值期权,4.017231762161209,0.2365484684977039,0.0588834507199167,0.0108030634585327,21.896424972942903,3
AL,虚值一档,0.0215632881069669,0.0020153614763805,0.0934626234358677,0.0985478656859382,0.0204505847219799,3
AL,平值期权,-0.1750812261628297,-0.0177041333273872,0.1011195415716472,0.1131745708879248,-0.1564320782353077,3
AU,虚值一档,1.4541474257796458,0.0713959303285307,0.0490981375497409,0.0601728667108315,1.1865136934830287,3
AU,平值期权,1.5396620145973596,0.0897885204180169,0.0583170329375812,0.061649265175804,1.45644104859918,3
B,虚值一档,1.2937055598643934,0.1262288853280533,0.0975715721135841,0.0268839798016772,4.695319899034378,3
B,平值期权,0.5173054757391009,0.055815667611352,0.1078969201545863,0.0339250905019965,1.6452621580498723,3
C,虚值一档,-0.9699236400433074,-0.0429708733503967,0.0443033570647665,0.1363625026099701,-0.3151223578911852,3
C,平值期权,-0.9790488534317456,-0.0487543312525608,0.0497976490975582,0.1513959736071759,-0.3220318882393972,3
CU,虚值一档,0.5119130213436844,0.0380038139903834,0.0742388109031294,0.0586565818621407,0.6479036586158905,3
CU,平值期权,0.4855964399846014,0.0424328630617258,0.0873829780611064,0.078584572145945,0.5399642945554339,3
I,虚值一档,0.2346528893655803,0.0384379091629932,0.1638075255195703,0.2515602759812263,0.1527980084020173,3
