,quote_date,underlying_price,option_type,underlying_symbol,strike,underlying_main_sign,underlying_sub_sign,option_symbol,Product,bid,level_type
0,2021-06-18,6458.0,CALL,XDCE.P2201,6400.0,0,1,DCE.p2201-C-6400,P,598.5,ITM_0
1,2021-06-18,6458.0,CALL,XDCE.P2201,6600.0,0,1,DCE.p2201-C-6600,P,530.0,OTM_0
2,2021-06-18,6458.0,CALL,XDCE.P2201,6500.0,0,1,DCE.p2201-C-6500,P,550.0,ATM_0
3,2021-06-18,6458.0,CALL,XDCE.P2201,6300.0,0,1,DCE.p2201-C-6300,P,638.0,ITM_1
4,2021-06-18,6458.0,CALL,XDCE.P2201,6700.0,0,1,DCE.p2201-C-6700,P,473.5,OTM_1
5,2021-06-18,6458.0,CALL,XDCE.P2201,6200.0,0,1,DCE.p2201-C-6200,P,688.0,ITM_2
6,2021-06-18,6458.0,CALL,XDCE.P2201,6800.0,0,1,DCE.p2201-C-6800,P,454.0,OTM_2
7,2021-06-18,6458.0,PUT,XDCE.P2201,6600.0,0,1,DCE.p2201-P-6600,P,658.0,ITM_0
8,2021-06-18,6458.0,PUT,XDCE.P2201,6400.0,0,1,DCE.p2201-P-6400,P,539.5,OTM_0
9,2021-06-18,6458.0,PUT,XDCE.P2201,6500.0,0,1,DCE.p2201-P-6500,P,594.5,ATM_0
10,2021-06-18,6458.0,PUT,XDCE.P2201,6700.0,0,1,DCE.p2201-P-6700,P,706.5,ITM_1
11,2021-06-18,6458.0,PUT,XDCE.P2201,6300.0,0,1,DCE.p2201-P-6300,P,491.0,OTM_1
12,2021-06-18,6458.0,PUT,XDCE.P2201,6800.0,0,1,DCE.p2201-P-6800,P,770.0,ITM_2
13,2021-06-18,6458.0,PUT,XDCE.P2201,6200.0,0,1,DCE.p2201-P-6200,P,439.5,OTM_2
14,2021-06-21,6572.0,CALL,XDCE.P2201,6500.0,0,1,DCE.p2201-C-6500,P,590.0,ITM_0
15,2021-06-21,6572.0,CALL,XDCE.P2201,6700.0,0,1,DCE.p2201-C-6700,P,522.0,OTM_0
16,2021-06-21,6572.0,CALL,XDCE.P2201,6600.0,0,1,DCE.p2201-C-6600,P,546.0,ATM_0
17,2021-06-21,6572.0,CALL,XDCE.P2201,6400.0,0,1,DCE.p2201-C-6400,P,638.0,ITM_1
18,2021-06-21,6572.0,CALL,XDCE.P2201,6800.0,0,1,DCE.p2201-C-6800,P,464.0,OTM_1
19,2021-06-21,6572.0,CALL,XDCE.P2201,6300.0,0,1,DCE.p2201-C-6300,P,695.5,ITM_2
20,2021-06-21,6572.0,CALL,XDCE.P2201,6900.0,0,1,DCE.p2201-C-6900,P,432.5,OTM_2
21,2021-06-21,6572.0,PUT,XDCE.P2201,6700.0,0,1,DCE.p2201-P-6700,P,627.0,ITM_0
