品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合
A,虚值一档,1.1103151214062457,0.0243058505807868,0.0218909479950185,0.0078077414552101,3.113045010547512,1,20,"(0.6, 0.4)"
A,平值期权,1.8006146100826648,0.0573761878007392,0.0318647796588217,0.0113827055179923,5.040645891264263,1,20,"(0.6, 0.4)"
AG,虚值一档,-4.124813626834033,-0.1179219628705387,0.0285884341787943,0.0206367935678114,-5.71416109208309,1,20,"(0.6, 0.4)"
AG,平值期权,-4.032821258221231,-0.1334063385080113,0.0330801515777699,0.0233905356589249,-5.703432381939007,1,20,"(0.6, 0.4)"
AL,虚值一档,-0.1025660789497911,-0.0058483573874264,0.057020385758233,0.0698165946594859,-0.0837674397605679,1,20,"(0.6, 0.4)"
AL,平值期权,0.0502017842579431,0.0033062028417111,0.065858273576959,0.0585748076787805,0.0564441092123092,1,20,"(0.6, 0.4)"
AU,虚值一档,0.0540886265247598,0.0018778246018347,0.0347175501114841,0.0569402144997261,0.0329788817680644,1,20,"(0.6, 0.4)"
AU,平值期权,-0.2950571649054408,-0.0100470483662734,0.0340511926544584,0.0612339718833639,-0.1640763788017978,1,20,"(0.6, 0.4)"
B,虚值一档,-2.256120981738477,-0.1238629580810225,0.0549008493266077,0.0443959550945662,-2.789960432593157,1,20,"(0.6, 0.4)"
B,平值期权,-2.967478611420944,-0.1760030019955379,0.0593106219260198,0.0567665707185141,-3.100469162885959,1,20,"(0.6, 0.4)"
C,虚值一档,1.020149239071497,0.0246683194481158,0.0241810889067251,0.0253465397740549,0.9732420941089028,1,20,"(0.6, 0.4)"
C,平值期权,1.0103630502579048,0.0274396859948074,0.0271582437499107,0.0257950990362823,1.0637557916025826,1,20,"(0.6, 0.4)"
CU,虚值一档,-0.0323417460474984,-0.0015397306323312,0.0476081479976347,0.0730332761674872,-0.0210825901990232,1,20,"(0.6, 0.4)"
CU,平值期权,0.0893970928301844,0.0051829015975033,0.0579761761084182,0.0966539758630843,0.0536232633083325,1,20,"(0.6, 0.4)"
I,虚值一档,-0.6670294967898672,-0.0763219243548542,0.1144206136642526,0.2139539082058575,-0.3567213377631805,1,20,"(0.6, 0.4)"
I,平值期权,-0.6917824687372269,-0.0854958579876209,0.1235877777355131,0.2501831349723808,-0.3417330988240248,1,20,"(0.6, 0.4)"
L,虚值一档,0.337710637092514,0.0190567176303388,0.0564291305550981,0.057389197117836,0.3320610600495083,1,20,"(0.6, 0.4)"
L,平值期权,0.8154538390386686,0.0540730524179805,0.0663103781346186,0.0524271147238667,1.0313947792622764,1,20,"(0.6, 0.4)"
M,虚值一档,0.6700650175950498,0.0285803847504899,0.0426531515599317,0.0528480831389603,0.540802675384457,1,20,"(0.6, 0.4)"
M,平值期权,0.7487224744219205,0.0377316456984097,0.0503947016249804,0.0584663299218989,0.645356836127952,1,20,"(0.6, 0.4)"
P,虚值一档,-0.94678051315945,-0.1182057911517791,0.1248502578040193,0.2094965722078802,-0.5642373519815175,1,20,"(0.6, 0.4)"
P,平值期权,-0.3260234720419129,-0.0343363403028518,0.105318614294242,0.1580917622615536,-0.2171924698141093,1,20,"(0.6, 0.4)"
PG,虚值一档,0.5050279081960902,0.0492277070295703,0.0974752211326436,0.0689667409918391,0.7137890861827941,1,20,"(0.6, 0.4)"
PG,平值期权,0.3675194888802005,0.0443200843960552,0.1205924739694612,0.0894503748275069,0.4954711982092932,1,20,"(0.6, 0.4)"
PP,虚值一档,-0.3143680317994597,-0.0191475971424772,0.0609082196840289,0.1044673103485389,-0.1832879307277492,1,20,"(0.6, 0.4)"
PP,平值期权,-0.2364525410128874,-0.0163652318383819,0.0692114864500019,0.1094794786855831,-0.1494821863865619,1,20,"(0.6, 0.4)"
RB,虚值一档,-0.6282975639844008,-0.0208383499869184,0.0331663708112606,0.0103483853943802,-2.0136812838681952,1,20,"(0.6, 0.4)"
RB,平值期权,-0.6328422412370635,-0.0215378137039558,0.034033464109245,0.0094845049657114,-2.2708421558974137,1,20,"(0.6, 0.4)"
RU,虚值一档,0.1718392975727533,0.0095308506877067,0.0554637432899865,0.1050739518151421,0.0907061219556539,1,20,"(0.6, 0.4)"
RU,平值期权,0.1938567237066165,0.0111961941703924,0.0577549953198262,0.1096130277448558,0.1021429149503438,1,20,"(0.6, 0.4)"
SC,虚值一档,0.4528624836480259,0.0462603040511333,0.1021508862436214,0.101961143813092,0.4537052284930668,1,20,"(0.6, 0.4)"
SC,平值期权,0.5436394972775141,0.0649197932420547,0.1194169915305377,0.1078974436153502,0.6016805502222184,1,20,"(0.6, 0.4)"
V,虚值一档,1.1103913380789283,0.0713017912902915,0.0642132092039277,0.0667067326785549,1.0688844802799606,1,20,"(0.6, 0.4)"
V,平值期权,0.7980285986384743,0.0580354794143242,0.0727235584205117,0.0791521347969277,0.7332143291298423,1,20,"(0.6, 0.4)"
Y,虚值一档,-2.1696128202280844,-0.0968447043990601,0.0446368603172611,0.0528928747685665,-1.83095936499586,1,20,"(0.6, 0.4)"
Y,平值期权,-1.7797047824167875,-0.0857391809219783,0.0481760692947888,0.0496508991116642,-1.726840449135716,1,20,"(0.6, 0.4)"
ZN,虚值一档,-1.1495381512674987,-0.0603890224751522,0.0525332912253206,0.1414367961004998,-0.4269682581910438,1,20,"(0.6, 0.4)"
ZN,平值期权,-0.975743620266564,-0.0536823804319908,0.0550168910326314,0.1301342954923362,-0.4125152422648823,1,20,"(0.6, 0.4)"
A,虚值一档,-0.1635935847890919,-0.0054948426515567,0.0335883748659264,0.0156433960783016,-0.3512563783498659,3,20,"(0.6, 0.4)"
A,平值期权,-0.1375267278824684,-0.0059787433318137,0.0434733191421761,0.0221699730749128,-0.2696775188499982,3,20,"(0.6, 0.4)"
AG,虚值一档,0.5156810586586839,0.0271491296666167,0.0526471337481993,0.0171325617651992,1.584650914363768,3,20,"(0.6, 0.4)"
AG,平值期权,0.4590910630466158,0.0278695072800686,0.060705837084088,0.0185338205156075,1.5037108650426032,3,20,"(0.6, 0.4)"
AL,虚值一档,0.2572279181595499,0.0213759956663548,0.0831013826932114,0.1245495655665743,0.171626416913746,3,20,"(0.6, 0.4)"
AL,平值期权,0.4504149884961389,0.0414269937701406,0.0919751669642667,0.1170888444851911,0.3538082039521719,3,20,"(0.6, 0.4)"
AU,虚值一档,0.8212222258067129,0.0341018303527623,0.0415257031301886,0.0520654847202159,0.6549795999406349,3,20,"(0.6, 0.4)"
AU,平值期权,0.7573139218186484,0.0302349623398824,0.0399239489316066,0.0487159065909873,0.620638400383912,3,20,"(0.6, 0.4)"
B,虚值一档,-1.1865090063719783,-0.0752006159386845,0.063379726183982,0.0483675705882626,-1.5547734778503317,3,20,"(0.6, 0.4)"
B,平值期权,-1.3379527366340405,-0.0908407568567835,0.0678953406719855,0.0603918078882325,-1.504190055460885,3,20,"(0.6, 0.4)"
C,虚值一档,1.4089401124703809,0.0443170000204396,0.0314541403344219,0.0248546223093413,1.783048620448502,3,20,"(0.6, 0.4)"
C,平值期权,1.4004560829996584,0.0499546578500049,0.0356702780304301,0.0273367578807156,1.8273804841079848,3,20,"(0.6, 0.4)"
CU,虚值一档,0.0469656382810722,0.0031123087782567,0.066267784111241,0.0791867141723805,0.0393034211708997,3,20,"(0.6, 0.4)"
CU,平值期权,-0.0368980745442362,-0.0026406438330562,0.0715658978327023,0.1001414206622637,-0.0263691469083713,3,20,"(0.6, 0.4)"
I,虚值一档,-0.0548805809618768,-0.0084841274372359,0.154592522319134,0.2541589467497852,-0.0333811874251606,3,20,"(0.6, 0.4)"
I,平值期权,-0.1821528350264961,-0.0306743030018217,0.1683987130771796,0.2964697122260227,-0.1034652166371594,3,20,"(0.6, 0.4)"
L,虚值一档,-0.0609247840627999,-0.0049737590359136,0.0816376965864459,0.1024516695146452,-0.0485473693057057,3,20,"(0.6, 0.4)"
L,平值期权,0.3231642079980101,0.030039160501276,0.0929532409772959,0.0880878288848014,0.341013745957575,3,20,"(0.6, 0.4)"
M,虚值一档,-0.1081267608154584,-0.0061424794438014,0.0568081333194182,0.0847968273565106,-0.0724376092277206,3,20,"(0.6, 0.4)"
M,平值期权,-0.1835528973250342,-0.0121551904763815,0.0662217303759428,0.0987008528234225,-0.1231518282636055,3,20,"(0.6, 0.4)"
P,虚值一档,-0.8817645605077371,-0.130857522995804,0.1484041532815219,0.2240165974093335,-0.5841420881716862,3,20,"(0.6, 0.4)"
P,平值期权,-0.2725524979865915,-0.0369379336245106,0.1355259404972611,0.104783254632763,-0.3525175253810177,3,20,"(0.6, 0.4)"
PG,虚值一档,0.1347811496590796,0.0163760575138861,0.1215010968173838,0.1177992661589247,0.1390166343803275,3,20,"(0.6, 0.4)"
PG,平值期权,0.1897685821135986,0.0311917696951829,0.1643674065947917,0.115426617001721,0.2702303030740119,3,20,"(0.6, 0.4)"
PP,虚值一档,-0.1957858182737936,-0.0154444807305996,0.0788845732891724,0.090205544676112,-0.1712143171027227,3,20,"(0.6, 0.4)"
PP,平值期权,-0.0309389452962826,-0.0027317270153641,0.0882941221558823,0.090709967621854,-0.0301149596563851,3,20,"(0.6, 0.4)"
RB,虚值一档,-2.420568535383761,-0.0922955484091121,0.038129698481964,0.0195026792020887,-4.732454831089433,3,20,"(0.6, 0.4)"
RB,平值期权,-2.6637672559326364,-0.1161692274805497,0.0436108774975825,0.0233100960903764,-4.98364429859686,3,20,"(0.6, 0.4)"
RU,虚值一档,0.43425181372491,0.0324142950432712,0.0746440061245317,0.056438171826314,0.5743328317406301,3,20,"(0.6, 0.4)"
